data,incidencia_nacional,incidencia_continente,rt_nacional,rt_continente
21-04-2021,72.7,68.9,0.98,0.99
22-04-2021,72.7,68.9,0.98,0.99
23-04-2021,72.1,68.3,0.98,0.99
24-04-2021,72.1,68.3,0.98,0.99
25-04-2021,72.1,68.3,0.98,0.99
26-04-2021,70.4,67.3,0.99,1.00
27-04-2021,70.4,67.3,0.99,1.00
28-04-2021,69.3,66.5,1.00,1.00
29-04-2021,69.3,66.5,1.00,1.00
30-04-2021,66.9,64.3,0.98,0.98
01-05-2021,66.9,64.3,0.98,0.98
02-05-2021,66.9,64.3,0.98,0.98
03-05-2021,64.4,62.0,0.96,0.96
04-05-2021,64.4,62.0,0.96,0.96
05-05-2021,61.3,59.0,0.95,0.95
06-05-2021,61.3,59.0,0.95,0.95
07-05-2021,57.7,55.4,0.92,0.92
08-05-2021,57.7,55.4,0.92,0.92
09-05-2021,57.7,55.4,0.92,0.92
10-05-2021,53.8,51.4,0.92,0.91
11-05-2021,53.8,51.4,0.92,0.91
12-05-2021,51.0,48.7,0.93,0.92
13-05-2021,51.0,48.7,0.93,0.92
14-05-2021,50.3,48.1,0.95,0.95
15-05-2021,50.3,48.1,0.95,0.95
16-05-2021,50.3,48.1,0.95,0.95
17-05-2021,50.5,47.5,1.00,0.99
18-05-2021,50.5,47.5,1.00,0.99
19-05-2021,51.4,48.3,1.02,1.01
20-05-2021,51.4,48.3,1.02,1.01
21-05-2021,52.6,49.5,1.03,1.03
22-05-2021,52.6,49.5,1.03,1.03
23-05-2021,52.6,49.5,1.03,1.03
24-05-2021,55.6,52.5,1.06,1.06
25-05-2021,55.6,52.5,1.06,1.06
26-05-2021,57.8,54.4,1.07,1.07
27-05-2021,57.8,54.4,1.07,1.07
28-05-2021,59.6,56.0,1.07,1.07
29-05-2021,59.6,56.0,1.07,1.07
30-05-2021,59.6,56.0,1.07,1.07
31-05-2021,63.3,60.4,1.07,1.06
