data,amostras,amostras_novas,amostras_pcr,amostras_pcr_novas,amostras_antigenio,amostras_antigenio_novas
26-02-2020,,,,,,
27-02-2020,,,,,,
28-02-2020,,,,,,
29-02-2020,,,,,,
01-03-2020,25,25,25,25,0,0
02-03-2020,70,45,70,45,0,0
03-03-2020,131,61,131,61,0,0
04-03-2020,171,40,171,40,0,0
05-03-2020,251,80,251,80,0,0
06-03-2020,332,81,332,81,0,0
07-03-2020,411,79,411,79,0,0
08-03-2020,495,84,495,84,0,0
09-03-2020,670,175,670,175,0,0
10-03-2020,976,306,976,306,0,0
11-03-2020,1556,580,1556,580,0,0
12-03-2020,2494,938,2494,938,0,0
13-03-2020,4045,1551,4045,1551,0,0
14-03-2020,5298,1253,5298,1253,0,0
15-03-2020,6249,951,6249,951,0,0
16-03-2020,7932,1683,7932,1683,0,0
17-03-2020,10236,2304,10236,2304,0,0
18-03-2020,12701,2465,12701,2465,0,0
19-03-2020,15199,2498,15199,2498,0,0
20-03-2020,18414,3215,18414,3215,0,0
21-03-2020,20930,2516,20930,2516,0,0
22-03-2020,23039,2109,23039,2109,0,0
23-03-2020,27220,4181,27220,4181,0,0
24-03-2020,32247,5027,32247,5027,0,0
25-03-2020,37566,5319,37566,5319,0,0
26-03-2020,44260,6694,44260,6694,0,0
27-03-2020,52173,7913,52173,7913,0,0
28-03-2020,59066,6893,59066,6893,0,0
29-03-2020,64098,5032,64098,5032,0,0
30-03-2020,72084,7986,72084,7986,0,0
31-03-2020,80046,7962,80046,7962,0,0
01-04-2020,88696,8650,88696,8650,0,0
02-04-2020,97995,9299,97995,9299,0,0
03-04-2020,107474,9479,107474,9479,0,0
04-04-2020,116632,9158,116632,9158,0,0
05-04-2020,123348,6716,123348,6716,0,0
06-04-2020,132717,9369,132717,9369,0,0
07-04-2020,143340,10623,143340,10623,0,0
08-04-2020,155031,11691,155031,11691,0,0
09-04-2020,167240,12209,167240,12209,0,0
10-04-2020,177456,10216,177456,10216,0,0
11-04-2020,186577,9121,186577,9121,0,0
12-04-2020,191787,5210,191787,5210,0,0
13-04-2020,200731,8944,200731,8944,0,0
14-04-2020,212651,11920,212651,11920,0,0
15-04-2020,226300,13649,226300,13649,0,0
16-04-2020,239774,13474,239774,13474,0,0
17-04-2020,254494,14720,254494,14720,0,0
18-04-2020,267289,12795,267289,12795,0,0
19-04-2020,276791,9502,276791,9502,0,0
20-04-2020,287880,11089,287880,11089,0,0
21-04-2020,302810,14930,302810,14930,0,0
22-04-2020,318341,15531,318341,15531,0,0
23-04-2020,333524,15183,333524,15183,0,0
24-04-2020,348341,14817,348341,14817,0,0
25-04-2020,361787,13446,361787,13446,0,0
26-04-2020,370028,8241,370028,8241,0,0
27-04-2020,382235,12207,382235,12207,0,0
28-04-2020,397751,15516,397751,15516,0,0
