cod_distrito,cod_concelho,nome_concelho,casos,dia
14,1,Abrantes,,24-03-2020
9,1,Aguiar da Beira,,24-03-2020
7,1,Alandroal,,24-03-2020
1,2,Albergaria-a-Velha,5,24-03-2020
8,1,Albufeira,5,24-03-2020
14,2,Alcanena,,24-03-2020
10,1,Alcobaça,,24-03-2020
15,2,Alcochete,3,24-03-2020
8,2,Alcoutim,,24-03-2020
15,1,Alcácer do Sal,,24-03-2020
11,1,Alenquer,,24-03-2020
4,1,Alfândega da Fé,,24-03-2020
17,1,Alijó,,24-03-2020
8,3,Aljezur,,24-03-2020
2,1,Aljustrel,,24-03-2020
15,3,Almada,31,24-03-2020
9,2,Almeida,,24-03-2020
14,3,Almeirim,,24-03-2020
2,2,Almodôvar,,24-03-2020
14,4,Alpiarça,,24-03-2020
12,1,Alter do Chão,,24-03-2020
10,2,Alvaiázere,,24-03-2020
2,3,Alvito,,24-03-2020
11,15,Amadora,21,24-03-2020
13,1,Amarante,,24-03-2020
3,1,Amares,,24-03-2020
1,3,Anadia,,24-03-2020
43,1,Angra do Heroísmo,,24-03-2020
10,3,Ansião,,24-03-2020
16,1,Arcos de Valdevez,3,24-03-2020
6,1,Arganil,,24-03-2020
18,1,Armamar,,24-03-2020
1,4,Arouca,,24-03-2020
7,2,Arraiolos,,24-03-2020
12,2,Arronches,,24-03-2020
11,2,Arruda dos Vinhos,,24-03-2020
1,5,Aveiro,6,24-03-2020
12,3,Avis,,24-03-2020
11,3,Azambuja,,24-03-2020
13,2,Baião,,24-03-2020
3,2,Barcelos,3,24-03-2020
2,4,Barrancos,,24-03-2020
15,4,Barreiro,5,24-03-2020
10,4,Batalha,,24-03-2020
2,5,Beja,,24-03-2020
5,1,Belmonte,,24-03-2020
14,5,Benavente,,24-03-2020
10,5,Bombarral,,24-03-2020
7,3,Borba,,24-03-2020
17,2,Boticas,,24-03-2020
3,3,Braga,21,24-03-2020
4,2,Bragança,4,24-03-2020
3,4,Cabeceiras de Basto,,24-03-2020
11,4,Cadaval,,24-03-2020
10,6,Caldas da Rainha,,24-03-2020
31,1,Calheta (Madeira),,24-03-2020
45,1,Calheta (São Jorge),,24-03-2020
16,2,Caminha,,24-03-2020
12,4,Campo Maior,,24-03-2020
6,2,Cantanhede,,24-03-2020
4,3,Carrazeda de Ansiães,,24-03-2020
18,2,Carregal do Sal,,24-03-2020
14,6,Cartaxo,4,24-03-2020
11,5,Cascais,39,24-03-2020
10,7,Castanheira de Pêra,,24-03-2020
5,2,Castelo Branco,,24-03-2020
1,6,Castelo de Paiva,,24-03-2020
12,5,Castelo de Vide,,24-03-2020
18,3,Castro Daire,,24-03-2020
8,4,Castro Marim,,24-03-2020
2,6,Castro Verde,,24-03-2020
9,3,Celorico da Beira,,24-03-2020
3,5,Celorico de Basto,,24-03-2020
14,7,Chamusca,,24-03-2020
17,3,Chaves,3,24-03-2020
18,4,Cinfães,,24-03-2020
6,3,Coimbra,34,24-03-2020
6,4,Condeixa-a-Nova,3,24-03-2020
14,8,Constância,,24-03-2020
14,9,Coruche,4,24-03-2020
49,1,Corvo,,24-03-2020
5,3,Covilhã,,24-03-2020
12,6,Crato,,24-03-2020
2,7,Cuba,,24-03-2020
31,2,Câmara de Lobos,3,24-03-2020
12,7,Elvas,,24-03-2020
14,10,Entroncamento,,24-03-2020
1,7,Espinho,8,24-03-2020
3,6,Esposende,,24-03-2020
1,8,Estarreja,,24-03-2020
7,4,Estremoz,,24-03-2020
3,7,Fafe,,24-03-2020
8,5,Faro,8,24-03-2020
13,3,Felgueiras,17,24-03-2020
2,8,Ferreira do Alentejo,,24-03-2020
14,11,Ferreira do Zêzere,,24-03-2020
6,5,Figueira da Foz,,24-03-2020
9,4,Figueira de Castelo Rodrigo,,24-03-2020
10,8,Figueiró dos Vinhos,,24-03-2020
9,5,Fornos de Algodres,,24-03-2020
4,4,Freixo de Espada à Cinta,,24-03-2020
12,8,Fronteira,,24-03-2020
31,3,Funchal,10,24-03-2020
5,4,Fundão,,24-03-2020
12,9,Gavião,,24-03-2020
14,12,Golegã,,24-03-2020
13,4,Gondomar,56,24-03-2020
9,6,Gouveia,,24-03-2020
15,5,Grândola,,24-03-2020
9,7,Guarda,3,24-03-2020
3,8,Guimarães,15,24-03-2020
6,6,Góis,,24-03-2020
47,1,Horta,,24-03-2020
5,5,Idanha-a-Nova,,24-03-2020
8,6,Lagoa (Algarve),3,24-03-2020
42,1,Lagoa (São Miguel),,24-03-2020
8,7,Lagos,,24-03-2020
48,1,Lajes das Flores,,24-03-2020
46,1,Lajes do Pico,,24-03-2020
18,5,Lamego,,24-03-2020
10,9,Leiria,,24-03-2020
11,6,Lisboa,175,24-03-2020
8,8,Loulé,,24-03-2020
11,7,Loures,24,24-03-2020
11,8,Lourinhã,,24-03-2020
13,5,Lousada,29,24-03-2020
6,7,Lousã,,24-03-2020
4,5,Macedo de Cavaleiros,,24-03-2020
31,4,Machico,,24-03-2020
46,2,Madalena,,24-03-2020
11,9,Mafra,7,24-03-2020
13,6,Maia,104,24-03-2020
