concelho,casos,dia
Lisboa,175,24-03-2020
Porto,126,24-03-2020
Maia,104,24-03-2020
Vila Nova de Gaia,68,24-03-2020
Valongo,65,24-03-2020
Gondomar,56,24-03-2020
Ovar,55,24-03-2020
Matosinhos,54,24-03-2020
Cascais,39,24-03-2020
Sintra,39,24-03-2020
Coimbra,34,24-03-2020
Santa Maria da Feira,33,24-03-2020
Almada,31,24-03-2020
Lousada,29,24-03-2020
Loures,24,24-03-2020
Amadora,21,24-03-2020
Braga,21,24-03-2020
Seixal,21,24-03-2020
Felgueiras,17,24-03-2020
Oeiras,16,24-03-2020
Guimarães,15,24-03-2020
Odivelas,14,24-03-2020
Vila Nova de Famalicão,12,24-03-2020
Oliveira de Azeméis,11,24-03-2020
Funchal,10,24-03-2020
Santarém,9,24-03-2020
Espinho,8,24-03-2020
Faro,8,24-03-2020
Portimão,8,24-03-2020
Vila do Conde,8,24-03-2020
Mafra,7,24-03-2020
Paredes,7,24-03-2020
Santo Tirso,7,24-03-2020
Setúbal,7,24-03-2020
Viana do Castelo,7,24-03-2020
Aveiro,6,24-03-2020
Penafiel,6,24-03-2020
Viseu,6,24-03-2020
Albergaria-a-Velha,5,24-03-2020
Albufeira,5,24-03-2020
Barreiro,5,24-03-2020
Montijo,5,24-03-2020
Paços de Ferreira,5,24-03-2020
Vila Franca de Xira,5,24-03-2020
Bragança,4,24-03-2020
Cartaxo,4,24-03-2020
Coruche,4,24-03-2020
Évora,4,24-03-2020
Moita,4,24-03-2020
Sesimbra,4,24-03-2020
Vila Real,4,24-03-2020
Águeda,3,24-03-2020
Alcochete,3,24-03-2020
Arcos de Valdevez,3,24-03-2020
Barcelos,3,24-03-2020
Câmara de Lobos,3,24-03-2020
Chaves,3,24-03-2020
Condeixa-a-Nova,3,24-03-2020
Guarda,3,24-03-2020
Lagoa (Faro),3,24-03-2020
Marco de Canaveses,3,24-03-2020
Mirandela,3,24-03-2020
Pombal,3,24-03-2020
Silves,3,24-03-2020
Soure,3,24-03-2020
Vale de Cambra,3,24-03-2020
Lisboa,187,25-03-2020
Porto,137,25-03-2020
Maia,119,25-03-2020
Vila Nova de Gaia,83,25-03-2020
Valongo,71,25-03-2020
Gondomar,62,25-03-2020
Ovar,58,25-03-2020
Matosinhos,56,25-03-2020
Cascais,43,25-03-2020
Sintra,43,25-03-2020
Coimbra,41,25-03-2020
Santa Maria da Feira,39,25-03-2020
Almada,35,25-03-2020
Seixal,29,25-03-2020
Loures,28,25-03-2020
Lousada,27,25-03-2020
Braga,25,25-03-2020
Amadora,24,25-03-2020
Odivelas,18,25-03-2020
Oliveira de Azeméis,18,25-03-2020
Felgueiras,17,25-03-2020
Guimarães,17,25-03-2020
Oeiras,17,25-03-2020
Vila Nova de Famalicão,14,25-03-2020
Viseu,11,25-03-2020
Funchal,10,25-03-2020
Paços de Ferreira,10,25-03-2020
Espinho,9,25-03-2020
Faro,9,25-03-2020
Santarém,9,25-03-2020
Setúbal,9,25-03-2020
Vila Real,9,25-03-2020
Albufeira,8,25-03-2020
Mafra,8,25-03-2020
Paredes,8,25-03-2020
Santo Tirso,8,25-03-2020
Vila do Conde,8,25-03-2020
Penafiel,7,25-03-2020
Portimão,7,25-03-2020
Viana do Castelo,7,25-03-2020
Aveiro,6,25-03-2020
Barreiro,6,25-03-2020
Vila Franca de Xira,6,25-03-2020
Albergaria-a-Velha,5,25-03-2020
Évora,5,25-03-2020
Moita,5,25-03-2020
Bragança,4,25-03-2020
Cartaxo,4,25-03-2020
Coruche,4,25-03-2020
Marco de Canaveses,4,25-03-2020
Montijo,4,25-03-2020
Sesimbra,4,25-03-2020
Vale de Cambra,4,25-03-2020
Águeda,3,25-03-2020
Alcochete,3,25-03-2020
Almeirim,3,25-03-2020
Arcos de Valdevez,3,25-03-2020
Barcelos,3,25-03-2020
Câmara de Lobos,3,25-03-2020
Chaves,3,25-03-2020
Condeixa-a-Nova,3,25-03-2020
Guarda,3,25-03-2020
Lagoa (Faro),3,25-03-2020
Mirandela,3,25-03-2020
Ourém,3,25-03-2020
Pombal,3,25-03-2020
Silves,3,25-03-2020
Soure,3,25-03-2020
Lisboa,284,26-03-2020
Porto,259,26-03-2020
