data,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,transmissao_comunitaria,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m
26-02-2020,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27-02-2020,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28-02-2020,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29-02-2020,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01-03-2020,0,0,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02-03-2020,2,2,0,0,0,0,0,0,NaN,2,0,0,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03-03-2020,4,2,1,1,0,0,0,0,NaN,2,0,0,NaN,NaN,NaN,101,NaN,NaN,NaN,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
04-03-2020,6,3,1,2,0,0,0,0,NaN,2,0,0,NaN,NaN,NaN,117,81,NaN,NaN,4,2,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0
05-03-2020,9,5,1,3,0,0,0,0,NaN,3,0,0,9,NaN,NaN,147,213,NaN,NaN,5,4,0,0,0,0,0,0,0,2,1,3,0,1,0,2,0,0,0,0
06-03-2020,13,8,1,4,0,0,0,0,NaN,4,0,0,13,NaN,30,181,354,NaN,5,5,8,0,0,0,0,0,0,0,2,1,5,0,2,0,2,1,0,0,0
07-03-2020,21,15,1,5,0,0,0,0,NaN,8,0,0,21,NaN,47,224,412,NaN,5,5,16,0,0,1,2,0,1,1,2,2,6,0,2,1,2,1,0,0,0
08-03-2020,30,22,1,6,0,1,0,0,NaN,9,0,0,30,NaN,56,281,447,NaN,4,6,24,0,0,3,2,1,1,1,3,4,6,0,3,1,3,2,0,0,0
09-03-2020,39,27,1,9,0,2,0,0,NaN,9,0,0,38,NaN,67,339,496,NaN,6,7,32,0,0,3,3,1,1,2,4,7,7,1,3,1,3,3,0,0,0
10-03-2020,41,27,2,10,0,2,0,0,NaN,2,0,0,40,NaN,83,375,667,NaN,6,8,33,0,0,3,3,1,1,2,4,7,7,1,3,1,5,3,0,0,0
11-03-2020,59,36,3,17,0,3,0,0,NaN,18,0,0,57,NaN,83,471,3066,NaN,6,12,47,0,1,6,5,1,3,5,4,9,7,1,4,1,5,3,2,0,2
12-03-2020,78,44,5,23,0,5,0,0,1,19,0,0,69,NaN,133,637,4923,NaN,6,19,59,0,1,7,5,1,6,6,8,10,11,1,8,1,6,3,2,0,2
13-03-2020,112,53,6,46,0,6,0,0,1,34,0,0,107,NaN,172,1308,5674,NaN,11,33,79,0,1,10,5,3,8,9,15,14,14,2,12,3,8,3,3,0,2
14-03-2020,169,77,8,73,0,7,0,0,4,57,1,0,114,10,126,1704,5011,NaN,11,39,130,0,1,13,6,7,12,17,20,19,22,5,21,3,9,4,7,1,2
15-03-2020,245,103,10,116,0,10,1,0,5,76,2,0,139,9,281,2271,4592,1746,14,47,198,0,1,17,8,12,16,25,30,27,26,16,27,6,12,5,12,3,2
16-03-2020,331,138,31,142,0,13,1,0,5,86,3,0,139,18,374,2908,4592,2203,18,47,284,2,1,17,10,17,21,30,35,32,36,21,31,11,26,10,18,8,4
17-03-2020,448,196,51,180,0,14,1,0,6,117,3,1,206,17,323,4030,6852,3259,19,61,387,2,1,19,13,21,34,37,51,47,46,32,41,18,34,13,22,12,5
18-03-2020,642,289,74,243,2,21,3,1,9,194,3,1,89,20,351,5067,6656,4074,24,62,580,13,3,21,15,42,45,55,62,75,63,50,42,49,28,32,17,11,19
