data,ABRANTES,AGUIAR DA BEIRA,ALANDROAL,ALBERGARIA-A-VELHA,ALBUFEIRA,ALCANENA,ALCOBAÇA,ALCOCHETE,ALCOUTIM,ALCÁCER DO SAL,ALENQUER,ALFÂNDEGA DA FÉ,ALIJÓ,ALJEZUR,ALJUSTREL,ALMADA,ALMEIDA,ALMEIRIM,ALMODÔVAR,ALPIARÇA,ALTER DO CHÃO,ALVAIÁZERE,ALVITO,AMADORA,AMARANTE,AMARES,ANADIA,ANGRA DO HEROÍSMO,ANSIÃO,ARCOS DE VALDEVEZ,ARGANIL,ARMAMAR,AROUCA,ARRAIOLOS,ARRONCHES,ARRUDA DOS VINHOS,AVEIRO,AVIS,AZAMBUJA,BAIÃO,BARCELOS,BARRANCOS,BARREIRO,BATALHA,BEJA,BELMONTE,BENAVENTE,BOMBARRAL,BORBA,BOTICAS,BRAGA,BRAGANÇA,CABECEIRAS DE BASTO,CADAVAL,CALDAS DA RAINHA,CALHETA,CALHETA (AÇORES),CAMINHA,CAMPO MAIOR,CANTANHEDE,CARRAZEDA DE ANSIÃES,CARREGAL DO SAL,CARTAXO,CASCAIS,CASTANHEIRA DE PÊRA,CASTELO BRANCO,CASTELO DE PAIVA,CASTELO DE VIDE,CASTRO DAIRE,CASTRO MARIM,CASTRO VERDE,CELORICO DA BEIRA,CELORICO DE BASTO,CHAMUSCA,CHAVES,CINFÃES,COIMBRA,CONDEIXA-A-NOVA,CONSTÂNCIA,CORUCHE,CORVO,COVILHÃ,CRATO,CUBA,CÂMARA DE LOBOS,ELVAS,ENTRONCAMENTO,ESPINHO,ESPOSENDE,ESTARREJA,ESTREMOZ,FAFE,FARO,FELGUEIRAS,FERREIRA DO ALENTEJO,FERREIRA DO ZÊZERE,FIGUEIRA DA FOZ,FIGUEIRA DE CASTELO RODRIGO,FIGUEIRÓ DOS VINHOS,FORNOS DE ALGODRES,FREIXO DE ESPADA À CINTA,FRONTEIRA,FUNCHAL,FUNDÃO,GAVIÃO,GOLEGÃ,GONDOMAR,GOUVEIA,GRÂNDOLA,GUARDA,GUIMARÃES,GÓIS,HORTA,IDANHA-A-NOVA,LAGOA,LAGOA (FARO),LAGOS,LAJES DAS FLORES,LAJES DO PICO,LAMEGO,LEIRIA,LISBOA,LOULÉ,LOURES,LOURINHÃ,LOUSADA,LOUSÃ,MACEDO DE CAVALEIROS,MACHICO,MADALENA,MAFRA,MAIA,MANGUALDE,MANTEIGAS,MARCO DE CANAVESES,MARINHA GRANDE,MARVÃO,MATOSINHOS,MAÇÃO,MEALHADA,MELGAÇO,MESÃO FRIO,MIRA,MIRANDA DO CORVO,MIRANDA DO DOURO,MIRANDELA,MOGADOURO,MOIMENTA DA BEIRA,MOITA,MONCHIQUE,MONDIM DE BASTO,MONFORTE,MONTALEGRE,MONTEMOR-O-NOVO,MONTEMOR-O-VELHO,MONTIJO,MONÇÃO,MORA,MORTÁGUA,MOURA,MOURÃO,MURTOSA,MURÇA,MÉRTOLA,MÊDA,NAZARÉ,NELAS,NISA,NORDESTE,ODEMIRA,ODIVELAS,OEIRAS,OLEIROS,OLHÃO,OLIVEIRA DE AZEMÉIS,OLIVEIRA DE FRADES,OLIVEIRA DO BAIRRO,OLIVEIRA DO HOSPITAL,OURIQUE,OURÉM,OVAR,PALMELA,PAMPILHOSA DA SERRA,PAREDES,PAREDES DE COURA,PAÇOS DE FERREIRA,PEDRÓGÃO GRANDE,PENACOVA,PENAFIEL,PENALVA DO CASTELO,PENAMACOR,PENEDONO,PENELA,PENICHE,PESO DA RÉGUA,PINHEL,POMBAL,PONTA DELGADA,PONTA DO SOL,PONTE DA BARCA,PONTE DE LIMA,PONTE DE SOR,PORTALEGRE,PORTEL,PORTIMÃO,PORTO,PORTO DE MÓS,PORTO MONIZ,PORTO SANTO,POVOAÇÃO,PROENÇA-A-NOVA,PÓVOA DE LANHOSO,PÓVOA DE VARZIM,REDONDO,REGUENGOS DE MONSARAZ,RESENDE,RIBEIRA BRAVA,RIBEIRA DE PENA,RIBEIRA GRANDE,RIO MAIOR,SABROSA,SABUGAL,SALVATERRA DE MAGOS,SANTA COMBA DÃO,SANTA CRUZ,SANTA CRUZ DA GRACIOSA,SANTA CRUZ DAS FLORES,SANTA MARIA DA FEIRA,SANTA MARTA DE PENAGUIÃO,SANTANA,SANTARÉM,SANTIAGO DO CACÉM,SANTO TIRSO,SARDOAL,SEIA,SEIXAL,SERNANCELHE,SERPA,SERTÃ,SESIMBRA,SETÚBAL,SEVER DO VOUGA,SILVES,SINES,SINTRA,SOBRAL DE MONTE AGRAÇO,SOURE,SOUSEL,SÁTÃO,SÃO BRÁS DE ALPORTEL,SÃO JOÃO DA MADEIRA,SÃO JOÃO DA PESQUEIRA,SÃO PEDRO DO SUL,SÃO ROQUE DO PICO,SÃO VICENTE,TABUAÇO,TAROUCA,TAVIRA,TERRAS DE BOURO,TOMAR,TONDELA,TORRE DE MONCORVO,TORRES NOVAS,TORRES VEDRAS,TRANCOSO,TROFA,TÁBUA,VAGOS,VALE DE CAMBRA,VALENÇA,VALONGO,VALPAÇOS,VELAS,VENDAS NOVAS,VIANA DO ALENTEJO,VIANA DO CASTELO,VIDIGUEIRA,VIEIRA DO MINHO,VILA DA PRAIA DA VITÓRIA,VILA DE REI,VILA DO BISPO,VILA DO CONDE,VILA DO PORTO,VILA FLOR,VILA FRANCA DE XIRA,VILA FRANCA DO CAMPO,VILA NOVA DA BARQUINHA,VILA NOVA DE CERVEIRA,VILA NOVA DE FAMALICÃO,VILA NOVA DE FOZ CÔA,VILA NOVA DE GAIA,VILA NOVA DE PAIVA,VILA NOVA DE POIARES,VILA POUCA DE AGUIAR,VILA REAL,VILA REAL DE SANTO ANTÓNIO,VILA VELHA DE RÓDÃO,VILA VERDE,VILA VIÇOSA,VIMIOSO,VINHAIS,VISEU,VIZELA,VOUZELA,ÁGUEDA,ÉVORA,ÍLHAVO,ÓBIDOS
24-03-2020,,,,5,5,,,3,,,,,,,,31,,,,,,,,21,,,,,,3,,,,,,,6,,,,3,,5,,,,,,,,21,4,,,,,,,,,,,4,39,,,,,,,,,,,3,,34,3,,4,,,,,3,,,8,,,,,8,17,,,,,,,,,10,,,,56,,,3,15,,,,,3,,,,,,175,,24,,29,,,,,7,104,,,3,,,54,,,,,,,,3,,,4,,,,,,,5,,,,,,,,,,,,,,,14,16,,,11,,,,,,55,,,7,,5,,,6,,,,,,,,3,,,,,,,,8,126,,,,,,,,,,,,,,,,,,,,,,33,,,9,,7,,,21,,,,4,7,,3,,39,,3,,,,,,,,,,,,,,,,,,,,,,3,,65,,,,,7,,,,,,8,,,5,,,,12,,68,,,,4,,,,,,,6,,,3,4,,
25-03-2020,,,,5,8,,,3,,,,,,,,35,,3,,,,,,24,,,,,,3,,,,,,,6,,,,3,,6,,,,,,,,25,4,,,,,,,,,,,4,43,,,,,,,,,,,3,,41,3,,4,,,,,3,,,9,,,,,9,17,,,,,,,,,10,,,,62,,,3,17,,,,,3,,,,,,187,,28,,27,,,,,8,119,,,4,,,56,,,,,,,,3,,,5,,,,,,,4,,,,,,,,,,,,,,,18,17,,,18,,,,,3,58,,,8,,10,,,7,,,,,,,,3,,,,,,,,7,137,,,,,,,,,,,,,,,,,,,,,,39,,,9,,8,,,29,,,,4,9,,3,,43,,3,,,,,,,,,,,,,,,,,,,,,,4,,71,,,,,7,,,,,,8,,,6,,,,14,,83,,,,9,,,,,,,11,,,3,5,,
26-03-2020,,,,21,18,,,3,,,,,,,,35,,3,,,,3,,31,,6,,,,8,,,,,,,46,,,,15,,6,,,,,,,,98,19,,,,,,3,,4,,,4,44,,,,,,,,,,,3,,87,4,,4,,,,,,,,13,5,6,,5,25,24,,,,,,,,,,,,,114,,6,,41,,,,,,4,,,,7,284,8,28,,33,,3,,,8,157,,,,6,,81,,,,,,,,5,,,5,,,,,,4,4,,,,,,,,,,,3,,,,18,17,,,26,,6,,,3,119,,,16,,19,,,11,,,,,,,,12,,,,5,,,,16,259,,,,,,4,13,,,3,,,,,,,,,,,,45,,,9,,13,,,29,,,,4,9,,5,,8,,7,,,,3,,,,,,,,,,,,,,,8,,3,3,,100,,,,,19,,,,,,12,,,6,,,,44,,163,,,,8,3,,,,,,20,,,10,8,10,
27-03-2020,,,,28,22,,,3,,,,,,,,35,3,3,,,,3,,31,3,7,4,,,8,,,,,,,55,,,,20,,6,,,,,,,,131,20,,,,,,3,,4,,,4,44,,,,,,,,,,,3,,109,5,,4,,,,,,,,17,5,9,,5,26,26,,,3,,,,,,,,,,149,,6,,51,,,,,4,,,,,7,284,14,28,,38,,4,,,8,171,,,,6,,107,,,,,,,,6,,,5,,,,,,8,4,,,,,,4,,,,,3,,,,18,17,,,30,,7,,,3,145,,,18,,22,,4,11,,,,,,,,13,,,,5,,,,17,317,,,,,,7,15,,,9,,,,,,,,,,,,54,,,9,,20,,,29,,,,4,9,,5,,8,,7,,,,9,,,,,,,,,,,3,,,,8,,4,5,,108,,,,,19,,,,,,15,,,6,,,,48,,262,,,,34,5,,5,,,,21,3,,10,8,12,
28-03-2020,,,,28,22,,,3,,,,,,,,53,3,7,,3,,4,,41,4,8,4,,,7,,,8,,,,62,,,,20,,18,,,,6,,,,152,25,,,8,,4,3,,7,3,,13,81,,,,,,,,,,,10,,110,6,,4,,,,,4,,,18,7,15,,5,26,26,,,3,,,,,,16,,,,153,,6,,51,,4,,,3,,,,,7,366,13,57,,38,,4,,3,24,219,,,9,7,,189,,,,,,,,8,,,10,,,,,,8,9,3,,,,,5,,,,,4,,,,46,47,,,46,3,7,,,4,145,5,,21,,22,,3,13,,,,,,,,13,,,,5,,,,17,343,,,,,,7,15,,3,32,,,,,,,,,,,,103,,,20,,24,,,59,,,,7,15,,5,,116,,7,,,,13,,,,,,,,,6,,3,3,13,,14,,5,15,,139,,5,,,24,,,,,,22,,,16,,,,48,,262,,,3,98,5,,10,,,,21,4,,13,12,12,
29-03-2020,,,,32,19,,,3,,,,,,,,64,,7,,3,,4,,53,5,9,4,5,,9,,,10,,,,95,,,4,29,,17,,,,13,,,,208,38,,,3,,4,3,,8,3,,11,110,,,,,,,,,,,11,3,199,13,,4,,,,,6,,,27,8,16,,5,20,37,,,3,,,,,,23,,,,242,,3,,70,,4,,,,18,,,4,10,594,15,64,,42,3,5,,3,27,296,,,15,7,,254,,4,,,,3,,10,,,12,,,,,,10,11,3,,,,,6,,,,,4,,,,63,74,,3,67,7,9,,,5,159,7,,34,,31,,3,21,,,,,,5,,18,7,5,,3,,,,18,417,,,,,,12,16,,3,26,,,,,,,,,4,,,136,,,22,,42,,,66,,,,10,20,3,5,4,148,,6,,,,28,,3,,,,,,,3,,,,11,,29,,5,24,,184,3,6,,,33,,,3,,,32,,,22,,,,61,,351,,,3,103,5,,14,,3,,20,5,,15,20,12,
30-03-2020,7,,,50,21,3,,3,,,4,,,,,68,6,9,,3,,4,,63,6,9,5,5,,9,,,12,,,,95,,3,4,35,,23,,,,12,,,,213,44,,,8,,4,3,,8,3,,13,119,,,,,22,,,,,,12,5,229,15,,5,,,,,6,,,29,8,23,,6,21,42,,,7,,,,,,23,,,,276,,6,4,75,3,6,,,,18,,,4,10,633,17,72,,44,4,7,,3,31,313,,,18,7,,295,,5,4,,,4,,10,,,12,,,,,,12,11,3,,,,,6,,,,,5,,,,64,79,,3,71,7,10,,,5,241,9,,35,,35,,5,22,,,,,3,6,,19,7,5,,5,,,,19,941,,,3,,,12,24,,4,27,,,,4,,,,,4,,,154,,,26,6,44,,4,68,,,,11,24,3,5,4,159,,8,,,,32,,3,3,,,,,,9,,3,4,13,5,30,,5,25,,202,3,6,,,36,,3,5,,,39,,,24,,,,71,19,344,,,3,115,5,,15,,3,,28,5,,18,21,18,
31-03-2020,,,,31,30,,,4,,,4,,,,,71,,8,,3,,4,,62,8,11,5,,,9,,,12,,,,70,,,,39,,37,,,,7,,,,220,48,,,,,5,3,,11,3,,9,133,,,,,,,,,,,10,3,157,19,,7,,,,,6,,,25,10,20,,7,26,45,,,3,,,,,,18,,,,298,,3,3,81,3,6,,,3,,,,5,6,505,23,84,,52,5,7,,3,34,293,,,17,7,,273,,3,4,,,3,,11,,,22,,,,,,12,14,5,,,,,6,,,,,4,,,,66,70,,3,59,6,9,,,5,159,11,,42,,40,,5,31,,,,,,3,,21,,5,,,,,,21,462,,,,,,14,15,,3,35,,,,4,,,,,4,,,148,,,27,6,43,,,71,,,,10,25,,6,3,167,,7,,,,25,,3,3,,,,3,,3,,,,13,,31,,5,22,,210,3,5,,,33,,3,5,,,34,,,22,,,,93,,338,,3,3,121,9,,25,,3,,19,8,,14,15,14,
01-04-2020,,,,32,31,,3,5,,,5,,,,,79,,8,,3,,5,,68,9,13,5,,,11,,,14,,,,87,,,4,55,,38,,,,10,,,,245,49,,,,,5,3,,15,3,,,134,,,,,4,,,,3,,11,4,164,20,,7,,,,,7,,,26,10,26,,8,28,50,,,3,,,,,,20,,,,337,,3,3,89,3,6,,,3,,,,6,18,546,25,101,,52,6,7,,4,35,328,,,20,8,,303,,5,5,,,5,,11,,,29,,,,,,13,19,5,,3,,,7,,,,,7,,,,72,78,,5,67,6,10,,,9,194,11,,44,,47,,5,32,,,,,3,5,,36,,5,,,,,,22,505,,,4,,,17,21,,5,36,,,,4,,,,,4,,,162,,,28,6,48,,,79,,,,10,31,,6,3,192,,8,,,,28,,3,3,,,,3,,3,,,,13,3,35,,5,23,3,233,3,5,,,34,,4,5,,,39,,,26,,,,99,,387,,3,3,124,9,,30,,4,,21,11,,19,15,18,
02-04-2020,,,,34,34,,3,5,,,7,,,,,86,,8,,3,,5,,79,11,17,5,,,12,,,14,,,,127,,,4,65,,49,,,,12,,,,280,52,,,,,5,3,,18,3,,9,149,,,,,5,,,,3,,11,4,178,24,,7,,,,,7,,,27,11,31,,8,32,56,,,4,,,,,,20,,,,373,,3,3,99,3,6,,,3,,,,8,19,594,25,109,,55,7,8,,4,37,361,,,21,9,,347,,5,5,,,6,,11,,,29,,,,,,13,21,5,,3,,,7,,,,,7,,,,83,93,,5,71,7,10,,,9,209,11,,46,3,48,,6,37,,,,,4,9,,36,,5,,,,,,21,556,,,4,,,17,23,,5,37,,,,4,,,3,,4,,,174,,,29,6,54,,,85,,3,,9,33,,7,4,224,,8,,,,30,,4,3,,,,3,,4,,,,15,,42,,6,23,3,275,3,5,,,34,,6,5,,,39,,,30,,,,107,,418,,3,3,124,11,,36,,4,,22,11,,20,15,23,
03-04-2020,,,,52,38,,3,5,,,8,,,,,91,,8,,3,,17,,82,12,17,7,,,12,,,14,,,,130,,,5,70,,53,4,3,,13,,,,305,53,,,,,5,4,,19,3,3,9,174,,,3,,5,,,,3,,11,4,201,28,,7,,,,,7,,,28,11,33,,9,34,66,,,7,,3,,,,20,,,,424,3,3,4,105,4,6,,,3,,,,8,21,634,26,117,,60,7,8,,4,37,390,,,24,9,,368,,7,7,,,6,,11,,,29,,,,,,14,22,5,,3,,,7,,,,,8,,,,86,100,,7,75,7,10,,,10,220,11,,56,3,64,,7,39,,,,,5,9,,36,,5,,,,,,23,606,,,4,,,17,27,,7,37,,,,4,,,3,,4,,,187,,,29,6,58,,,92,,3,,10,34,,7,3,242,,8,,,,31,,4,3,,,,3,,4,,,3,16,,45,,7,25,3,308,3,5,,,38,,6,7,,,40,,,34,,,,110,,449,,3,3,124,11,,41,,4,5,24,11,,22,15,25,
04-04-2020,,,,53,39,,5,7,,,9,,,,,111,,8,,3,,22,,91,15,17,10,,3,19,,,15,,,,140,,,5,83,,54,4,3,,22,3,,,333,52,4,,,,4,6,,22,3,,10,187,,,3,,6,,,,4,,13,3,216,29,,9,,,,,7,,,28,14,34,,10,36,72,,,9,,,,,,20,,,,447,,3,4,120,4,6,,,,,,,8,22,654,26,126,,64,7,8,,4,39,404,,,26,9,,386,,7,7,,,6,,12,,,30,,,,,,14,22,6,,,,,6,,,,,9,,,,93,116,,7,82,7,11,,,14,222,11,,66,3,69,,7,42,,,,,5,9,,35,,6,,5,,,,22,643,,,4,,,21,30,,7,42,,,,9,,,4,,4,,,212,,,38,6,64,,,96,,3,,12,36,4,10,4,254,,8,,,,32,,6,3,,,,6,,4,,,4,19,,43,,7,31,3,320,3,5,,,39,,8,7,,,47,,,35,,,,121,,468,,3,3,127,,,41,,4,5,29,12,,24,15,45,
05-04-2020,,,,54,40,,5,7,,,9,,,,,121,,8,,3,,22,,99,21,18,11,,3,21,,,15,,,,141,,,7,90,,54,4,3,,23,3,,,349,64,5,,,,4,7,,22,3,,12,190,,,4,,8,,,,6,,16,3,216,29,,9,,,,,7,,,31,14,36,,12,37,91,,,9,,,,,,20,,,,478,,3,4,127,4,6,,,3,3,,,9,22,681,33,131,,81,7,10,,4,42,422,,,27,10,,395,,8,7,,,6,,14,,3,31,,,,,,14,23,6,,,,,6,,,,,9,,,,95,120,,7,84,7,11,,,15,238,11,,91,3,84,,7,49,,,,,5,9,,35,,6,,6,,,,23,660,,,5,,,21,30,,8,45,,,,9,,,4,,4,,,216,,,38,6,73,,,101,,4,,13,37,5,10,4,269,,8,,,,32,,6,3,,,,11,3,5,,12,4,21,,48,,8,33,4,344,3,5,,,49,,9,7,,,47,,3,36,,,,143,,499,,3,3,129,15,,43,,6,9,33,15,,24,15,54,
06-04-2020,,,,54,44,,6,8,,,9,,,,,125,,8,,4,,22,,107,21,18,11,,3,21,,,16,,,,142,,,7,93,,54,4,3,,23,3,,,358,65,5,3,,,4,7,,22,3,,14,197,,,5,,8,,,,6,,16,3,222,29,,10,,,,,7,,,37,14,36,,12,39,94,,,9,,3,,,,21,,,,489,,3,5,131,4,6,,,3,3,,,9,22,699,39,130,,87,7,10,,4,42,444,,,28,10,,400,,8,8,,,6,,14,,3,32,,,,,,14,24,6,,,,,6,,,,,9,,,,95,125,,9,86,7,11,3,,15,224,11,,96,5,92,,7,53,,,,,6,9,,35,,6,,7,,,,24,689,,,5,,,21,30,,8,45,,,,8,,,4,,4,,,224,,,38,7,82,,,102,,4,,12,37,5,11,3,278,,8,,,,35,,6,3,,,,24,3,5,,12,4,22,,56,,8,36,4,364,3,5,,,68,,9,7,,,47,,3,36,,,,145,,518,,3,3,129,15,,44,,7,9,33,15,,25,15,54,
07-04-2020,,,,54,46,,7,7,,,10,,,,,130,,8,,6,,22,,108,27,19,12,,4,26,,,17,,,,151,,,7,103,,56,4,3,,24,4,,,407,71,5,3,,,4,8,,22,4,3,15,203,,,5,,8,,,,7,,16,4,233,36,,10,,,,,7,,,37,16,37,,13,39,108,,,9,,3,,,,21,,,,528,,3,3,147,4,6,,,3,3,,,10,25,754,41,134,4,92,7,13,,4,45,465,,,30,11,,416,,10,9,,,7,,14,,3,35,,,,,,14,26,7,,,,,6,,,,,9,,,,99,142,,9,92,7,13,,,19,247,11,,110,6,112,,8,56,,,,,7,9,,34,,6,,12,,,,25,730,,,5,,,23,33,,8,52,,,,8,,,5,,4,,,231,,,42,7,93,,,109,,6,,13,40,5,11,4,299,,8,,,,35,,6,3,,,,24,4,6,,18,7,26,,57,,9,39,4,387,4,5,,,75,,9,7,,,49,,5,42,,,,150,7,551,,3,3,132,15,,48,,7,9,36,17,,26,15,86,
08-04-2020,3,,,54,45,3,7,7,,,10,,,,,134,,8,,6,,22,,113,27,19,13,,4,26,,,17,,,,152,,,7,107,,57,4,5,,25,4,,,423,71,5,3,,,4,8,,24,4,4,16,218,,,5,,18,,,,7,,16,4,237,36,,11,,3,,,7,,,37,16,39,,13,39,111,,,10,,3,,,,21,,,,556,,3,3,149,5,6,,,3,3,,,10,25,773,41,138,5,93,7,13,,4,46,485,,,30,11,,425,,10,12,,,7,,15,,3,38,,,,,,14,26,9,,,,,6,,,,,10,,,,100,146,,9,94,8,13,,,19,273,11,,113,6,113,,8,56,,,,,7,9,,34,,6,,12,,,,25,750,,,5,,,23,34,,8,52,,,,8,,,5,,4,,,233,,,42,8,94,,,113,,6,,13,43,5,10,4,310,,8,,,,36,,6,3,,,,24,4,7,,18,7,28,4,59,,9,40,5,397,4,5,,,79,,11,7,,,50,,5,44,,,,154,7,576,,3,3,132,15,,49,,7,9,37,17,,26,17,86,
09-04-2020,3,,,52,50,3,7,7,,,11,,,,,138,5,9,,6,,22,,129,30,21,12,,4,32,3,,23,,,,153,,,7,122,,56,4,5,,25,3,,,521,76,4,3,4,,4,8,,26,5,6,18,226,,,5,,59,,,6,8,,15,5,258,38,,16,,5,,,7,,,39,21,39,,16,42,118,,,12,3,4,,,,21,,,,587,11,3,14,161,5,6,,,3,3,,,10,29,797,41,158,5,98,7,16,,5,49,512,11,,39,11,,444,,10,14,,,8,3,13,,5,40,,,,,,14,27,11,,,,,6,,,,,12,,,,112,152,,9,99,8,14,3,,21,275,14,,126,6,130,,8,72,,,,,7,10,8,31,,6,3,16,,,,29,776,3,,5,,,25,33,,8,53,,,,8,3,,5,,4,,,246,,,46,8,107,,5,116,,6,,16,44,5,15,4,334,,10,,5,,36,,7,3,,,,25,6,8,7,19,7,28,10,66,3,9,44,6,429,5,6,,,82,,13,8,,,55,,5,48,,,3,168,69,631,,3,3,131,13,,57,,7,10,55,19,,30,21,83,
10-04-2020,4,,,52,54,3,7,9,,5,14,,,,,140,6,9,,6,,22,,147,32,24,13,,4,34,3,,23,,,,158,,,6,126,,74,4,5,,26,3,,,546,75,6,3,4,,4,9,,28,5,6,18,238,,,7,,64,,,6,8,,19,6,266,38,,16,,5,,,7,3,,39,26,42,,23,44,126,,,13,3,4,,,,26,,,,629,12,4,14,174,5,6,,,3,3,,,10,32,851,42,179,5,98,7,17,,5,53,543,12,,42,10,,619,,11,14,,,8,4,15,,7,51,,,,,,14,37,11,,,,,6,,,,,13,,,,124,161,,10,106,8,15,4,,25,379,14,,132,6,136,,9,78,,,,,7,11,9,31,,5,3,17,,3,,30,840,3,,5,,,25,47,,8,53,,,,8,3,,5,,6,,,254,,,46,8,114,,5,125,,17,,17,52,5,16,4,358,,11,,5,,41,,7,3,,,,25,6,8,8,19,9,29,10,72,4,11,48,6,455,5,6,,,87,,13,8,,,68,,5,55,,3,3,180,70,710,,3,3,134,13,,57,,7,10,62,20,,31,21,84,
11-04-2020,4,,,52,52,3,7,9,,5,15,,,,,142,6,10,,5,,22,,153,35,25,13,,4,39,3,,25,,,,160,,,6,133,,74,4,6,,26,,,,579,82,7,3,6,,4,9,,28,5,7,18,251,,,7,,81,,,7,8,,19,6,265,40,,16,,5,,,7,4,,42,26,44,,28,42,145,,,12,3,4,,,,26,,,,646,12,4,15,189,5,6,,,3,3,,,13,36,867,41,191,5,107,7,17,,5,52,565,34,,43,10,,643,,11,14,,,8,4,17,,8,51,,,,,,14,38,11,,,22,,6,,,,,13,,,,131,163,,11,114,8,15,4,,25,403,14,,141,6,146,,9,84,,,,,6,13,9,31,,5,4,19,,,,29,852,3,,5,,,27,56,,8,53,,,,8,3,,5,3,6,,,265,,,45,11,128,,5,127,,17,,17,52,7,15,4,374,,12,,5,,44,,8,3,,,,26,6,9,7,21,9,29,11,75,4,13,52,6,464,5,6,,,95,,13,8,,,77,,5,60,,3,4,193,70,758,,3,3,134,13,,62,,8,10,65,21,,32,21,87,3
