data,ABRANTES,AGUIAR DA BEIRA,ALANDROAL,ALBERGARIA-A-VELHA,ALBUFEIRA,ALCANENA,ALCOBAÇA,ALCOCHETE,ALCOUTIM,ALCÁCER DO SAL,ALENQUER,ALFÂNDEGA DA FÉ,ALIJÓ,ALJEZUR,ALJUSTREL,ALMADA,ALMEIDA,ALMEIRIM,ALMODÔVAR,ALPIARÇA,ALTER DO CHÃO,ALVAIÁZERE,ALVITO,AMADORA,AMARANTE,AMARES,ANADIA,ANGRA DO HEROÍSMO,ANSIÃO,ARCOS DE VALDEVEZ,ARGANIL,ARMAMAR,AROUCA,ARRAIOLOS,ARRONCHES,ARRUDA DOS VINHOS,AVEIRO,AVIS,AZAMBUJA,BAIÃO,BARCELOS,BARRANCOS,BARREIRO,BATALHA,BEJA,BELMONTE,BENAVENTE,BOMBARRAL,BORBA,BOTICAS,BRAGA,BRAGANÇA,CABECEIRAS DE BASTO,CADAVAL,CALDAS DA RAINHA,CALHETA,CALHETA (AÇORES),CAMINHA,CAMPO MAIOR,CANTANHEDE,CARRAZEDA DE ANSIÃES,CARREGAL DO SAL,CARTAXO,CASCAIS,CASTANHEIRA DE PÊRA,CASTELO BRANCO,CASTELO DE PAIVA,CASTELO DE VIDE,CASTRO DAIRE,CASTRO MARIM,CASTRO VERDE,CELORICO DA BEIRA,CELORICO DE BASTO,CHAMUSCA,CHAVES,CINFÃES,COIMBRA,CONDEIXA-A-NOVA,CONSTÂNCIA,CORUCHE,CORVO,COVILHÃ,CRATO,CUBA,CÂMARA DE LOBOS,ELVAS,ENTRONCAMENTO,ESPINHO,ESPOSENDE,ESTARREJA,ESTREMOZ,FAFE,FARO,FELGUEIRAS,FERREIRA DO ALENTEJO,FERREIRA DO ZÊZERE,FIGUEIRA DA FOZ,FIGUEIRA DE CASTELO RODRIGO,FIGUEIRÓ DOS VINHOS,FORNOS DE ALGODRES,FREIXO DE ESPADA À CINTA,FRONTEIRA,FUNCHAL,FUNDÃO,GAVIÃO,GOLEGÃ,GONDOMAR,GOUVEIA,GRÂNDOLA,GUARDA,GUIMARÃES,GÓIS,HORTA,IDANHA-A-NOVA,LAGOA,LAGOA (FARO),LAGOS,LAJES DAS FLORES,LAJES DO PICO,LAMEGO,LEIRIA,LISBOA,LOULÉ,LOURES,LOURINHÃ,LOUSADA,LOUSÃ,MACEDO DE CAVALEIROS,MACHICO,MADALENA,MAFRA,MAIA,MANGUALDE,MANTEIGAS,MARCO DE CANAVESES,MARINHA GRANDE,MARVÃO,MATOSINHOS,MAÇÃO,MEALHADA,MELGAÇO,MESÃO FRIO,MIRA,MIRANDA DO CORVO,MIRANDA DO DOURO,MIRANDELA,MOGADOURO,MOIMENTA DA BEIRA,MOITA,MONCHIQUE,MONDIM DE BASTO,MONFORTE,MONTALEGRE,MONTEMOR-O-NOVO,MONTEMOR-O-VELHO,MONTIJO,MONÇÃO,MORA,MORTÁGUA,MOURA,MOURÃO,MURTOSA,MURÇA,MÉRTOLA,MÊDA,NAZARÉ,NELAS,NISA,NORDESTE,ODEMIRA,ODIVELAS,OEIRAS,OLEIROS,OLHÃO,OLIVEIRA DE AZEMÉIS,OLIVEIRA DE FRADES,OLIVEIRA DO BAIRRO,OLIVEIRA DO HOSPITAL,OURIQUE,OURÉM,OVAR,PALMELA,PAMPILHOSA DA SERRA,PAREDES,PAREDES DE COURA,PAÇOS DE FERREIRA,PEDRÓGÃO GRANDE,PENACOVA,PENAFIEL,PENALVA DO CASTELO,PENAMACOR,PENEDONO,PENELA,PENICHE,PESO DA RÉGUA,PINHEL,POMBAL,PONTA DELGADA,PONTA DO SOL,PONTE DA BARCA,PONTE DE LIMA,PONTE DE SOR,PORTALEGRE,PORTEL,PORTIMÃO,PORTO,PORTO DE MÓS,PORTO MONIZ,PORTO SANTO,POVOAÇÃO,PROENÇA-A-NOVA,PÓVOA DE LANHOSO,PÓVOA DE VARZIM,REDONDO,REGUENGOS DE MONSARAZ,RESENDE,RIBEIRA BRAVA,RIBEIRA DE PENA,RIBEIRA GRANDE,RIO MAIOR,SABROSA,SABUGAL,SALVATERRA DE MAGOS,SANTA COMBA DÃO,SANTA CRUZ,SANTA CRUZ DA GRACIOSA,SANTA CRUZ DAS FLORES,SANTA MARIA DA FEIRA,SANTA MARTA DE PENAGUIÃO,SANTANA,SANTARÉM,SANTIAGO DO CACÉM,SANTO TIRSO,SARDOAL,SEIA,SEIXAL,SERNANCELHE,SERPA,SERTÃ,SESIMBRA,SETÚBAL,SEVER DO VOUGA,SILVES,SINES,SINTRA,SOBRAL DE MONTE AGRAÇO,SOURE,SOUSEL,SÁTÃO,SÃO BRÁS DE ALPORTEL,SÃO JOÃO DA MADEIRA,SÃO JOÃO DA PESQUEIRA,SÃO PEDRO DO SUL,SÃO ROQUE DO PICO,SÃO VICENTE,TABUAÇO,TAROUCA,TAVIRA,TERRAS DE BOURO,TOMAR,TONDELA,TORRE DE MONCORVO,TORRES NOVAS,TORRES VEDRAS,TRANCOSO,TROFA,TÁBUA,VAGOS,VALE DE CAMBRA,VALENÇA,VALONGO,VALPAÇOS,VELAS,VENDAS NOVAS,VIANA DO ALENTEJO,VIANA DO CASTELO,VIDIGUEIRA,VIEIRA DO MINHO,VILA DA PRAIA DA VITÓRIA,VILA DE REI,VILA DO BISPO,VILA DO CONDE,VILA DO PORTO,VILA FLOR,VILA FRANCA DE XIRA,VILA FRANCA DO CAMPO,VILA NOVA DA BARQUINHA,VILA NOVA DE CERVEIRA,VILA NOVA DE FAMALICÃO,VILA NOVA DE FOZ CÔA,VILA NOVA DE GAIA,VILA NOVA DE PAIVA,VILA NOVA DE POIARES,VILA POUCA DE AGUIAR,VILA REAL,VILA REAL DE SANTO ANTÓNIO,VILA VELHA DE RÓDÃO,VILA VERDE,VILA VIÇOSA,VIMIOSO,VINHAIS,VISEU,VIZELA,VOUZELA,ÁGUEDA,ÉVORA,ÍLHAVO,ÓBIDOS
27-07-2020,2,,,0,14,1,-1,2,,0,27,0,0,1,1,105,1,0,2,0,,0,,196,1,1,0,0,1,0,0,0,5,,,2,7,,10,0,0,,49,4,4,,9,0,,,9,11,0,1,11,,0,2,,5,0,0,3,170,,0,0,,0,0,,1,1,1,2,2,6,0,,1,,0,0,3,1,0,11,1,0,0,,2,21,6,,,7,,1,0,0,,1,0,,0,10,0,0,6,8,0,1,1,,3,7,,,0,17,324,27,196,2,2,1,10,3,0,60,17,0,0,4,4,,12,0,2,0,,1,1,12,1,1,0,66,1,,,0,0,7,14,0,,0,15,1,1,0,,,1,0,,0,6,163,104,2,4,2,0,6,0,,10,6,6,,3,1,7,0,2,3,,0,,0,0,2,0,3,7,0,0,2,2,-1,0,9,20,2,,0,0,0,1,13,4,-1,0,,0,,4,0,1,2,0,2,0,,23,,,21,10,0,,0,103,0,1,0,10,29,0,6,7,476,8,-1,,0,1,0,,0,0,,0,,0,0,16,0,1,1,31,0,1,0,1,2,0,14,0,0,0,0,8,,0,0,,0,67,,0,96,,3,1,6,0,49,,0,0,-1,0,,1,0,1,0,4,3,0,3,8,0,7
03-08-2020,4,,,1,19,0,6,1,,1,10,1,0,0,0,70,0,0,0,0,,0,,172,0,3,0,0,1,0,0,0,4,,,3,3,,10,16,0,,22,3,3,,11,-1,,,12,30,0,1,17,5,0,2,,2,0,0,-1,139,,1,0,,0,0,,0,0,2,2,0,6,0,,2,,0,0,-1,0,8,15,0,0,0,,3,17,2,3,,5,,0,0,0,,3,1,,4,8,1,1,3,7,0,1,0,,5,2,,,1,12,322,17,161,8,5,1,0,3,0,55,13,0,0,1,0,,12,6,1,0,,0,0,5,0,0,0,37,0,,,0,0,1,8,-1,,1,26,1,0,0,,,0,0,,0,10,148,74,13,1,4,0,1,0,,7,3,7,,5,1,11,0,1,5,,0,,0,1,1,0,7,3,0,0,1,6,1,0,8,29,3,,0,0,1,0,23,0,0,1,,0,,3,0,1,7,0,0,0,,24,,,19,4,0,0,0,61,0,3,2,8,41,0,13,4,354,12,0,,0,1,0,,0,0,,0,,0,0,40,1,0,0,16,0,1,0,1,2,0,8,0,0,0,0,5,,0,0,,0,65,,0,82,,3,0,28,0,44,,0,0,0,0,,4,,0,3,5,7,0,3,4,0,2
10-08-2020,5,,,5,16,0,24,6,,6,24,1,0,0,0,50,0,1,0,0,,0,,114,2,3,0,0,0,-1,0,0,1,0,,4,3,,11,38,10,,25,0,1,,16,-2,,,11,21,0,1,16,4,0,0,,1,0,0,-2,96,,3,1,,0,0,,0,1,3,-1,0,8,0,,2,,0,0,-2,1,8,18,2,2,0,,2,14,0,0,6,1,,0,0,0,,8,1,,5,4,2,2,5,12,0,0,0,,5,16,,,1,8,283,11,129,8,7,1,0,0,0,56,11,0,0,1,1,,16,13,1,0,,0,0,5,0,0,0,26,0,,,0,0,0,8,0,,1,17,0,1,0,,,1,0,,0,8,101,84,11,-1,4,0,0,0,,1,3,9,,9,0,13,0,7,9,,0,,0,1,0,0,6,8,0,0,1,5,1,0,14,45,3,,0,0,1,4,45,-1,3,2,,0,,2,0,0,6,2,1,0,,21,,,7,3,0,0,1,44,0,4,4,12,41,0,8,4,211,10,0,,0,-2,0,,0,1,,0,,0,0,35,1,0,0,63,0,5,0,0,1,1,5,0,0,0,0,3,,0,0,,0,95,,0,72,,1,0,35,0,34,,0,1,0,0,,3,0,0,3,4,4,0,3,4,0,2
17-08-2020,4,,0,5,10,0,30,10,,5,31,0,1,0,-1,52,0,2,0,3,,0,,88,5,1,0,0,0,0,0,0,0,1,,2,10,,20,33,22,,52,-1,3,,31,0,,,36,10,1,15,4,0,0,0,,2,0,0,0,68,,3,8,,2,0,,0,1,3,1,0,6,0,,1,,0,0,-1,2,0,16,2,6,2,,2,14,0,-1,1,1,,0,0,0,,12,-1,2,2,6,2,5,3,16,1,1,0,,4,23,,,1,14,260,20,99,7,10,1,2,0,0,46,15,1,0,4,1,,20,10,3,0,,0,2,4,0,0,0,33,0,1,,0,23,1,12,2,33,0,3,0,1,0,,,1,0,,0,5,84,104,0,-1,2,0,1,0,,0,5,5,,8,0,29,0,7,15,,0,,0,0,2,0,4,6,0,0,4,1,0,0,13,47,2,,0,0,0,5,71,0,2,1,,0,,2,0,0,0,3,1,0,,13,,,7,0,1,0,1,29,0,1,2,10,40,2,4,3,208,5,0,,2,-2,2,,0,0,,0,,3,0,12,0,0,1,83,0,21,1,0,2,1,7,1,0,0,0,6,,0,0,,0,141,,1,105,,1,0,57,0,27,,0,1,1,0,,1,,0,0,5,0,1,6,4,3,2
24-08-2020,3,,0,1,16,0,20,6,,5,15,0,1,0,-1,54,0,1,0,3,,0,,112,6,5,0,0,1,1,3,0,4,2,,3,11,,14,11,22,,48,-1,2,,26,2,,,44,12,1,14,1,1,0,3,,4,0,0,4,65,,1,11,,2,0,,0,1,1,3,0,7,0,0,1,,0,0,0,2,0,10,1,8,3,,12,15,1,0,0,2,1,0,0,0,,10,-1,0,2,15,1,3,1,19,1,1,0,,5,10,,,2,31,253,20,90,9,13,1,13,2,0,26,17,0,0,5,0,,20,4,2,0,,0,3,2,0,4,0,24,0,1,,0,30,1,10,2,52,0,0,0,0,0,,,3,0,,7,4,136,101,0,1,1,2,2,0,,0,4,3,,17,0,34,0,0,23,,0,,1,0,2,0,3,0,0,1,3,1,0,0,12,53,1,,0,0,0,6,77,1,2,0,0,0,,5,0,0,2,1,2,0,,13,,0,10,2,2,0,1,33,0,0,0,10,60,2,5,0,234,4,1,,2,1,2,,0,-1,,0,,4,0,1,0,1,3,60,0,27,1,0,1,0,7,1,0,0,0,12,,0,0,,0,149,,1,126,,1,0,57,0,45,,0,0,3,0,,8,,4,1,9,2,2,11,4,5,0
31-08-2020,4,,0,1,17,0,10,3,,26,15,-1,1,0,0,71,0,-1,0,-1,,0,,144,6,8,0,0,1,0,5,7,34,7,,10,6,,75,3,19,,25,0,-1,,7,2,,,66,10,1,-1,-1,0,0,8,,6,0,0,4,87,,1,8,,1,0,,3,6,1,13,0,13,2,0,3,,0,0,1,1,0,6,1,6,1,,13,29,14,0,0,4,0,0,0,0,,14,0,0,3,16,0,0,4,63,0,0,0,,6,6,,,1,37,265,25,82,3,12,1,11,2,0,22,16,1,0,11,1,,49,1,0,0,,0,2,0,2,5,0,17,0,0,,0,12,0,7,1,22,0,3,0,1,0,,,5,0,,7,7,149,92,0,4,15,6,1,1,,1,4,8,,36,0,21,1,0,38,,0,,1,2,0,0,-1,2,1,3,5,3,0,0,10,72,1,,3,0,0,9,81,0,5,0,2,0,,7,0,0,6,1,3,0,,27,4,0,45,2,12,0,3,58,0,0,0,15,79,0,10,2,241,2,3,,0,5,6,,1,0,,0,,1,2,1,0,4,6,36,0,21,0,0,0,0,10,1,0,0,0,27,,1,0,,3,122,,0,163,,1,0,57,0,63,,0,0,3,1,,58,,10,2,20,4,6,11,1,3,0
07-09-2020,4,,0,1,14,2,7,4,,21,17,-1,1,0,0,77,0,2,0,-1,,0,,175,11,9,5,0,0,2,2,7,128,7,,21,19,,77,5,16,,36,3,-1,,11,-1,,,90,14,5,0,2,0,0,9,,19,0,0,0,103,,4,12,,2,0,,4,7,3,19,4,26,4,0,2,,1,0,1,1,0,1,3,4,1,,10,25,53,0,0,8,0,1,0,0,,18,0,0,2,13,1,3,6,160,0,0,0,,6,7,,,1,27,351,41,109,0,71,1,9,0,0,34,29,2,0,28,2,,74,1,1,0,,0,1,0,7,5,1,24,0,0,,1,8,0,9,6,2,0,4,0,1,0,,,4,3,,0,17,124,107,0,7,30,4,0,1,,2,6,10,,46,0,40,1,0,51,,0,,0,3,0,0,2,1,1,6,8,1,1,0,11,72,2,0,4,0,0,12,86,0,7,0,2,0,,3,0,0,4,6,5,0,,42,0,0,66,2,31,0,4,74,30,1,0,15,76,1,14,7,346,2,3,,3,4,8,,1,0,,0,,1,4,5,1,4,4,8,0,14,0,0,1,2,7,1,0,1,0,37,,1,0,,3,79,,0,165,,1,4,123,0,85,,0,5,2,3,,79,,11,5,28,12,5,17,0,7,0
14-09-2020,7,,0,1,23,3,22,11,,3,14,0,1,1,2,99,1,4,0,3,,0,,247,13,12,8,3,0,5,0,0,129,2,,27,27,,12,3,36,,32,3,3,,15,0,,,85,15,4,2,8,1,0,8,,29,0,0,2,128,,8,11,,2,3,,1,3,5,24,4,34,3,0,4,,2,1,0,2,3,16,9,5,1,,11,7,53,0,1,11,14,2,0,0,,15,0,0,1,21,4,12,6,206,0,0,1,,11,7,,,3,20,515,29,220,1,122,1,18,0,0,57,53,0,0,26,2,,66,1,1,1,,0,2,-1,10,6,2,32,0,0,,1,11,10,11,8,1,0,1,0,0,0,,,3,6,,0,22,155,183,0,6,25,2,0,1,,1,6,15,,49,1,59,0,11,59,,0,,0,10,0,0,19,0,0,10,13,-1,16,0,14,76,11,0,1,1,0,27,104,1,6,0,0,0,2,3,0,0,3,6,11,0,,46,0,0,54,44,44,0,3,96,67,1,1,27,86,2,10,13,471,5,3,,3,1,12,0,1,0,,0,,2,10,11,2,2,5,12,0,9,2,0,4,19,6,0,0,1,0,33,,0,0,,0,68,,0,131,,2,7,149,0,142,,2,8,8,6,,46,,19,6,45,19,2,17,50,12,0
21-09-2020,8,,2,3,40,2,26,17,,5,18,0,2,2,1,153,1,2,0,3,,0,,328,14,14,6,5,0,8,1,1,46,2,,18,21,,23,18,63,,42,5,7,,21,0,,,80,24,1,3,9,3,0,8,7,27,1,0,9,234,,19,2,,2,8,,0,1,6,40,0,40,3,2,12,,5,1,2,3,4,21,14,10,1,1,11,14,35,0,1,9,15,1,0,2,,10,1,0,5,58,3,14,6,240,0,0,1,,14,45,,,5,30,755,17,301,4,70,2,11,1,0,66,75,4,0,14,8,,84,6,0,1,,0,6,3,7,3,9,56,0,1,,0,19,20,20,6,5,0,2,0,1,0,,,4,7,,0,14,219,240,0,11,27,3,1,4,,14,9,23,,72,2,40,0,32,75,,4,,0,14,1,0,31,1,0,9,17,4,32,0,10,115,14,0,0,1,0,27,132,11,8,0,0,1,0,11,0,0,6,4,9,0,,40,0,1,58,62,48,1,2,142,50,0,2,42,87,2,10,14,616,5,5,,1,5,23,0,3,0,,0,,7,16,21,11,2,10,24,0,10,4,2,4,31,14,4,0,1,0,29,,1,0,,0,118,,0,153,,1,4,126,1,185,,5,13,6,30,,40,,50,3,63,13,3,6,70,15,0
28-09-2020,7,,3,3,54,3,11,13,,3,26,0,1,1,-2,184,1,6,0,0,,0,,297,18,9,5,5,0,9,3,1,18,5,,19,28,,16,38,64,,67,7,15,,27,1,,,87,37,1,5,7,3,0,6,1,27,2,4,12,312,,29,2,,2,15,0,0,0,8,34,2,54,4,2,13,,10,0,3,2,2,23,19,18,2,1,15,32,69,0,0,14,2,0,0,18,,8,5,0,8,87,2,8,10,271,0,0,1,,11,54,,,6,49,915,27,333,10,37,1,13,2,0,53,61,8,0,25,18,,78,9,2,-1,7,0,5,6,6,1,8,82,0,2,,0,15,17,26,6,5,0,3,0,1,2,-1,,6,8,0,0,9,248,242,0,13,38,5,2,8,,20,16,34,,96,1,49,0,24,59,,7,,0,13,2,0,26,1,1,5,9,6,19,0,17,141,12,0,0,0,1,19,116,16,11,0,2,1,0,19,1,3,5,3,3,0,,58,0,1,55,25,40,1,3,163,14,12,2,39,56,1,12,9,691,3,5,,1,4,21,0,7,0,,0,,28,9,15,13,3,15,42,0,19,3,5,4,20,46,4,0,3,2,19,,1,1,,1,129,,2,176,,3,2,99,2,213,,4,11,11,55,5,36,2,40,2,58,14,4,7,27,13,0
