Âmbito Geográfico,Anos,1981,2019
NUTS 2013,Portugal, 9 883 670, 10 295 909
NUTS I,Continente, 9 384 013, 9 798 859
NUTS II,Norte, 3 435 810, 3 575 338
NUTS III,Alto Minho, 258 004, 230 412
Município,Arcos de Valdevez, 31 240, 20 926
Município,Caminha, 15 916, 15 877
Município,Melgaço, 13 276, 8 093
Município,Monção, 23 872, 17 869
Município,Paredes de Coura, 11 309, 8 535
Município,Ponte da Barca, 14 078, 11 180
Município,Ponte de Lima, 44 142, 41 315
Município,Valença, 13 935, 13 290
Município,Viana do Castelo, 81 567, 84 417
Município,Vila Nova de Cerveira, 8 669, 8 910
NUTS III,Cávado, 332 226, 404 444
Município,Amares, 16 618, 18 129
Município,Barcelos, 104 850, 116 187
Município,Braga, 126 835, 182 679
Município,Esposende, 28 946, 34 177
Município,Terras de Bouro, 10 196, 6 361
Município,Vila Verde, 44 781, 46 911
NUTS III,Ave, 371 050, 411 857
Município,Cabeceiras de Basto, 19 191, 15 628
Município,Fafe, 46 183, 48 060
Município,Guimarães, 148 678, 152 309
Município,Mondim de Basto, 10 058, 6 946
Município,Póvoa de Lanhoso, 21 285, 21 499
Município,Vieira do Minho, 18 070, 11 842
Município,Vila Nova de Famalicão, 107 585, 131 676
Município,Vizela,//0, 23 897
NUTS III,Área Metropolitana do Porto, 1 527 021, 1 728 226
Município,Arouca, 24 120, 20 720
Município,Espinho, 32 728, 29 516
Município,Gondomar, 131 813, 165 985
Município,Maia, 82 302, 138 971
Município,Matosinhos, 137 418, 175 357
Município,Oliveira de Azeméis, 63 269, 66 011
Município,Paredes, 68 466, 86 067
Município,Porto, 328 788, 216 606
Município,Póvoa de Varzim, 54 891, 62 784
Município,Santa Maria da Feira, 110 425, 138 636
Município,Santo Tirso, 94 315, 68 055
Município,São João da Madeira, 16 608, 21 958
Município,Trofa,//0, 38 418
Município,Vale de Cambra, 24 419, 21 327
Município,Valongo, 64 827, 97 444
Município,Vila do Conde, 64 878, 79 899
Município,Vila Nova de Gaia, 227 754, 300 472
NUTS III,Alto Tâmega, 131 582, 86 133
Município,Boticas, 8 786, 4 998
Município,Chaves, 46 107, 39 343
Município,Montalegre, 19 409, 8 997
Município,Ribeira de Pena, 10 856, 6 016
Município,Valpaços, 26 169, 14 818
Município,Vila Pouca de Aguiar, 20 255, 11 961
NUTS III,Tâmega e Sousa, 400 159, 415 989
Município,Amarante, 54 628, 53 193
Município,Baião, 24 625, 18 748
Município,Castelo de Paiva, 17 196, 15 454
Município,Celorico de Basto, 22 891, 19 040
Município,Cinfães, 25 764, 18 244
Município,Felgueiras, 48 591, 56 422
Município,Lousada, 38 325, 46 755
Município,Marco de Canaveses, 46 644, 51 496
Município,Paços de Ferreira, 41 124, 56 728
Município,Penafiel, 64 934, 69 772
Município,Resende, 15 437, 10 137
NUTS III,Douro, 261 714, 190 815
Município,Alijó, 18 935, 10 625
Município,Armamar, 9 443, 5 769
Município,Carrazeda de Ansiães, 11 462, 5 666
Município,Freixo de Espada à Cinta, 5 726, 3 298
Município,Lamego, 33 111, 24 895
Município,Mesão Frio, 6 365, 3 964
Município,Moimenta da Beira, 12 869, 9 736
Município,Murça, 8 633, 5 463
Município,Penedono, 4 200, 2 591
Município,Peso da Régua, 22 599, 15 773
Município,Sabrosa, 9 076, 5 918
Município,Santa Marta de Penaguião, 11 232, 6 599
Município,São João da Pesqueira, 10 280, 7 125
Município,Sernancelhe, 7 533, 5 396
Município,Tabuaço, 8 596, 6 033
Município,Tarouca, 9 422, 7 804
Município,Torre de Moncorvo, 13 683, 7 695
Município,Vila Nova de Foz Côa, 11 225, 6 503
Município,Vila Real, 47 324, 49 962
NUTS III,Terras de Trás-os-Montes, 154 054, 107 462
Município,Alfândega da Fé, 7 950, 4 550
Município,Bragança, 35 520, 33 607
Município,Macedo de Cavaleiros, 21 723, 14 516
Município,Miranda do Douro, 9 978, 6 830
Município,Mirandela, 29 063, 21 754
Município,Mogadouro, 15 366, 8 392
Município,Vila Flor, 9 773, 6 044
Município,Vimioso, 8 501, 4 023
Município,Vinhais, 16 180, 7 746
NUTS II,Centro, 2 309 204, 2 217 285
NUTS III,Oeste, 311 855, 358 714
Município,Alcobaça, 52 485, 53 555
Município,Alenquer, 34 603, 44 052
Município,Arruda dos Vinhos, 8 903, 15 412
Município,Bombarral, 13 807, 12 558
Município,Cadaval, 14 500, 13 673
Município,Caldas da Rainha, 41 170, 51 912
Município,Lourinhã, 21 322, 25 855
Município,Nazaré, 15 537, 14 165
Município,Óbidos, 10 572, 11 850
Município,Peniche, 25 811, 26 501
Município,Sobral de Monte Agraço, 7 865, 10 651
Município,Torres Vedras, 65 280, 78 530
NUTS III,Região de Aveiro, 319 083, 363 803
Município,Águeda, 43 512, 46 075
Município,Albergaria-a-Velha, 21 416, 24 144
Município,Anadia, 29 968, 27 258
Município,Aveiro, 60 696, 78 734
Município,Estarreja, 26 417, 26 006
Município,Ílhavo, 31 574, 38 699
Município,Murtosa, 9 840, 10 279
Município,Oliveira do Bairro, 17 556, 24 277
Município,Ovar, 45 644, 54 260
Município,Sever do Vouga, 13 844, 11 331
Município,Vagos, 18 616, 22 740
NUTS III,Região de Coimbra, 468 533, 433 923
Município,Arganil, 15 489, 11 014
Município,Cantanhede, 38 887, 35 011
Município,Coimbra, 140 002, 134 166
Município,Condeixa-a-Nova, 13 250, 17 733
Município,Figueira da Foz, 58 769, 58 747
Município,Góis, 6 417, 3 805
Município,Lousã, 13 014, 17 158
Município,Mealhada, 19 365, 19 914
Município,Mira, 13 341, 11 832
Município,Miranda do Corvo, 12 236, 12 708
Município,Montemor-o-Velho, 27 318, 25 224
Município,Mortágua, 11 325, 8 803
Município,Oliveira do Hospital, 23 620, 19 253
Município,Pampilhosa da Serra, 7 454, 4 037
Município,Penacova, 17 383, 13 694
Município,Penela, 8 005, 5 397
Município,Soure, 22 525, 17 120
Município,Tábua, 13 477, 11 368
Município,Vila Nova de Poiares, 6 656, 6 939
NUTS III,Região de Leiria, 262 691, 284 702
Município,Alvaiázere, 10 511, 6 597
Município,Ansião, 15 482, 12 039
Município,Batalha, 12 673, 15 963
Município,Castanheira de Pêra, 5 122, 2 614
Município,Figueiró dos Vinhos, 8 749, 5 568
Município,Leiria, 97 109, 125 267
Município,Marinha Grande, 31 465, 38 508
Município,Pedrógão Grande, 5 814, 3 410
Município,Pombal, 53 975, 51 461
Município,Porto de Mós, 21 791, 23 275
NUTS III,Viseu Dão Lafões, 285 202, 251 628
Município,Aguiar da Beira, 7 314, 4 652
Município,Carregal do Sal, 11 170, 9 271
Município,Castro Daire, 20 489, 13 823
Município,Mangualde, 21 533, 18 510
Município,Nelas, 15 110, 12 974
Município,Oliveira de Frades, 10 417, 9 936
Município,Penalva do Castelo, 10 201, 7 115
Município,Santa Comba Dão, 14 161, 10 452
Município,São Pedro do Sul, 21 331, 15 403
Município,Sátão, 13 654, 11 580
Município,Tondela, 35 986, 26 357
Município,Vila Nova de Paiva, 6 474, 4 687
Município,Viseu, 83 899, 97 249
Município,Vouzela, 13 463, 9 619
NUTS III,Beira Baixa, 108 165, 80 230
Município,Castelo Branco, 55 006, 51 987
Município,Idanha-a-Nova, 16 009, 8 043
Município,Oleiros, 10 159, 5 003
Município,Penamacor, 9 477, 4 755
Município,Proença-a-Nova, 11 950, 7 298
Município,Vila Velha de Ródão, 5 564, 3 144
NUTS III,Médio Tejo, 266 341, 232 580
Município,Abrantes, 48 727, 35 130
Município,Alcanena, 14 329, 12 809
Município,Constância, 3 945, 4 030
Município,Entroncamento, 12 010, 21 558
Município,Ferreira do Zêzere, 11 044, 7 959
Município,Mação, 12 188, 6 267
Município,Ourém, 41 540, 44 044
Município,Sardoal, 5 007, 3 741
Município,Sertã, 21 465, 14 577
Município,Tomar, 45 696, 36 748
Município,Torres Novas, 37 567, 34 933
Município,Vila de Rei, 4 641, 3 323
Município,Vila Nova da Barquinha, 8 182, 7 461
NUTS III,Beiras e Serra da Estrela, 287 334, 211 705
Município,Almeida, 10 490, 5 830
Município,Belmonte, 6 775, 6 398
Município,Celorico da Beira, 10 297, 6 928
Município,Covilhã, 61 193, 46 787
Município,Figueira de Castelo Rodrigo, 9 142, 5 584
Município,Fornos de Algodres, 6 598, 4 528
Município,Fundão, 32 089, 26 495
Município,Gouveia, 19 095, 12 387
Município,Guarda, 40 486, 38 969
Município,Manteigas, 4 487, 3 007
Município,Mêda, 8 967, 4 587
Município,Pinhel, 14 328, 8 511
Município,Sabugal, 18 847, 10 585
Município,Seia, 31 468, 22 234
Município,Trancoso, 13 072, 8 875
NUTS II,Área Metropolitana de Lisboa, 2 494 179, 2 863 272
NUTS III,Área Metropolitana de Lisboa, 2 494 179, 2 863 272
Município,Alcochete, 11 275, 19 787
Município,Almada, 148 533, 169 039
Município,Amadora, 165 119, 184 106
Município,Barreiro, 88 644, 75 147
Município,Cascais, 142 264, 213 608
Município,Lisboa, 808 786, 509 515
Município,Loures, 278 775, 213 687
Município,Mafra, 43 976, 84 816
Município,Moita, 53 613, 64 407
Município,Montijo, 36 946, 57 614
Município,Odivelas,//0, 161 774
Município,Oeiras, 150 332, 177 408
Município,Palmela, 37 016, 64 269
Município,Seixal, 89 982, 167 752
Município,Sesimbra, 23 266, 51 858
Município,Setúbal, 98 908, 115 126
Município,Sintra, 227 804, 391 402
Município,Vila Franca de Xira, 88 940, 141 957
NUTS II,Alentejo, 820 742, 704 558
NUTS III,Alentejo Litoral, 103 351, 93 521
Município,Alcácer do Sal, 16 394, 11 659
Município,Grândola, 16 081, 14 639
Município,Odemira, 29 441, 24 717
Município,Santiago do Cacém, 29 296, 28 791
Município,Sines, 12 139, 13 715
NUTS III,Baixo Alentejo, 159 214, 116 332
Município,Aljustrel, 12 878, 8 247
Município,Almodôvar, 10 619, 6 725
Município,Alvito, 2 959, 2 477
Município,Barrancos, 2 154, 1 634
Município,Beja, 38 439, 33 579
Município,Castro Verde, 7 462, 6 949
Município,Cuba, 5 764, 4 595
Município,Ferreira do Alentejo, 11 286, 7 845
Município,Mértola, 11 668, 6 142
Município,Moura, 19 828, 13 718
Município,Ourique, 7 972, 4 607
Município,Serpa, 20 798, 14 304
Município,Vidigueira, 7 387, 5 510
NUTS III,Lezíria do Tejo, 234 538, 237 868
Município,Almeirim, 21 271, 22 546
Município,Alpiarça, 8 129, 7 059
Município,Azambuja, 19 885, 22 716
Município,Benavente, 16 349, 30 602
Município,Cartaxo, 22 572, 23 843
Município,Chamusca, 13 143, 9 197
Município,Coruche, 25 312, 17 471
Município,Golegã, 5 952, 5 339
Município,Rio Maior, 19 964, 20 379
Município,Salvaterra de Magos, 19 010, 21 295
Município,Santarém, 62 951, 57 421
NUTS III,Alto Alentejo, 142 954, 104 538
Município,Alter do Chão, 4 947, 3 165
Município,Arronches, 4 307, 2 820
Município,Avis, 5 865, 4 247
Município,Campo Maior, 8 546, 7 874
Município,Castelo de Vide, 4 174, 2 919
Município,Crato, 5 641, 3 129
Município,Elvas, 25 088, 20 528
Município,Fronteira, 4 448, 2 974
Município,Gavião, 6 824, 3 263
Município,Marvão, 5 421, 3 005
Município,Monforte, 4 250, 2 975
Município,Nisa, 10 677, 6 061
Município,Ponte de Sor, 18 113, 14 994
Município,Portalegre, 27 385, 22 172
Município,Sousel, 7 268, 4 412
NUTS III,Alentejo Central, 180 685, 152 299
Município,Alandroal, 8 118, 4 992
Município,Arraiolos, 8 883, 6 928
Município,Borba, 8 840, 6 736
Município,Estremoz, 18 050, 12 728
Município,Évora, 51 869, 52 428
Município,Montemor-o-Novo, 20 248, 15 647
Município,Mora, 7 060, 4 138
Município,Mourão, 3 496, 2 450
Município,Portel, 8 320, 5 828
Município,Redondo, 8 428, 6 353
Município,Reguengos de Monsaraz, 11 633, 10 015
Município,Vendas Novas, 10 941, 11 255
Município,Viana do Alentejo, 6 207, 5 145
Município,Vila Viçosa, 8 592, 7 656
NUTS II,Algarve, 324 078, 438 406
NUTS III,Algarve, 324 078, 438 406
Município,Albufeira, 17 255, 41 528
Município,Alcoutim, 5 233, 2 159
Município,Aljezur, 5 062, 5 594
Município,Castro Marim, 7 285, 6 237
Município,Faro, 45 471, 61 015
Município,Lagoa, 15 673, 22 762
Município,Lagos, 19 739, 30 374
Município,Loulé, 44 065, 68 697
Município,Monchique, 9 601, 5 077
Município,Olhão, 34 649, 44 405
Município,Portimão, 34 587, 55 483
Município,São Brás de Alportel, 7 484, 10 416
Município,Silves, 31 307, 36 226
Município,Tavira, 24 572, 24 530
Município,Vila do Bispo, 5 688, 5 154
Município,Vila Real de Santo António, 16 407, 18 749
NUTS I,Região Autónoma dos Açores, 245 184, 242 796
NUTS II,Região Autónoma dos Açores, 245 184, 242 796
NUTS III,Ilha de Santa Maria, 6 546, 5 616
Município,Vila do Porto, 6 546, 5 616
NUTS III,Ilha de São Miguel, 133 287, 137 307
Município,Lagoa [R.A.A.], 12 978, 14 721
Município,Nordeste, 6 850, 4 862
Município,Ponta Delgada, 64 441, 67 935
Município,Povoação, 8 534, 5 927
Município,Ribeira Grande, 28 487, 32 811
Município,Vila Franca do Campo, 11 997, 11 051
NUTS III,Ilha Terceira, 53 846, 55 124
Município,Angra do Heroísmo, 32 977, 33 807
Município,Vila da Praia da Vitória, 20 869, 21 317
NUTS III,Ilha Graciosa, 5 378, 4 208
Município,Santa Cruz da Graciosa, 5 378, 4 208
NUTS III,Ilha de São Jorge, 10 366, 8 277
Município,Calheta [R.A.A.], 4 451, 3 184
Município,Velas, 5 915, 5 093
NUTS III,Ilha do Pico, 15 504, 13 651
Município,Lajes do Pico, 5 831, 4 490
Município,Madalena, 5 992, 5 895
Município,São Roque do Pico, 3 681, 3 266
NUTS III,Ilha do Faial, 15 525, 14 521
Município,Horta, 15 525, 14 521
NUTS III,Ilha das Flores, 4 358, 3 628
Município,Lajes das Flores, 1 879, 1 463
Município,Santa Cruz das Flores, 2 479, 2 165
NUTS III,Ilha do Corvo, 374, 464
Município,Corvo, 374, 464
NUTS I,Região Autónoma da Madeira, 254 473, 254 254
NUTS II,Região Autónoma da Madeira, 254 473, 254 254
NUTS III,Ilha da Madeira, 250 060, 249 052
Município,Calheta [R.A.M.], 12 939, 10 867
Município,Câmara de Lobos, 31 483, 33 675
Município,Funchal, 113 500, 104 024
Município,Machico, 22 288, 19 981
Município,Ponta do Sol, 9 167, 8 593
Município,Porto Moniz, 3 962, 2 342
Município,Ribeira Brava, 13 548, 12 435
Município,Santa Cruz, 23 331, 45 281
Município,Santana, 11 306, 6 711
Município,São Vicente, 8 536, 5 143
NUTS III,Ilha de Porto Santo, 4 413, 5 202
Município,Porto Santo, 4 413, 5 202
