Âmbito Geográfico,Anos,1981,2020
NUTS 2013,Portugal, 9 883 670, 10 298 252
NUTS I,Continente, 9 384 013, 9 802 128
NUTS II,Norte, 3 435 810, 3 566 374
NUTS III,Alto Minho, 258 004, 229 066
Município,Arcos de Valdevez, 31 240, 20 785
Município,Caminha, 15 916, 15 787
Município,Melgaço, 13 276, 7 991
Município,Monção, 23 872, 17 727
Município,Paredes de Coura, 11 309, 8 472
Município,Ponte da Barca, 14 078, 11 098
Município,Ponte de Lima, 44 142, 41 058
Município,Valença, 13 935, 13 193
Município,Viana do Castelo, 81 567, 84 055
Município,Vila Nova de Cerveira, 8 669, 8 900
NUTS III,Cávado, 332 226, 403 860
Município,Amares, 16 618, 18 090
Município,Barcelos, 104 850, 115 589
Município,Braga, 126 835, 182 924
Município,Esposende, 28 946, 34 170
Município,Terras de Bouro, 10 196, 6 315
Município,Vila Verde, 44 781, 46 772
NUTS III,Ave, 371 050, 410 224
Município,Cabeceiras de Basto, 19 191, 15 526
Município,Fafe, 46 183, 47 741
Município,Guimarães, 148 678, 151 621
Município,Mondim de Basto, 10 058, 6 880
Município,Póvoa de Lanhoso, 21 285, 21 480
Município,Vieira do Minho, 18 070, 11 786
Município,Vila Nova de Famalicão, 107 585, 131 292
Município,Vizela,//0, 23 898
NUTS III,Área Metropolitana do Porto, 1 527 021, 1 727 774
Município,Arouca, 24 120, 20 609
Município,Espinho, 32 728, 29 425
Município,Gondomar, 131 813, 165 700
Município,Maia, 82 302, 139 641
Município,Matosinhos, 137 418, 175 556
Município,Oliveira de Azeméis, 63 269, 65 751
Município,Paredes, 68 466, 85 880
Município,Porto, 328 788, 216 887
Município,Póvoa de Varzim, 54 891, 62 785
Município,Santa Maria da Feira, 110 425, 138 434
Município,Santo Tirso, 94 315, 67 600
Município,São João da Madeira, 16 608, 22 061
Município,Trofa,//0, 38 462
Município,Vale de Cambra, 24 419, 21 207
Município,Valongo, 64 827, 97 797
Município,Vila do Conde, 64 878, 79 961
Município,Vila Nova de Gaia, 227 754, 300 018
NUTS III,Alto Tâmega, 131 582, 85 498
Município,Boticas, 8 786, 4 926
Município,Chaves, 46 107, 39 198
Município,Montalegre, 19 409, 8 882
Município,Ribeira de Pena, 10 856, 5 987
Município,Valpaços, 26 169, 14 647
Município,Vila Pouca de Aguiar, 20 255, 11 858
NUTS III,Tâmega e Sousa, 400 159, 413 609
Município,Amarante, 54 628, 52 877
Município,Baião, 24 625, 18 575
Município,Castelo de Paiva, 17 196, 15 303
Município,Celorico de Basto, 22 891, 18 904
Município,Cinfães, 25 764, 18 001
Município,Felgueiras, 48 591, 56 128
Município,Lousada, 38 325, 46 580
Município,Marco de Canaveses, 46 644, 51 253
Município,Paços de Ferreira, 41 124, 56 547
Município,Penafiel, 64 934, 69 419
Município,Resende, 15 437, 10 022
NUTS III,Douro, 261 714, 189 777
Município,Alijó, 18 935, 10 527
Município,Armamar, 9 443, 5 716
Município,Carrazeda de Ansiães, 11 462, 5 610
Município,Freixo de Espada à Cinta, 5 726, 3 239
Município,Lamego, 33 111, 24 756
Município,Mesão Frio, 6 365, 3 939
Município,Moimenta da Beira, 12 869, 9 713
Município,Murça, 8 633, 5 399
