Período,n_cons_csp_gripe_alentejo,n_cons_csp_gripe_algarve,n_cons_csp_gripe_centro,n_cons_csp_gripe_lisboa,n_cons_csp_gripe_norte,n_cons_csp_p_alentejo,n_cons_csp_p_algarve,n_cons_csp_p_centro,n_cons_csp_p_lisboa,n_cons_csp_p_norte,n_cons_csp_np_alentejo,n_cons_csp_np_algarve,n_cons_csp_np_centro,n_cons_csp_np_lisboa,n_cons_csp_np_norte,n_cons_csp_gripe_alentejo,n_cons_csp_gripe_algarve,n_cons_csp_gripe_centro,n_cons_csp_gripe_lisboa,n_cons_csp_gripe_norte
2016-11-01,8.0,1.0,9.0,13.0,8.0,56.0,51.0,0.0,0.0,0.0,839.0,225.0,1667.0,1200.0,2187.0,8.0,1.0,9.0,13.0,8.0
2016-11-02,21.0,9.0,39.0,70.0,61.0,3603.0,1895.0,9452.0,17488.0,24153.0,5041.0,2456.0,14198.0,13590.0,31383.0,21.0,9.0,39.0,70.0,61.0
2016-11-03,17.0,3.0,30.0,48.0,55.0,3521.0,2217.0,9978.0,16594.0,25127.0,4798.0,2478.0,13346.0,11997.0,28544.0,17.0,3.0,30.0,48.0,55.0
2016-11-04,13.0,13.0,43.0,43.0,54.0,2930.0,1740.0,6314.0,13754.0,18739.0,3332.0,1919.0,10156.0,10409.0,24299.0,13.0,13.0,43.0,43.0,54.0
2016-11-05,9.0,0.0,17.0,14.0,25.0,52.0,2.0,97.0,27.0,134.0,820.0,360.0,1857.0,1926.0,2406.0,9.0,0.0,17.0,14.0,25.0
2016-11-06,12.0,3.0,14.0,12.0,12.0,38.0,29.0,13.0,0.0,0.0,696.0,231.0,1755.0,1266.0,2133.0,12.0,3.0,14.0,12.0,12.0
2016-11-07,14.0,6.0,52.0,79.0,69.0,3920.0,2321.0,11239.0,18633.0,28250.0,4780.0,2553.0,15961.0,13967.0,35866.0,14.0,6.0,52.0,79.0,69.0
2016-11-08,24.0,24.0,47.0,61.0,89.0,4372.0,2423.0,11532.0,17992.0,27715.0,4912.0,2449.0,14039.0,12855.0,30692.0,24.0,24.0,47.0,61.0,89.0
2016-11-09,39.0,11.0,35.0,80.0,68.0,3721.0,2095.0,10681.0,17482.0,26012.0,4932.0,2164.0,12838.0,11874.0,27701.0,39.0,11.0,35.0,80.0,68.0
2016-11-10,28.0,16.0,39.0,65.0,80.0,3718.0,2435.0,10512.0,16986.0,24818.0,4318.0,2141.0,12852.0,11530.0,26318.0,28.0,16.0,39.0,65.0,80.0
2016-11-11,30.0,11.0,33.0,57.0,78.0,3250.0,1792.0,7394.0,13722.0,18596.0,3396.0,1934.0,10546.0,9808.0,22237.0,30.0,11.0,33.0,57.0,78.0
2016-11-12,14.0,4.0,16.0,33.0,24.0,72.0,20.0,106.0,30.0,129.0,886.0,325.0,1819.0,2014.0,2349.0,14.0,4.0,16.0,33.0,24.0
2016-11-13,21.0,0.0,7.0,25.0,36.0,38.0,39.0,13.0,0.0,0.0,794.0,233.0,1724.0,1366.0,2212.0,21.0,0.0,7.0,25.0,36.0
2016-11-14,39.0,23.0,72.0,91.0,109.0,3932.0,2356.0,11816.0,19515.0,28892.0,5006.0,2781.0,15361.0,14515.0,35286.0,39.0,23.0,72.0,91.0,109.0
2016-11-15,45.0,15.0,51.0,90.0,114.0,4286.0,2596.0,10930.0,19138.0,28231.0,4799.0,2717.0,13711.0,12919.0,30328.0,45.0,15.0,51.0,90.0,114.0
2016-11-16,40.0,14.0,53.0,121.0,99.0,3639.0,2248.0,10447.0,18632.0,26581.0,4649.0,2356.0,12719.0,12462.0,28920.0,40.0,14.0,53.0,121.0,99.0
2016-11-17,42.0,3.0,63.0,99.0,110.0,3444.0,2460.0,11263.0,17631.0,26200.0,4241.0,2327.0,12872.0,11782.0,27288.0,42.0,3.0,63.0,99.0,110.0
2016-11-18,29.0,7.0,63.0,82.0,78.0,2603.0,1688.0,7486.0,12922.0,20083.0,3425.0,1884.0,10782.0,9662.0,22571.0,29.0,7.0,63.0,82.0,78.0
2016-11-19,12.0,4.0,25.0,50.0,58.0,77.0,35.0,102.0,38.0,132.0,901.0,330.0,1873.0,2173.0,2609.0,12.0,4.0,25.0,50.0,58.0
2016-11-20,21.0,3.0,35.0,16.0,40.0,44.0,91.0,0.0,0.0,0.0,766.0,177.0,1651.0,1366.0,2200.0,21.0,3.0,35.0,16.0,40.0
2016-11-21,63.0,18.0,62.0,175.0,156.0,3765.0,2518.0,11346.0,20055.0,29452.0,4908.0,2861.0,14850.0,14860.0,34291.0,63.0,18.0,62.0,175.0,156.0
2016-11-22,61.0,20.0,43.0,147.0,173.0,4153.0,2657.0,11108.0,19189.0,28062.0,4592.0,2507.0,13485.0,13236.0,30381.0,61.0,20.0,43.0,147.0,173.0
2016-11-23,71.0,9.0,61.0,157.0,139.0,3679.0,2224.0,10824.0,17483.0,26147.0,4550.0,2483.0,13026.0,11861.0,27680.0,71.0,9.0,61.0,157.0,139.0
2016-11-24,68.0,8.0,64.0,167.0,124.0,3586.0,2152.0,10838.0,15950.0,25792.0,4227.0,2114.0,11916.0,10699.0,24415.0,68.0,8.0,64.0,167.0,124.0
2016-11-25,50.0,24.0,62.0,167.0,186.0,2940.0,1799.0,7337.0,12753.0,19033.0,3274.0,1954.0,9616.0,9984.0,21133.0,50.0,24.0,62.0,167.0,186.0
2016-11-26,28.0,7.0,23.0,98.0,62.0,97.0,65.0,104.0,18.0,139.0,914.0,298.0,1927.0,2215.0,2606.0,28.0,7.0,23.0,98.0,62.0
2016-11-27,28.0,4.0,31.0,94.0,63.0,86.0,2.0,0.0,0.0,0.0,879.0,282.0,2052.0,1646.0,2487.0,28.0,4.0,31.0,94.0,63.0
2016-11-28,78.0,19.0,113.0,264.0,251.0,3783.0,2347.0,11375.0,19961.0,28522.0,5048.0,2502.0,15237.0,15231.0,34949.0,78.0,19.0,113.0,264.0,251.0
2016-11-29,102.0,24.0,57.0,224.0,261.0,4087.0,2326.0,11006.0,19482.0,27649.0,4914.0,2398.0,13964.0,13552.0,30329.0,102.0,24.0,57.0,224.0,261.0
2016-11-30,88.0,20.0,89.0,238.0,236.0,3791.0,2130.0,10441.0,17943.0,25734.0,4537.0,2339.0,12925.0,12138.0,27643.0,88.0,20.0,89.0,238.0,236.0
2016-12-01,29.0,8.0,50.0,51.0,99.0,64.0,12.0,0.0,19.0,0.0,1035.0,325.0,2064.0,1501.0,2634.0,29.0,8.0,50.0,51.0,99.0
