RowID;﻿Período;Indicador;Dia da Semana;Número da Semana;Valor Absoluto;Taxa
31346;2019-09-08;Chamadas de seguimento Efetuadas;domingo;37;591;0.084356266057
31466;2019-09-12;Chamadas Atendidas;quinta-feira;37;3088;0.454786450662
30382;2019-08-08;Chamadas Oferecidas;quinta-feira;32;3139;0.460398943971
31530;2019-09-14;Chamadas Abandonadas até 15s;sábado;37;48;0.006631666206
31560;2019-09-15;Chamadas Oferecidas;domingo;38;3486;0.459349057846
31561;2019-09-15;Chamadas Abandonadas até 15s;domingo;38;58;0.007642640664
31591;2019-09-16;Chamadas Oferecidas;segunda-feira;38;3393;0.461068079902
31593;2019-09-16;Chamadas Abandonadas após 15s;segunda-feira;38;19;0.002581872537
31594;2019-09-16;Chamadas de seguimento Efetuadas;segunda-feira;38;575;0.078135616252
30444;2019-08-10;Chamadas Oferecidas;sábado;32;3049;0.461480248221
30414;2019-08-09;Chamadas Abandonadas até 15s;sexta-feira;32;55;0.008739869696
30477;2019-08-11;Chamadas Abandonadas após 15s;domingo;33;14;0.002214489085
30753;2019-08-20;Chamadas Atendidas;terça-feira;34;3003;0.450359928014
30755;2019-08-20;Chamadas Abandonadas até 15s;terça-feira;34;57;0.008548290341
30756;2019-08-20;Chamadas Abandonadas após 15s;terça-feira;34;39;0.005848830233
30787;2019-08-21;Chamadas Abandonadas após 15s;quarta-feira;34;41;0.006332046332
30788;2019-08-21;Chamadas de seguimento Efetuadas;quarta-feira;34;497;0.076756756756
30569;2019-08-14;Chamadas Abandonadas até 15s;quarta-feira;33;69;0.010859301227
30661;2019-08-17;Chamadas Oferecidas;sábado;33;3030;0.462666055886
30662;2019-08-17;Chamadas Abandonadas até 15s;sábado;33;55;0.008398228737
30692;2019-08-18;Chamadas Oferecidas;domingo;34;3015;0.457303200364
30693;2019-08-18;Chamadas Abandonadas até 15s;domingo;34;39;0.00591536478
30507;2019-08-12;Chamadas Abandonadas até 15s;segunda-feira;33;60;0.008522727272
30846;2019-08-23;Chamadas Atendidas;sexta-feira;34;3092;0.420680272108
30848;2019-08-23;Chamadas Abandonadas até 15s;sexta-feira;34;98;0.013333333333
30849;2019-08-23;Chamadas Abandonadas após 15s;sexta-feira;34;236;0.032108843537
31002;2019-08-28;Chamadas Oferecidas;quarta-feira;35;3080;0.463088257404
31004;2019-08-28;Chamadas Abandonadas após 15s;quarta-feira;35;28;0.004209893249
31034;2019-08-29;Chamadas Abandonadas até 15s;quinta-feira;35;40;0.006677796327
31065;2019-08-30;Chamadas Abandonadas até 15s;sexta-feira;35;71;0.011154752553
30939;2019-08-26;Chamadas Atendidas;segunda-feira;35;3162;0.457597684515
30941;2019-08-26;Chamadas Abandonadas até 15s;segunda-feira;35;39;0.005643994211
31094;2019-08-31;Chamadas Atendidas;sábado;35;2816;0.452878739144
31097;2019-08-31;Chamadas Abandonadas após 15s;sábado;35;2;0.000321646831
31125;2019-09-01;Chamadas Atendidas;domingo;36;2916;0.442824601366
31126;2019-09-01;Chamadas Oferecidas;domingo;36;3014;0.457706909643
31127;2019-09-01;Chamadas Abandonadas até 15s;domingo;36;69;0.010478359908
31128;2019-09-01;Chamadas Abandonadas após 15s;domingo;36;26;0.003948367501
31158;2019-09-02;Chamadas Abandonadas até 15s;segunda-feira;36;68;0.009581513315
31187;2019-09-03;Chamadas Atendidas;terça-feira;36;2916;0.450069455162
31251;2019-09-05;Chamadas Abandonadas até 15s;quinta-feira;36;37;0.005540581012
31252;2019-09-05;Chamadas Abandonadas após 15s;quinta-feira;36;6;0.000898472596
31284;2019-09-06;Chamadas de seguimento Efetuadas;sexta-feira;36;566;0.085240963855
31221;2019-09-04;Chamadas Abandonadas após 15s;quarta-feira;36;2;0.000300255216
31375;2019-09-09;Chamadas Abandonadas até 15s;segunda-feira;37;41;0.006061502069
31377;2019-09-09;Chamadas de seguimento Efetuadas;segunda-feira;37;523;0.077321111768
30443;2019-08-10;Chamadas Atendidas;sábado;32;2994;0.453155743907
31405;2019-09-10;Chamadas Oferecidas;terça-feira;37;2990;0.459858505075
31437;2019-09-11;Chamadas Abandonadas até 15s;quarta-feira;37;38;0.005971087366
30320;2019-08-06;Chamadas Oferecidas;terça-feira;32;3102;0.464510332434
30352;2019-08-07;Chamadas Abandonadas até 15s;quarta-feira;32;52;0.008014796547
31624;2019-09-17;Chamadas Abandonadas após 15s;terça-feira;38;34;0.004998529844
31746;2019-09-21;Chamadas Oferecidas;sábado;38;2981;0.45248937462
31714;2019-09-20;Chamadas Atendidas;sexta-feira;38;3018;0.448839976204
31779;2019-09-22;Chamadas Abandonadas após 15s;domingo;39;41;0.005806542982
31808;2019-09-23;Chamadas Oferecidas;segunda-feira;39;3530;0.468231860989
31684;2019-09-19;Chamadas Oferecidas;quinta-feira;38;3099;0.461160714285
31687;2019-09-19;Chamadas de seguimento Efetuadas;quinta-feira;38;523;0.077827380952
31869;2019-09-25;Chamadas Atendidas;quarta-feira;39;2930;0.449042145593
31870;2019-09-25;Chamadas Oferecidas;quarta-feira;39;2990;0.458237547892
31871;2019-09-25;Chamadas Abandonadas até 15s;quarta-feira;39;49;0.007509578544
31872;2019-09-25;Chamadas Abandonadas após 15s;quarta-feira;39;5;0.000766283524
31902;2019-09-26;Chamadas Abandonadas até 15s;quinta-feira;39;41;0.006298970656
31904;2019-09-26;Chamadas de seguimento Efetuadas;quinta-feira;39;540;0.082962052542
31962;2019-09-28;Chamadas Atendidas;sábado;39;3062;0.452155936207
