periodo,valor_absoluto_encam_CIAV,valor_absoluto_encam_CSP,valor_absoluto_encam_INEM,valor_absoluto_encam_autocuidados,valor_absoluto_encam_outros,valor_absoluto_encam_urgencia,taxa_encam_CIAV,taxa_encam_CSP,taxa_encam_INEM,taxa_encam_autocuidados,taxa_encam_outros,taxa_encam_urgencia
2016-12-01,0.0,8.0,0.0,15.0,0.0,1.0,0.0,0.333333333333,0.0,0.625,0.0,0.041666666666
2016-12-02,0.0,7.0,0.0,15.0,0.0,1.0,0.0,0.30434782608600003,0.0,0.652173913043,0.0,0.043478260869
2016-12-03,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.444444444444,0.0,0.555555555555,0.0,0.0
2016-12-04,0.0,7.0,0.0,13.0,1.0,2.0,0.0,0.30434782608600003,0.0,0.5652173913040001,0.043478260869,0.08695652173900001
2016-12-05,0.0,21.0,0.0,13.0,0.0,5.0,0.0,0.538461538461,0.0,0.333333333333,0.0,0.128205128205
2016-12-06,0.0,16.0,0.0,29.0,1.0,7.0,0.0,0.301886792452,0.0,0.54716981132,0.018867924528000003,0.132075471698
2016-12-07,0.0,11.0,0.0,19.0,2.0,1.0,0.0,0.333333333333,0.0,0.575757575757,0.060606060606,0.030303030303
2016-12-08,0.0,27.0,0.0,39.0,0.0,9.0,0.0,0.36,0.0,0.52,0.0,0.12
2016-12-09,0.0,22.0,0.0,59.0,0.0,3.0,0.0,0.261904761904,0.0,0.7023809523800001,0.0,0.035714285714
2016-12-10,0.0,11.0,0.0,43.0,0.0,6.0,0.0,0.18333333333299998,0.0,0.716666666666,0.0,0.1
2016-12-11,0.0,18.0,0.0,43.0,0.0,5.0,0.0,0.272727272727,0.0,0.6515151515150001,0.0,0.075757575757
2016-12-12,0.0,119.0,0.0,191.0,6.0,30.0,0.0,0.34393063583800004,0.0,0.5520231213869999,0.017341040462,0.086705202312
2016-12-13,0.0,150.0,1.0,282.0,5.0,39.0,0.0,0.314465408805,0.002096436058,0.591194968553,0.010482180293,0.081761006289
2016-12-14,0.0,114.0,0.0,204.0,6.0,29.0,0.0,0.322946175637,0.0,0.577903682719,0.016997167138,0.082152974504
2016-12-15,0.0,133.0,0.0,269.0,6.0,36.0,0.0,0.299549549549,0.0,0.605855855855,0.013513513513,0.081081081081
2016-12-16,0.0,114.0,0.0,244.0,5.0,50.0,0.0,0.27602905569,0.0,0.590799031476,0.012106537530000001,0.12106537530200001
2016-12-17,0.0,146.0,1.0,317.0,11.0,70.0,0.0,0.267889908256,0.001834862385,0.581651376146,0.020183486238,0.128440366972
2016-12-18,0.0,133.0,0.0,272.0,6.0,87.0,0.0,0.267068273092,0.0,0.546184738955,0.012048192771000001,0.17469879517999998
2016-12-19,0.0,193.0,0.0,310.0,5.0,60.0,0.0,0.339788732394,0.0,0.545774647887,0.008802816901,0.105633802816
2016-12-20,1.0,198.0,0.0,299.0,10.0,47.0,0.001801801801,0.356756756756,0.0,0.5387387387379999,0.018018018018,0.08468468468399999
2016-12-21,0.0,166.0,0.0,304.0,11.0,47.0,0.0,0.31439393939300003,0.0,0.575757575757,0.020833333333,0.089015151515
2016-12-22,1.0,188.0,0.0,295.0,8.0,56.0,0.001824817518,0.34306569343000004,0.0,0.538321167883,0.014598540145,0.102189781021
2016-12-23,0.0,158.0,0.0,312.0,7.0,39.0,0.0,0.306201550387,0.0,0.60465116279,0.013565891472,0.075581395348
2016-12-24,0.0,121.0,2.0,273.0,14.0,51.0,0.0,0.262472885032,0.0043383947930000005,0.59219088937,0.030368763557,0.110629067245
2016-12-25,0.0,112.0,0.0,237.0,6.0,86.0,0.0,0.253968253968,0.0,0.537414965986,0.013605442176000002,0.195011337868
2016-12-26,0.0,191.0,2.0,347.0,14.0,82.0,0.0,0.300314465408,0.003144654088,0.545597484276,0.022012578616,0.12893081761
2016-12-27,0.0,226.0,0.0,325.0,12.0,68.0,0.0,0.358161648177,0.0,0.5150554675110001,0.019017432646,0.107765451664
2016-12-28,0.0,229.0,0.0,378.0,4.0,55.0,0.0,0.343843843843,0.0,0.567567567567,0.006006006006,0.08258258258199999
2016-12-29,0.0,177.0,1.0,332.0,13.0,62.0,0.0,0.302564102564,0.001709401709,0.567521367521,0.022222222222,0.10598290598200001
2016-12-30,0.0,163.0,0.0,348.0,12.0,29.0,0.0,0.295289855072,0.0,0.630434782608,0.021739130434,0.052536231884
2016-12-31,0.0,121.0,0.0,276.0,5.0,55.0,0.0,0.2647702407,0.0,0.603938730853,0.010940919036999999,0.120350109409
2017-01-01,0.0,170.0,0.0,268.0,9.0,65.0,0.0,0.33203125,0.0,0.5234375,0.017578125,0.126953125
2017-01-02,0.0,201.0,1.0,285.0,1.0,46.0,0.0,0.376404494382,0.0018726591759999998,0.5337078651680001,0.0018726591759999998,0.086142322097
2017-01-03,0.0,191.0,0.0,299.0,9.0,45.0,0.0,0.351102941176,0.0,0.549632352941,0.016544117647,0.082720588235
2017-01-04,0.0,202.0,1.0,324.0,14.0,33.0,0.0,0.351916376306,0.0017421602780000002,0.564459930313,0.024390243902,0.057491289198
2017-01-05,0.0,176.0,0.0,278.0,7.0,38.0,0.0,0.352705410821,0.0,0.557114228456,0.014028056112,0.07615230460900001
2017-01-06,0.0,156.0,0.0,293.0,7.0,37.0,0.0,0.316430020283,0.0,0.5943204868149999,0.014198782960999998,0.075050709939
2017-01-07,0.0,123.0,0.0,315.0,4.0,75.0,0.0,0.237911025145,0.0,0.609284332688,0.007736943907,0.14506769825899998
2017-01-08,0.0,186.0,1.0,306.0,5.0,56.0,0.0,0.33574007220200003,0.0018050541510000002,0.552346570397,0.009025270758,0.10108303249
2017-01-09,0.0,187.0,0.0,223.0,7.0,43.0,0.0,0.40652173913,0.0,0.48478260869499995,0.015217391304,0.09347826086899999
2017-01-10,0.0,145.0,0.0,228.0,4.0,31.0,0.0,0.355392156862,0.0,0.558823529411,0.009803921568,0.075980392156
