RowID;﻿Período;Indicador;Dia da Semana;Número da Semana;Valor Absoluto;Taxa
10092;2017-10-22;Encaminhamentos p/ Outros;domingo;43;0;0.0
10149;2017-10-24;Encaminhamentos p/ Autocuidados;terça-feira;43;14;0.6666666666659999
10213;2017-10-26;Encaminhamentos p/ Serviço Urgência;quinta-feira;43;3;0.136363636363
10366;2017-10-31;Encaminhamentos p/ Autocuidados;terça-feira;44;9;0.473684210526
10552;2017-11-06;Encaminhamentos p/ Autocuidados;segunda-feira;45;6;0.461538461538
10676;2017-11-10;Encaminhamentos p/ Autocuidados;sexta-feira;45;17;0.653846153846
10679;2017-11-10;Encaminhamentos p/ CIAV;sexta-feira;45;0;0.0
10769;2017-11-13;Encaminhamentos p/ Autocuidados;segunda-feira;46;9;0.40909090908999995
10989;2017-11-20;Encaminhamentos p/ CIAV;segunda-feira;47;0;0.0
10990;2017-11-20;Encaminhamentos p/ INEM;segunda-feira;47;0;0.0
11115;2017-11-24;Encaminhamentos p/ Outros;sexta-feira;47;0;0.0
11238;2017-11-28;Encaminhamentos p/ INEM;terça-feira;48;0;0.0
11422;2017-12-04;Encaminhamentos p/ Serviço Urgência;segunda-feira;49;3;0.068181818181
11452;2017-12-05;Encaminhamentos p/ CSP;terça-feira;49;15;0.326086956521
11518;2017-12-07;Encaminhamentos p/ Outros;quinta-feira;49;0;0.0
11763;2017-12-15;Encaminhamentos p/ Serviço Urgência;sexta-feira;50;17;0.113333333333
11947;2017-12-21;Encaminhamentos p/ Autocuidados;quinta-feira;51;130;0.557939914163
12134;2017-12-27;Encaminhamentos p/ CSP;quarta-feira;52;162;0.285714285714
12444;2018-01-06;Encaminhamentos p/ CSP;sábado;1;205;0.24117647058799999
12567;2018-01-10;Encaminhamentos p/ Autocuidados;quarta-feira;2;374;0.551622418879
12631;2018-01-12;Encaminhamentos p/ Serviço Urgência;sexta-feira;2;69;0.10781249999999999
12756;2018-01-16;Encaminhamentos p/ CIAV;terça-feira;3;2;0.003159557661
12847;2018-01-19;Encaminhamentos p/ CSP;sexta-feira;3;153;0.27321428571399997
12940;2018-01-22;Encaminhamentos p/ CSP;segunda-feira;4;192;0.297674418604
13096;2018-01-27;Encaminhamentos p/ Serviço Urgência;sábado;4;86;0.15985130111499998
13281;2018-02-02;Encaminhamentos p/ CSP;sexta-feira;5;115;0.297927461139
13778;2018-02-18;Encaminhamentos p/ Serviço Urgência;domingo;8;63;0.184750733137
13869;2018-02-21;Encaminhamentos p/ Autocuidados;quarta-feira;8;121;0.45318352059899997
13904;2018-02-22;Encaminhamentos p/ INEM;quinta-feira;8;1;0.003558718861
14151;2018-03-02;Encaminhamentos p/ CIAV;sexta-feira;9;1;0.004504504504
14368;2018-03-09;Encaminhamentos p/ CIAV;sexta-feira;10;0;0.0
14429;2018-03-11;Encaminhamentos p/ Serviço Urgência;domingo;11;52;0.237442922374
14458;2018-03-12;Encaminhamentos p/ Autocuidados;segunda-feira;11;86;0.521212121212
14649;2018-03-18;Encaminhamentos p/ Outros;domingo;12;1;0.005154639175
14742;2018-03-21;Encaminhamentos p/ Outros;quarta-feira;12;0;0.0
14771;2018-03-22;Encaminhamentos p/ CIAV;quinta-feira;12;0;0.0
14893;2018-03-26;Encaminhamentos p/ CSP;segunda-feira;13;51;0.389312977099
15111;2018-04-02;Encaminhamentos p/ Serviço Urgência;segunda-feira;14;14;0.130841121495
15326;2018-04-09;Encaminhamentos p/ Autocuidados;segunda-feira;15;44;0.571428571428
15362;2018-04-10;Encaminhamentos p/ Outros;terça-feira;15;0;0.0
15391;2018-04-11;Encaminhamentos p/ CIAV;quarta-feira;15;0;0.0
15421;2018-04-12;Encaminhamentos p/ Serviço Urgência;quinta-feira;15;12;0.17910447761099998
15484;2018-04-14;Encaminhamentos p/ CIAV;sábado;15;0;0.0
15577;2018-04-17;Encaminhamentos p/ CIAV;terça-feira;16;0;0.0
15979;2018-04-30;Encaminhamentos p/ Serviço Urgência;segunda-feira;18;10;0.19607843137199998
16013;2018-05-01;Encaminhamentos p/ Outros;terça-feira;18;0;0.0
16040;2018-05-02;Encaminhamentos p/ CSP;quarta-feira;18;26;0.4
16044;2018-05-02;Encaminhamentos p/ Outros;quarta-feira;18;1;0.015384615384
16072;2018-05-03;Encaminhamentos p/ Serviço Urgência;quinta-feira;18;11;0.17460317460299998
16074;2018-05-03;Encaminhamentos p/ INEM;quinta-feira;18;0;0.0
16105;2018-05-04;Encaminhamentos p/ INEM;sexta-feira;18;0;0.0
16225;2018-05-08;Encaminhamentos p/ Autocuidados;terça-feira;19;23;0.5750000000000001
16413;2018-05-14;Encaminhamentos p/ Serviço Urgência;segunda-feira;20;6;0.162162162162
16506;2018-05-17;Encaminhamentos p/ Serviço Urgência;quinta-feira;20;8;0.2
16539;2018-05-18;Encaminhamentos p/ INEM;sexta-feira;20;0;0.0
16755;2018-05-25;Encaminhamentos p/ CIAV;sexta-feira;21;0;0.0
16756;2018-05-25;Encaminhamentos p/ INEM;sexta-feira;21;0;0.0
16787;2018-05-26;Encaminhamentos p/ INEM;sábado;21;0;0.0
17036;2018-06-03;Encaminhamentos p/ Outros;domingo;23;0;0.0
17094;2018-06-05;Encaminhamentos p/ CSP;terça-feira;23;7;0.368421052631
17745;2018-06-26;Encaminhamentos p/ CSP;terça-feira;26;7;0.304347826086
17839;2018-06-29;Encaminhamentos p/ Serviço Urgência;sexta-feira;26;3;0.157894736842
17872;2018-06-30;Encaminhamentos p/ INEM;sábado;26;0;0.0
17995;2018-07-04;Encaminhamentos p/ CIAV;quarta-feira;27;0;0.0
18119;2018-07-08;Encaminhamentos p/ CIAV;domingo;28;0;0.0
18151;2018-07-09;Encaminhamentos p/ INEM;segunda-feira;28;0;0.0
18396;2018-07-17;Encaminhamentos p/ CSP;terça-feira;29;9;0.5
18427;2018-07-18;Encaminhamentos p/ CSP;quarta-feira;29;7;0.304347826086
18462;2018-07-19;Encaminhamentos p/ Outros;quinta-feira;29;0;0.0
18521;2018-07-21;Encaminhamentos p/ Serviço Urgência;sábado;29;0;0.0
18739;2018-07-28;Encaminhamentos p/ CIAV;sábado;30;0;0.0
