;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;2960;8376;3;11339;27073;16873;5;43951;0,058010671;0,036154621;NA;NA
2;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2310;2866;1;5177;12449;6231;1;18681;0,028396053;0,014212853;NA;NA
3;REGIONAL;08/02/21;2021;6;ARS Centro;All;7123;26457;5;33585;78454;50116;10;128580;0,04824996;0,030821819;NA;NA
4;REGIONAL;08/02/21;2021;6;ARS Lisboa e Vale do Tejo;All;13017;27399;7;40423;110652;57536;8;168196;0,029967225;0,015582134;NA;NA
5;REGIONAL;08/02/21;2021;6;ARS Norte;All;8214;28353;7;36574;103460;68320;9;171789;0,028937124;0,019108683;NA;NA
6;REGIONAL;08/02/21;2021;6;Outro;All;63;117;0;180;674;435;2;1111;NA;NA;NA;NA
7;AGES;08/02/21;2021;6;All;0-17 anos;31;67;0;98;163;71;0;234;0,000100093;4,36E-05;NA;NA
8;AGES;08/02/21;2021;6;All;18-24 anos;1273;2878;1;4152;11190;6321;2;17513;0,015304071;0,008644954;NA;NA
9;AGES;08/02/21;2021;6;All;25-49 anos;11482;28888;8;40378;131874;84231;15;216120;0,041483796;0,026496668;NA;NA
10;AGES;08/02/21;2021;6;All;50-64 anos;5465;21007;7;26479;77595;48716;9;126320;0,037680243;0,023656559;NA;NA
11;AGES;08/02/21;2021;6;All;65-79 anos;2530;10834;3;13367;32165;17181;4;49350;0,020815671;0,011118733;NA;NA
12;AGES;08/02/21;2021;6;All;80 ou mais anos;12906;29894;4;42804;79774;42991;5;122770;0,121654924;0,065561046;NA;NA
13;GENERAL;08/02/21;2021;6;All;All;33687;93568;23;127278;332762;199511;35;532308;0,03395926;0,020360636;651900;571981
