;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3328;8696;2;12026;27519;17198;4;44721;0,058966337;0,036851015;NA;NA
2;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4020;2782;2;6804;31539;19980;6;51525;0,067580192;0,042812145;NA;NA
3;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;11960;1634;0;13594;43499;21614;6;65119;0,093207482;0,046313399;NA;NA
4;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10341;2652;0;12993;53840;24266;6;78112;0,11536566;0,051995972;NA;NA
5;REGIONAL;08/02/2021;2021;6;ARS Algarve;All;2352;2878;1;5231;12556;6250;1;18807;0,028640119;0,014256192;NA;NA
6;REGIONAL;15/02/2021;2021;7;ARS Algarve;All;3142;2097;0;5239;15698;8347;1;24046;0,035806992;0,019039429;NA;NA
7;REGIONAL;22/02/2021;2021;8;ARS Algarve;All;8385;1012;1;9398;24083;9359;2;33444;0,054933099;0,021347792;NA;NA
8;REGIONAL;01/03/2021;2021;9;ARS Algarve;All;4571;404;0;4975;28654;9763;2;38419;0,065359507;0,022269312;NA;NA
9;REGIONAL;08/02/2021;2021;6;ARS Centro;All;7390;26936;4;34330;79466;50636;8;130110;0,048872349;0,031141624;NA;NA
10;REGIONAL;15/02/2021;2021;7;ARS Centro;All;24987;9786;3;34776;104453;60422;11;164886;0,064239593;0,037160107;NA;NA
11;REGIONAL;22/02/2021;2021;8;ARS Centro;All;37883;3037;1;40921;142336;63459;12;205807;0,087538;0,039027891;NA;NA
12;REGIONAL;01/03/2021;2021;9;ARS Centro;All;28036;5516;1;33553;170372;68975;13;239360;0,104780408;0,042420284;NA;NA
13;REGIONAL;08/02/2021;2021;6;ARS Lisboa e Vale do Tejo;All;14147;29372;8;43527;113657;59567;10;173234;0,030781051;0,016132177;NA;NA
14;REGIONAL;15/02/2021;2021;7;ARS Lisboa e Vale do Tejo;All;32250;18823;8;51081;145907;78390;18;224315;0,039515127;0,021229899;NA;NA
15;REGIONAL;22/02/2021;2021;8;ARS Lisboa e Vale do Tejo;All;48043;6357;4;54404;193950;84747;22;278719;0,052526328;0,022951527;NA;NA
16;REGIONAL;01/03/2021;2021;9;ARS Lisboa e Vale do Tejo;All;43714;11219;2;54935;237664;95966;24;333654;0,064365132;0,025989903;NA;NA
17;REGIONAL;08/02/2021;2021;6;ARS Norte;All;8426;28396;6;36828;104735;68494;7;173236;0,029293734;0,01915735;NA;NA
18;REGIONAL;15/02/2021;2021;7;ARS Norte;All;32574;14789;5;47368;137309;83283;12;220604;0,038404481;0,023293742;NA;NA
19;REGIONAL;22/02/2021;2021;8;ARS Norte;All;63613;4162;1;67776;200922;87445;13;288380;0,056196645;0,024457827;NA;NA
20;REGIONAL;01/03/2021;2021;9;ARS Norte;All;47258;6235;0;53493;248180;93680;13;341873;0,069414416;0,026201719;NA;NA
21;REGIONAL;08/02/2021;2021;6;Outro;All;67;119;0;186;684;438;2;1124;NA;NA;NA;NA
22;REGIONAL;15/02/2021;2021;7;Outro;All;145;106;1;252;829;544;3;1376;NA;NA;NA;NA
23;REGIONAL;22/02/2021;2021;8;Outro;All;69;18;0;87;898;562;3;1463;NA;NA;NA;NA
24;REGIONAL;01/03/2021;2021;9;Outro;All;54;33;0;87;952;595;3;1550;NA;NA;NA;NA
25;AGES;08/02/2021;2021;6;All;0-17 anos;30;67;0;97;163;72;0;235;0,000100093;4,42E-05;NA;NA
26;AGES;15/02/2021;2021;7;All;0-17 anos;20;16;0;36;183;88;0;271;0,000112375;5,40E-05;NA;NA
27;AGES;22/02/2021;2021;8;All;0-17 anos;21;25;0;46;204;113;0;317;0,00012527;6,94E-05;NA;NA
28;AGES;01/03/2021;2021;9;All;0-17 anos;8;23;0;31;212;136;0;348;0,000130183;8,35E-05;NA;NA
29;AGES;08/02/2021;2021;6;All;18-24 anos;1342;2945;0;4287;11404;6388;1;17793;0,015596749;0,008736587;NA;NA
30;AGES;15/02/2021;2021;7;All;18-24 anos;2143;1657;0;3800;13547;8045;1;21593;0,018527636;0,011002793;NA;NA
31;AGES;22/02/2021;2021;8;All;18-24 anos;1192;525;0;1717;14739;8570;1;23310;0,020157882;0,011720812;NA;NA
32;AGES;01/03/2021;2021;9;All;18-24 anos;834;819;0;1653;15573;9389;1;24963;0,021298507;0,012840922;NA;NA
33;AGES;08/02/2021;2021;6;All;25-49 anos;12354;29827;8;42189;134379;85303;15;219697;0,042271797;0,026833889;NA;NA
34;AGES;15/02/2021;2021;7;All;25-49 anos;20573;18287;7;38867;154952;103590;22;258564;0,048743476;0,032586457;NA;NA
35;AGES;22/02/2021;2021;8;All;25-49 anos;10297;5122;3;15422;165249;108712;25;273986;0,051982618;0,034197692;NA;NA
36;AGES;01/03/2021;2021;9;All;25-49 anos;6712;7319;0;14031;171961;116031;25;288017;0,054094022;0,03650004;NA;NA
37;AGES;08/02/2021;2021;6;All;50-64 anos;5998;21655;6;27659;79108;49462;8;128578;0,038414958;0,024018818;NA;NA
38;AGES;15/02/2021;2021;7;All;50-64 anos;23891;12419;5;36315;102999;61881;13;164893;0,050016462;0,030049502;NA;NA
39;AGES;22/02/2021;2021;8;All;50-64 anos;48564;3730;2;52296;151563;65611;15;217189;0,07359921;0,031860796;NA;NA
40;AGES;01/03/2021;2021;9;All;50-64 anos;29369;4389;2;33760;180932;70000;17;250949;0,087860838;0,0339921;NA;NA
41;AGES;08/02/2021;2021;6;All;65-79 anos;2686;11119;3;13808;32925;17473;4;50402;0,021307508;0,011307702;NA;NA
42;AGES;15/02/2021;2021;7;All;65-79 anos;4312;7009;3;11324;37237;24482;7;61726;0,024098031;0,015843596;NA;NA
43;AGES;22/02/2021;2021;8;All;65-79 anos;10774;2018;0;12792;48011;26500;7;74518;0,031070456;0,017149551;NA;NA
44;AGES;01/03/2021;2021;9;All;65-79 anos;12563;2627;0;15190;60574;29127;7;89708;0,039200637;0,018849621;NA;NA
45;AGES;08/02/2021;2021;6;All;80 ou mais anos;13300;30784;4;44088;80637;43885;4;124526;0,122970995;0,066924391;NA;NA
46;AGES;15/02/2021;2021;7;All;80 ou mais anos;46179;8995;4;55178;126816;52880;8;179704;0,193393723;0,080641718;NA;NA
47;AGES;22/02/2021;2021;8;All;80 ou mais anos;99105;4800;2;103907;225921;57680;10;283611;0,344528319;0,087961692;NA;NA
48;AGES;01/03/2021;2021;9;All;80 ou mais anos;84488;10882;1;95371;310409;68562;11;378982;0,473372068;0,104556684;NA;NA
49;GENERAL;08/02/2021;2021;6;All;All;35710;96397;21;132128;338617;202583;32;541232;0,034556778;0,020674142;651900;571981
50;GENERAL;15/02/2021;2021;7;All;All;97118;48383;19;145520;435735;250966;51;686752;0,044467932;0,025611757;830730;718143
51;GENERAL;22/02/2021;2021;8;All;All;169953;16220;7;186180;605688;267186;58;872932;0,061812095;0,027267052;1002999;933847
52;GENERAL;01/03/2021;2021;9;All;All;133974;26059;3;160036;739662;293245;61;1032968;0,075484503;0,029926443;1186389;1078103
