;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3309;8695;2;12006;27467;17193;4;44664;0,058854914;0,036840301;;
2;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;3992;2689;2;6683;31459;19882;6;51347;0,067408772;0,042602156;;
3;REGIONAL;08/02/2021;2021;6;ARS Algarve;All;2334;2877;1;5212;12512;6246;1;18759;0,028539755;0,014247068;;
4;REGIONAL;15/02/2021;2021;7;ARS Algarve;All;3142;2094;0;5236;15654;8340;1;23995;0,035706628;0,019023462;;
5;REGIONAL;08/02/2021;2021;6;ARS Centro;All;7297;26790;4;34091;78998;50472;8;129478;0,048584525;0,031040762;;
6;REGIONAL;15/02/2021;2021;7;ARS Centro;All;24859;9409;3;34271;103857;59881;11;163749;0,063873047;0,036827387;;
7;REGIONAL;08/02/2021;2021;6;ARS Lisboa e Vale do Tejo;All;13669;29157;10;42836;112626;59333;12;171971;0,030501832;0,016068804;;
8;REGIONAL;15/02/2021;2021;7;ARS Lisboa e Vale do Tejo;All;32092;17745;7;49844;144718;77078;19;221815;0,039193118;0,020874578;;
9;REGIONAL;08/02/2021;2021;6;ARS Norte;All;8313;28383;7;36703;104490;68462;9;172961;0,029225209;0,019148399;;
10;REGIONAL;15/02/2021;2021;7;ARS Norte;All;32471;14524;5;47000;136961;82986;14;219961;0,038307147;0,023210673;;
11;REGIONAL;08/02/2021;2021;6;Outro;All;66;119;0;185;681;437;2;1120;NA;NA;;
12;REGIONAL;15/02/2021;2021;7;Outro;All;145;104;1;250;826;541;3;1370;NA;NA;;
13;AGES;08/02/2021;2021;6;All;0-17 anos;30;67;0;97;162;71;0;233;9,95E-05;4,36E-05;;
14;AGES;15/02/2021;2021;7;All;0-17 anos;20;16;0;36;182;87;0;269;0,000111761;5,34E-05;;
15;AGES;08/02/2021;2021;6;All;18-24 anos;1318;2935;1;4254;11342;6379;2;17723;0,015511955;0,008724278;;
16;AGES;15/02/2021;2021;7;All;18-24 anos;2134;1616;0;3750;13476;7995;2;21473;0,018430533;0,01093441;;
17;AGES;08/02/2021;2021;6;All;25-49 anos;12100;29692;9;41801;133713;85123;16;218852;0,042062293;0,026777266;;
18;AGES;15/02/2021;2021;7;All;25-49 anos;20479;17634;6;38119;154192;102757;22;256971;0,048504401;0,032324419;;
19;AGES;08/02/2021;2021;6;All;50-64 anos;5826;21564;7;27397;78648;49355;9;128012;0,038191581;0,023966859;;
20;AGES;15/02/2021;2021;7;All;50-64 anos;23796;11936;5;35737;102444;61291;14;163749;0,049746953;0,029762997;;
21;AGES;08/02/2021;2021;6;All;65-79 anos;2599;11085;3;13687;32682;17439;5;50126;0,021150249;0,011285699;;
22;AGES;15/02/2021;2021;7;All;65-79 anos;4239;6669;3;10911;36921;24108;8;61037;0,02389353;0,015601561;;
23;AGES;08/02/2021;2021;6;All;80 ou mais anos;13115;30678;4;43797;80226;43776;4;124006;0,122344222;0,066758166;;
24;AGES;15/02/2021;2021;7;All;80 ou mais anos;46033;8694;4;54731;126259;52470;8;178737;0,192544301;0,08001647;;
25;GENERAL;08/02/2021;2021;6;All;All;34988;96021;24;131033;336774;202143;36;538953;0,034368695;0,020629239;651900;571981
26;GENERAL;15/02/2021;2021;7;All;All;96701;46565;18;143284;433475;248708;54;682237;0,044237293;0,025381322;830730;718143
