data,ilha,doses,doses1,doses2
2021-03-17,Total,35825,23431,12394
2021-03-17,Santa Maria,1488,744,744
2021-03-17,São Miguel,16094,11318,4776
2021-03-17,Terceira,8422,5398,3024
2021-03-17,Graciosa,950,530,420
2021-03-17,São Jorge,2090,1388,702
2021-03-17,Pico,2867,1601,1266
2021-03-17,Faial,2198,1364,834
2021-03-17,Flores,1072,766,306
2021-03-17,Corvo,644,322,322
2021-03-30,Total,43812,28376,15436
2021-03-30,Santa Maria,1871,1121,750
2021-03-30,São Miguel,19094,13472,5622
2021-03-30,Terceira,10835,5993,4842
2021-03-30,Graciosa,1058,620,438
2021-03-30,São Jorge,2402,1388,1014
2021-03-30,Pico,3944,2660,1284
2021-03-30,Faial,2892,2034,858
2021-03-30,Flores,1072,766,306
2021-03-30,Corvo,644,322,322
2021-04-06,Total,51756,34832,16924
2021-04-06,Santa Maria,1871,1121,750
2021-04-06,São Miguel,24884,17972,6912
2021-04-06,Terceira,11610,6774,4836
2021-04-06,Graciosa,1742,1256,486
2021-04-06,São Jorge,2402,1388,1014
2021-04-06,Pico,4070,2750,1320
2021-04-06,Faial,3209,2285,924
2021-04-06,Flores,1324,964,360
2021-04-06,Corvo,644,322,322
