;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECIEVED;DISTRIBUTED
1;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3332;8771;1;12104;27521;17347;1;44869;0,058970623;0,037170284;NA;NA
2;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4039;2804;1;6844;31560;20151;2;51713;0,06762519;0,043178555;NA;NA
3;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12008;1646;0;13654;43568;21797;2;65367;0,093355332;0,046705522;NA;NA
4;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10371;2817;0;13188;53939;24614;2;78555;0,115577793;0,052741649;NA;NA
5;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5776;1661;0;7437;59715;26275;2;85992;0,127954317;0,056300756;NA;NA
6;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3665;7702;0;11367;63380;33977;2;97359;0,135807495;0,072804217;NA;NA
7;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11777;2089;0;13866;75157;36066;2;111225;0,161042662;0,077280422;NA;NA
8;REGIONAL;08/02/2021;2021;6;ARS Algarve;All;2361;2896;1;5258;12711;6303;1;19015;0,028993673;0,014377084;NA;NA
9;REGIONAL;15/02/2021;2021;7;ARS Algarve;All;3166;2109;0;5275;15877;8412;1;24290;0,036215289;0,019187694;NA;NA
10;REGIONAL;22/02/2021;2021;8;ARS Algarve;All;8429;1063;0;9492;24306;9475;1;33782;0,055441759;0,021612387;NA;NA
11;REGIONAL;01/03/2021;2021;9;ARS Algarve;All;4577;544;0;5121;28883;10019;1;38903;0,065881854;0,022853246;NA;NA
12;REGIONAL;08/03/2021;2021;10;ARS Algarve;All;5034;1530;0;6564;33917;11549;1;45467;0,077364361;0,026343161;NA;NA
13;REGIONAL;15/03/2021;2021;11;ARS Algarve;All;2631;2993;0;5624;36548;14542;1;51091;0,083365647;0,033170166;NA;NA
14;REGIONAL;22/03/2021;2021;12;ARS Algarve;All;9305;4274;0;13579;45853;18816;1;64670;0,104590266;0,042919121;NA;NA
15;REGIONAL;08/02/2021;2021;6;ARS Centro;All;7460;27027;4;34491;79684;50871;8;130563;0,049006421;0,031286151;NA;NA
16;REGIONAL;15/02/2021;2021;7;ARS Centro;All;25166;9855;3;35024;104850;60726;11;165587;0,064483752;0,03734707;NA;NA
17;REGIONAL;22/02/2021;2021;8;ARS Centro;All;38070;3066;1;41137;142920;63792;12;206724;0,087897165;0,039232689;NA;NA
18;REGIONAL;01/03/2021;2021;9;ARS Centro;All;28226;5732;1;33959;171146;69524;13;240683;0,105256425;0,042757924;NA;NA
19;REGIONAL;08/03/2021;2021;10;ARS Centro;All;17386;13382;0;30768;188532;82906;13;271451;0,115948981;0,050987982;NA;NA
20;REGIONAL;15/03/2021;2021;11;ARS Centro;All;16406;23985;2;40393;204938;106891;15;311844;0,126038828;0,065738986;NA;NA
21;REGIONAL;22/03/2021;2021;12;ARS Centro;All;47307;4199;0;51506;252245;111090;15;363350;0,155133085;0,068321411;NA;NA
22;REGIONAL;08/02/2021;2021;6;ARS Lisboa e Vale do Tejo;All;14267;30203;1;44471;114122;60633;2;174757;0,030906984;0,016420876;NA;NA
23;REGIONAL;15/02/2021;2021;7;ARS Lisboa e Vale do Tejo;All;32507;18958;3;51468;146629;79591;5;226225;0,039710662;0,021555158;NA;NA
24;REGIONAL;22/02/2021;2021;8;ARS Lisboa e Vale do Tejo;All;48880;6607;0;55487;195509;86198;5;281712;0,052948543;0,023344493;NA;NA
25;REGIONAL;01/03/2021;2021;9;ARS Lisboa e Vale do Tejo;All;44404;12488;1;56893;239913;98686;6;338605;0,064974215;0,026726544;NA;NA
26;REGIONAL;08/03/2021;2021;10;ARS Lisboa e Vale do Tejo;All;32664;16318;0;48982;272577;115004;6;387587;0,073820412;0,031145851;NA;NA
27;REGIONAL;15/03/2021;2021;11;ARS Lisboa e Vale do Tejo;All;25349;28741;1;54091;297926;143745;7;441678;0,080685532;0,038929606;NA;NA
28;REGIONAL;22/03/2021;2021;12;ARS Lisboa e Vale do Tejo;All;87805;7385;0;95190;385731;151130;7;536868;0,104465239;0,040929642;NA;NA
29;REGIONAL;08/02/2021;2021;6;ARS Norte;All;8455;28446;6;36907;104786;68604;7;173397;0,029307998;0,019188116;NA;NA
30;REGIONAL;15/02/2021;2021;7;ARS Norte;All;32741;14836;3;47580;137527;83440;10;220977;0,038465454;0,023337654;NA;NA
31;REGIONAL;22/02/2021;2021;8;ARS Norte;All;64263;4207;1;68471;201790;87647;11;289448;0,056439419;0,024514326;NA;NA
32;REGIONAL;01/03/2021;2021;9;ARS Norte;All;47428;6390;0;53818;249218;94037;11;343266;0,069704738;0,026301569;NA;NA
33;REGIONAL;08/03/2021;2021;10;ARS Norte;All;25031;13622;0;38653;274249;107659;11;381919;0,076705755;0,030111559;NA;NA
34;REGIONAL;15/03/2021;2021;11;ARS Norte;All;26363;42021;5;68389;300612;149680;16;450308;0,084079323;0,041864573;NA;NA
35;REGIONAL;22/03/2021;2021;12;ARS Norte;All;88018;2171;0;90189;388630;151851;16;540497;0,108697415;0,042471789;NA;NA
36;REGIONAL;08/02/2021;2021;6;Outro;All;68;119;0;187;685;438;1;1124;NA;NA;NA;NA
37;REGIONAL;15/02/2021;2021;7;Outro;All;146;106;1;253;831;544;2;1377;NA;NA;NA;NA
38;REGIONAL;22/02/2021;2021;8;Outro;All;73;19;0;92;904;563;2;1469;NA;NA;NA;NA
39;REGIONAL;01/03/2021;2021;9;Outro;All;55;35;0;90;959;598;2;1559;NA;NA;NA;NA
40;REGIONAL;08/03/2021;2021;10;Outro;All;276;13;0;289;1235;611;2;1848;NA;NA;NA;NA
41;REGIONAL;15/03/2021;2021;11;Outro;All;18;26;0;44;1253;637;2;1892;NA;NA;NA;NA
42;REGIONAL;22/03/2021;2021;12;Outro;All;309;4;0;313;1562;641;2;2205;NA;NA;NA;NA
43;REGIONAL;08/02/2021;2021;6;RA_Madeira;All;3158;1085;0;4243;10990;4773;0;15763;0,043224492;0,018772566;NA;NA
44;REGIONAL;15/02/2021;2021;7;RA_Madeira;All;2494;638;0;3132;13484;5411;0;18895;0,053033581;0,021281868;NA;NA
45;REGIONAL;22/02/2021;2021;8;RA_Madeira;All;2255;2155;0;4410;15739;7566;0;23305;0,061902664;0,029757644;NA;NA
46;REGIONAL;01/03/2021;2021;9;RA_Madeira;All;1431;3116;0;4547;17170;10682;0;27852;0,067530894;0,042013105;NA;NA
47;REGIONAL;08/03/2021;2021;10;RA_Madeira;All;4881;2400;0;7281;22051;13082;0;35133;0,086728232;0,051452485;NA;NA
48;REGIONAL;15/03/2021;2021;11;RA_Madeira;All;3102;2347;0;5449;25153;15429;0;40582;0,09892863;0,060683411;NA;NA
49;REGIONAL;22/03/2021;2021;12;RA_Madeira;All;5276;185;0;5461;30429;15614;0;46043;0,119667734;0,061399231;NA;NA
50;REGIONAL;15/03/2021;2021;11;RA_Acores;All;2029;1238;0;3267;13845;8376;0;22221;0,05702318;0,034498097;NA;NA
