"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"COVER_1_VAC";"COVER"
"1";"REGIONAL";2021-02-08;2021;6;"Outro";"All";69;119;0;188;691;442;1;1134;NA;NA
"2";"REGIONAL";2021-02-15;2021;7;"Outro";"All";146;106;1;253;837;548;2;1387;NA;NA
"3";"REGIONAL";2021-02-22;2021;8;"Outro";"All";73;19;0;92;910;567;2;1479;NA;NA
"4";"REGIONAL";2021-03-01;2021;9;"Outro";"All";55;41;0;96;965;608;2;1575;NA;NA
"5";"REGIONAL";2021-03-08;2021;10;"Outro";"All";277;13;0;290;1242;621;2;1865;NA;NA
"6";"REGIONAL";2021-03-15;2021;11;"Outro";"All";19;27;0;46;1261;648;2;1911;NA;NA
"7";"REGIONAL";2021-03-22;2021;12;"Outro";"All";312;4;0;316;1573;652;2;2227;NA;NA
"8";"REGIONAL";2021-03-29;2021;13;"Outro";"All";317;11;0;328;1890;663;2;2555;NA;NA
"9";"REGIONAL";2021-04-05;2021;14;"Outro";"All";55;16;0;71;1945;679;2;2626;NA;NA
"10";"REGIONAL";2021-04-12;2021;15;"Outro";"All";245;8;0;253;2190;687;2;2879;NA;NA
"11";"REGIONAL";2021-04-19;2021;16;"Outro";"All";88;24;0;112;2278;711;2;2991;NA;NA
"13";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3334;8775;1;12110;27550;17360;1;44911;0,0590327626475819;0,0371981400929954
"14";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4039;2807;0;6846;31589;20167;1;51757;0,0676873299192183;0,0432128393580321
"15";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12006;1647;0;13653;43595;21814;1;65410;0,093413186483533;0,0467419486168549
"16";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10410;2827;0;13237;54005;24641;1;78647;0,115719214039298;0,0527995028819988
"17";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5789;1671;0;7460;59794;26312;1;86107;0,128123593820309;0,0563800381409501
"18";"REGIONAL";2021-03-15;2021;11;"ARS Alentejo";"All";3678;7720;0;11398;63472;34032;1;97505;0,136004628340012;0,0729220681823052
"19";"REGIONAL";2021-03-22;2021;12;"ARS Alentejo";"All";11855;2096;0;13951;75327;36128;1;111456;0,161406929653517;0,0774132721935332
"20";"REGIONAL";2021-03-29;2021;13;"ARS Alentejo";"All";6115;6262;0;12377;81442;42390;1;123833;0,174509845936275;0,0908311727270779
"21";"REGIONAL";2021-04-05;2021;14;"ARS Alentejo";"All";13978;4284;0;18262;95420;46674;1;142095;0,204461205511153;0,100010713750027
"22";"REGIONAL";2021-04-12;2021;15;"ARS Alentejo";"All";21777;2950;0;24727;117197;49624;1;166822;0,25112387237781;0,10633182626583
"23";"REGIONAL";2021-04-19;2021;16;"ARS Alentejo";"All";11256;5938;2;17196;128453;55562;3;184018;0,275242666438107;0,119055475797639
"25";"REGIONAL";2021-02-08;2021;6;"ARS Algarve";"All";2364;2896;1;5261;12722;6304;1;19027;0,0290187634293326;0,0143793652459136
"26";"REGIONAL";2021-02-15;2021;7;"ARS Algarve";"All";3169;2111;0;5280;15891;8415;1;24307;0,0362472228938473;0,0191945365711236
"27";"REGIONAL";2021-02-22;2021;8;"ARS Algarve";"All";8439;1065;0;9504;24330;9480;1;33811;0,0554965032412878;0,0216237916451873
"28";"REGIONAL";2021-03-01;2021;9;"ARS Algarve";"All";4599;549;0;5148;28929;10029;1;38959;0,0659867793780195;0,0228760555284371
"29";"REGIONAL";2021-03-08;2021;10;"ARS Algarve";"All";5051;1535;0;6586;33980;11564;1;45545;0,0775080633020533;0,0263773762220408
"30";"REGIONAL";2021-03-15;2021;11;"ARS Algarve";"All";2640;2992;0;5632;36620;14556;1;51177;0,0835298786969156;0,033202100336218
"31";"REGIONAL";2021-03-22;2021;12;"ARS Algarve";"All";9348;4280;0;13628;45968;18836;1;64805;0,10485257957236;0,0429647404460705
"32";"REGIONAL";2021-03-29;2021;13;"ARS Algarve";"All";4183;2904;0;7087;50151;21740;1;71892;0,114393963586265;0,0495887373804191
"33";"REGIONAL";2021-04-05;2021;14;"ARS Algarve";"All";8564;1761;0;10325;58715;23501;1;82217;0,133928367768689;0,0536055619676738
"34";"REGIONAL";2021-04-12;2021;15;"ARS Algarve";"All";13539;2138;0;15677;72254;25639;1;97894;0,164810700583477;0,0584823200412403
"35";"REGIONAL";2021-04-19;2021;16;"ARS Algarve";"All";7131;5478;0;12609;79385;31117;1;110503;0,181076445121645;0,0709775869855796
"37";"REGIONAL";2021-02-08;2021;6;"ARS Centro";"All";7469;27095;4;34568;79862;51012;8;130882;0,049115893015398;0,0313728673774947
"38";"REGIONAL";2021-02-15;2021;7;"ARS Centro";"All";25387;9921;3;35311;105249;60933;11;166193;0,0647291405671987;0,0374743771644492
"39";"REGIONAL";2021-02-22;2021;8;"ARS Centro";"All";38218;3074;1;41293;143467;64007;12;207486;0,0882335757085986;0,0393649165339784
"40";"REGIONAL";2021-03-01;2021;9;"ARS Centro";"All";28311;5879;1;34191;171778;69886;13;241677;0,105645111196802;0,0429805577029639
"41";"REGIONAL";2021-03-08;2021;10;"ARS Centro";"All";17439;13459;0;30898;189217;83345;13;272575;0,116370262812033;0,051257971292584
"42";"REGIONAL";2021-03-15;2021;11;"ARS Centro";"All";16452;24080;2;40534;205669;107425;15;313109;0,126488399997294;0,0660674013570801
"43";"REGIONAL";2021-03-22;2021;12;"ARS Centro";"All";47528;4242;0;51770;253197;111667;15;364879;0,155718574088048;0,0686762718858838
"44";"REGIONAL";2021-03-29;2021;13;"ARS Centro";"All";24154;16614;3;40771;277351;128281;18;405650;0,170573514859553;0,078894040618921
"45";"REGIONAL";2021-04-05;2021;14;"ARS Centro";"All";49559;10081;0;59640;326910;138362;18;465290;0,201052773354834;0,0850939519345433
"46";"REGIONAL";2021-04-12;2021;15;"ARS Centro";"All";77271;11886;1;89158;404181;150248;19;554448;0,248575176615369;0,0924039554954486
"47";"REGIONAL";2021-04-19;2021;16;"ARS Centro";"All";29792;24048;6;53846;433973;174296;25;608294;0,266897541253303;0,107193705254211
"49";"REGIONAL";2021-02-08;2021;6;"ARS Lisboa e Vale do Tejo";"All";14257;30283;1;44541;114721;60727;2;175450;0,0310692080075094;0,016446333231684
"50";"REGIONAL";2021-02-15;2021;7;"ARS Lisboa e Vale do Tejo";"All";32676;18986;2;51664;147397;79713;4;227114;0,0399186552826672;0,0215881990036924
"51";"REGIONAL";2021-02-22;2021;8;"ARS Lisboa e Vale do Tejo";"All";48900;6655;0;55555;196297;86368;4;282669;0,0531619522515501;0,0233905331821774
"52";"REGIONAL";2021-03-01;2021;9;"ARS Lisboa e Vale do Tejo";"All";44656;12690;1;57347;240953;99058;5;340016;0,0652558718720497;0,0268272906164335
"53";"REGIONAL";2021-03-08;2021;10;"ARS Lisboa e Vale do Tejo";"All";32819;16445;2;49266;273772;115503;7;389282;0,0741440469890592;0,031280992429384
"54";"REGIONAL";2021-03-15;2021;11;"ARS Lisboa e Vale do Tejo";"All";25447;28822;1;54270;299219;144325;8;443552;0,0810357070701873;0,039086683743027
