;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/2021;2021;6;Outro;All;69;119;0;188;692;443;1;1136;NA;NA;NA;NA
2;REGIONAL;15/02/2021;2021;7;Outro;All;146;106;1;253;838;549;2;1389;NA;NA;NA;NA
3;REGIONAL;22/02/2021;2021;8;Outro;All;73;19;0;92;911;568;2;1481;NA;NA;NA;NA
4;REGIONAL;01/03/2021;2021;9;Outro;All;55;41;0;96;966;609;2;1577;NA;NA;NA;NA
5;REGIONAL;08/03/2021;2021;10;Outro;All;277;13;0;290;1243;622;2;1867;NA;NA;NA;NA
6;REGIONAL;15/03/2021;2021;11;Outro;All;19;27;0;46;1262;649;2;1913;NA;NA;NA;NA
7;REGIONAL;22/03/2021;2021;12;Outro;All;312;4;0;316;1574;653;2;2229;NA;NA;NA;NA
8;REGIONAL;29/03/2021;2021;13;Outro;All;317;11;0;328;1891;664;2;2557;NA;NA;NA;NA
9;REGIONAL;05/04/2021;2021;14;Outro;All;57;16;0;73;1948;680;2;2630;NA;NA;NA;NA
10;REGIONAL;12/04/2021;2021;15;Outro;All;248;8;0;256;2196;688;2;2886;NA;NA;NA;NA
11;REGIONAL;19/04/2021;2021;16;Outro;All;85;24;0;109;2281;712;2;2995;NA;NA;NA;NA
12;REGIONAL;26/04/2021;2021;17;Outro;All;177;15;0;192;2458;727;2;3187;NA;NA;NA;NA
13;REGIONAL;03/05/2021;2021;18;Outro;All;110;66;0;176;2568;793;2;3363;NA;NA;NA;NA
14;REGIONAL;10/05/2021;2021;19;Outro;All;121;271;0;392;2689;1064;2;3755;NA;NA;NA;NA
15;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3336;8776;1;12113;27554;17361;1;44916;0,059041334;0,037200283;NA;NA
16;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4052;2807;0;6859;31606;20168;1;51775;0,067723757;0,043214982;NA;NA
17;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12011;1647;0;13658;43617;21815;1;65433;0,093460327;0,046744091;NA;NA
18;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10411;2827;0;13238;54028;24642;1;78671;0,115768497;0,052801646;NA;NA
19;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5790;1671;0;7461;59818;26313;1;86132;0,12817502;0,056382181;NA;NA
20;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3679;7720;0;11399;63497;34033;1;97531;0,136058197;0,072924211;NA;NA
21;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11857;2098;0;13955;75354;36131;1;111486;0,161464784;0,0774197;NA;NA
22;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6116;6262;0;12378;81470;42393;1;123864;0,174569843;0,090837601;NA;NA
23;REGIONAL;05/04/2021;2021;14;ARS Alentejo;All;14021;4286;0;18307;95491;46679;1;142171;0,204613341;0,100021428;NA;NA
24;REGIONAL;12/04/2021;2021;15;ARS Alentejo;All;21830;2950;0;24780;117321;49629;1;166951;0,251389573;0,10634254;NA;NA
25;REGIONAL;19/04/2021;2021;16;ARS Alentejo;All;11263;5941;2;17206;128584;55570;3;184157;0,275523367;0,119072618;NA;NA
26;REGIONAL;26/04/2021;2021;17;ARS Alentejo;All;20070;2758;0;22828;148654;58328;3;206985;0,318528359;0,124982322;NA;NA
27;REGIONAL;03/05/2021;2021;18;ARS Alentejo;All;13591;14214;2;27807;162245;72542;5;234792;0,347650475;0,155439371;NA;NA
28;REGIONAL;10/05/2021;2021;19;ARS Alentejo;All;17314;15193;0;32507;179559;87735;5;267299;0,384750048;0,187994172;NA;NA
29;REGIONAL;08/02/2021;2021;6;ARS Algarve;All;2380;2896;1;5277;12740;6305;1;19046;0,029059821;0,014381646;NA;NA
30;REGIONAL;15/02/2021;2021;7;ARS Algarve;All;3173;2111;0;5284;15913;8416;1;24330;0,036297405;0,019196818;NA;NA
31;REGIONAL;22/02/2021;2021;8;ARS Algarve;All;8444;1065;0;9509;24357;9481;1;33839;0,05555809;0,021626073;NA;NA
32;REGIONAL;01/03/2021;2021;9;ARS Algarve;All;4600;549;0;5149;28957;10030;1;38988;0,066050647;0,022878337;NA;NA
33;REGIONAL;08/03/2021;2021;10;ARS Algarve;All;5054;1535;0;6589;34011;11565;1;45577;0,077578774;0,026379657;NA;NA
34;REGIONAL;15/03/2021;2021;11;ARS Algarve;All;2642;2993;0;5635;36653;14558;1;51212;0,083605151;0,033206662;NA;NA
35;REGIONAL;22/03/2021;2021;12;ARS Algarve;All;9351;4283;0;13634;46004;18841;1;64846;0,104934695;0,042976145;NA;NA
36;REGIONAL;29/03/2021;2021;13;ARS Algarve;All;4187;2905;0;7092;50191;21746;1;71938;0,114485203;0,049602423;NA;NA
37;REGIONAL;05/04/2021;2021;14;ARS Algarve;All;8604;1761;0;10365;58795;23507;1;82303;0,134110847;0,053619248;NA;NA
38;REGIONAL;12/04/2021;2021;15;ARS Algarve;All;13567;2140;0;15707;72362;25647;1;98010;0,165057048;0,058500568;NA;NA
39;REGIONAL;19/04/2021;2021;16;ARS Algarve;All;7139;5479;0;12618;79501;31126;1;110628;0,18134104;0,070998116;NA;NA
40;REGIONAL;26/04/2021;2021;17;ARS Algarve;All;16261;3221;0;19482;95762;34347;1;130110;0,218432229;0,078345187;NA;NA
41;REGIONAL;03/05/2021;2021;18;ARS Algarve;All;16415;8883;1;25299;112177;43230;2;155409;0,255874691;0,098607227;NA;NA
42;REGIONAL;10/05/2021;2021;19;ARS Algarve;All;9633;11256;0;20889;121810;54486;2;176298;0,277847475;0,124282058;NA;NA
43;REGIONAL;08/02/2021;2021;6;ARS Centro;All;7480;27101;4;34585;79888;51021;8;130917;0,049131883;0,031378402;NA;NA
44;REGIONAL;15/02/2021;2021;7;ARS Centro;All;25444;9947;3;35394;105332;60968;11;166311;0,064780186;0,037495902;NA;NA
45;REGIONAL;22/02/2021;2021;8;ARS Centro;All;38231;3074;1;41306;143563;64042;12;207617;0,088292617;0,039386442;NA;NA
46;REGIONAL;01/03/2021;2021;9;ARS Centro;All;28317;5883;1;34201;171880;69925;13;241818;0,105707842;0,043004543;NA;NA
47;REGIONAL;08/03/2021;2021;10;ARS Centro;All;17449;13460;0;30909;189329;83385;13;272727;0,116439144;0,051282572;NA;NA
48;REGIONAL;15/03/2021;2021;11;ARS Centro;All;16463;24082;2;40547;205792;107467;15;313274;0,126564046;0,066093232;NA;NA
49;REGIONAL;22/03/2021;2021;12;ARS Centro;All;47541;4244;0;51785;253333;111711;15;365059;0,155802215;0,068703332;NA;NA
50;REGIONAL;29/03/2021;2021;13;ARS Centro;All;24167;16619;2;40788;277500;128330;17;405847;0,170665151;0,078924176;NA;NA
51;REGIONAL;05/04/2021;2021;14;ARS Centro;All;49730;10090;0;59820;327230;138420;17;465667;0,201249576;0,085129622;NA;NA
52;REGIONAL;12/04/2021;2021;15;ARS Centro;All;77448;11894;1;89343;404678;150314;18;555010;0,248880836;0,092444546;NA;NA
53;REGIONAL;19/04/2021;2021;16;ARS Centro;All;29817;24067;6;53890;434495;174381;24;608900;0,267218576;0,107245981;NA;NA
54;REGIONAL;26/04/2021;2021;17;ARS Centro;All;56333;17808;0;74141;490828;192189;24;683041;0,301863909;0,118198071;NA;NA
55;REGIONAL;03/05/2021;2021;18;ARS Centro;All;59723;48946;1;108670;550551;241135;25;791711;0,338594125;0,148300329;NA;NA
56;REGIONAL;10/05/2021;2021;19;ARS Centro;All;50400;55382;1;105783;600951;296517;26;897494;0,369590607;0,182360788;NA;NA
57;REGIONAL;08/02/2021;2021;6;ARS Lisboa e Vale do Tejo;All;14278;30286;1;44565;114762;60730;2;175494;0,031080312;0,016447146;NA;NA
58;REGIONAL;15/02/2021;2021;7;ARS Lisboa e Vale do Tejo;All;32862;18986;2;51850;147624;79716;4;227344;0,039980132;0,021589011;NA;NA
59;REGIONAL;22/02/2021;2021;8;ARS Lisboa e Vale do Tejo;All;48921;6655;0;55576;196545;86371;4;282920;0,053229117;0,023391346;NA;NA
60;REGIONAL;01/03/2021;2021;9;ARS Lisboa e Vale do Tejo;All;44674;12711;1;57386;241219;99082;5;340306;0,065327911;0,02683379;NA;NA
61;REGIONAL;08/03/2021;2021;10;ARS Lisboa e Vale do Tejo;All;32844;16447;2;49293;274063;115529;7;389599;0,074222857;0,031288034;NA;NA
62;REGIONAL;15/03/2021;2021;11;ARS Lisboa e Vale do Tejo;All;25469;28851;1;54321;299532;144380;8;443920;0,081120475;0,039101579;NA;NA
63;REGIONAL;22/03/2021;2021;12;ARS Lisboa e Vale do Tejo;All;88239;7409;1;95649;387771;151789;9;539569;0,10501772;0,041108115;NA;NA
64;REGIONAL;29/03/2021;2021;13;ARS Lisboa e Vale do Tejo;All;45055;23642;4;68701;432826;175431;13;608270;0,117219698;0,047510937;NA;NA
