;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST;RECEIVED;DISTRIBUTED
1;REGIONAL;04/01/21;2021;1;Outro;All;22;0;0;22;23;0;0;23;23;0;23;NA;NA;NA;NA;NA;NA;NA
2;REGIONAL;11/01/21;2021;2;Outro;All;6;0;0;6;29;0;0;29;29;0;29;NA;NA;NA;NA;NA;NA;NA
3;REGIONAL;18/01/21;2021;3;Outro;All;22;1;0;23;51;1;0;52;50;1;51;NA;NA;NA;NA;NA;NA;NA
4;REGIONAL;25/01/21;2021;4;Outro;All;6;20;0;26;57;21;0;78;36;21;57;NA;NA;NA;NA;NA;NA;NA
5;REGIONAL;01/02/21;2021;5;Outro;All;6;5;0;11;63;26;0;89;37;26;63;NA;NA;NA;NA;NA;NA;NA
6;REGIONAL;08/02/21;2021;6;Outro;All;84;22;0;106;147;48;0;195;99;48;147;NA;NA;NA;NA;NA;NA;NA
7;REGIONAL;15/02/21;2021;7;Outro;All;65;7;0;72;212;55;0;267;157;55;212;NA;NA;NA;NA;NA;NA;NA
8;REGIONAL;22/02/21;2021;8;Outro;All;97;6;0;103;309;61;0;370;248;61;309;NA;NA;NA;NA;NA;NA;NA
9;REGIONAL;01/03/21;2021;9;Outro;All;74;85;0;159;383;146;0;529;237;146;383;NA;NA;NA;NA;NA;NA;NA
10;REGIONAL;08/03/21;2021;10;Outro;All;49;63;0;112;432;209;0;641;223;209;432;NA;NA;NA;NA;NA;NA;NA
11;REGIONAL;15/03/21;2021;11;Outro;All;54;96;0;150;486;305;0;791;181;305;486;NA;NA;NA;NA;NA;NA;NA
