;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3472;1;0;3473;4696;1;0;4697;4695;1;4696;0,010152021;2,16E-06;0,010149859;2,16E-06;0,010152021
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5352;10;0;5362;10048;11;0;10059;10037;11;10048;0,021722212;2,38E-05;0,021698431;2,38E-05;0,021722212
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10429;1133;0;11562;20477;1144;0;21621;19333;1144;20477;0,044268086;0,00247315;0,041794936;0,00247315;0,044268086
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2293;3122;0;5415;22770;4266;0;27036;18504;4266;22770;0,049225195;0,009222428;0,040002767;0,009222428;0,049225195
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1448;4338;0;5786;24218;8604;0;32822;15614;8604;24218;0,052355546;0,018600508;0,033755037;0,018600508;0,052355546
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3334;8777;0;12111;27552;17381;0;44933;10171;17381;27552;0,059563135;0,037575016;0,021988119;0,037575016;0,059563135
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4057;2812;0;6869;31609;20193;0;51802;11416;20193;31609;0,068333737;0,043654122;0,024679615;0,043654122;0,068333737
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12033;1651;0;13684;43642;21844;0;65486;21798;21844;43642;0,094347209;0,047223327;0,047123882;0,047223327;0,094347209
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10455;2831;1;13287;54097;24675;1;78773;29422;24675;54097;0,116949292;0,053343508;0,063605783;0,053343508;0,116949292
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5827;1669;0;7496;59924;26344;1;86269;33580;26344;59924;0,129546359;0,056951627;0,072594732;0,056951627;0,129546359
11;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3703;7728;0;11431;63627;34072;1;97700;29556;34072;63628;0,137551668;0,073658359;0,063895471;0,073658359;0,13755383
12;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11905;2107;0;14012;75532;36179;1;111712;39355;36179;75534;0,163288425;0,078213365;0,085079383;0,078213365;0,163292748
13;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6156;6277;0;12433;81688;42456;1;124145;39234;42456;81690;0,176596738;0,091783262;0,0848178;0,091783262;0,176601062
14;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14050;4302;0;18352;95738;46758;1;142497;48984;46758;95742;0,206970651;0,101083516;0,105895782;0,101083516;0,206979298
15;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21906;2964;0;24870;117644;49722;1;167367;67927;49722;117649;0,254328012;0,107491223;0,146847599;0,107491223;0,254338822
16;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11368;5957;1;17326;129012;55679;2;184693;73338;55679;129017;0,278903858;0,120369329;0,158545338;0,120369329;0,278914668
17;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20213;2775;0;22988;149225;58454;2;207681;90782;58454;149236;0,322601218;0,126368447;0,19625655;0,126368447;0,322624998
