"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"CUMUL_VAC_INIT";"CUMUL_VAC_COMPLETE";"CUMUL_VAC_LEAST";"COVER_1_VAC";"COVER_INIT";"COVER_COMPLETE";"COVER_LEAST"
"1";"REGIONAL";2021-01-04;2021;1;"ARS Alentejo";"All";3468;3;0;3471;4702;4;0;4706;4698;4;4702;0,0100298206918912;0,010021288305084;8,53238680722352e-06;0,0100298206918912
"2";"REGIONAL";2021-01-11;2021;2;"ARS Alentejo";"All";5377;11;0;5388;10079;15;0;10094;10063;16;10079;0,0214994816575015;0,0214653521102726;3,41295472288941e-05;0,0214994816575015
"3";"REGIONAL";2021-01-18;2021;3;"ARS Alentejo";"All";10457;1138;0;11595;20536;1153;0;21689;19378;1158;20536;0,0438052738682855;0,0413351478875943;0,00247012598069121;0,0438052738682855
"4";"REGIONAL";2021-01-25;2021;4;"ARS Alentejo";"All";2374;3105;0;5479;22910;4258;0;27168;18644;4266;22910;0,0488692454383727;0,0397694549084688;0,00909979052990388;0,0488692454383727
"5";"REGIONAL";2021-02-01;2021;5;"ARS Alentejo";"All";1455;4354;0;5809;24365;8612;0;32977;15744;8621;24365;0,0519729011395003;0,0335834744732318;0,0183894266662685;0,0519729011395003
"6";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3290;8800;0;12090;27655;17412;0;45067;10230;17425;27655;0,0589907892884416;0,0218215792594741;0,0371692100289675;0,0589907892884416
"7";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4081;2844;0;6925;31736;20256;0;51992;11467;20269;31736;0,0676959569285114;0,024460219879608;0,0432357370489034;0,0676959569285114
"8";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12066;1640;0;13706;43802;21896;0;65698;21888;21914;43802;0,0934339017325011;0,0466892206091271;0,0467446811233741;0,0934339017325011
"9";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10487;2836;1;13324;54289;24732;1;79022;29533;24756;54289;0,115803686844339;0,062996744894433;0,0528069419499064;0,115803686844339
"10";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5850;1697;0;7547;60139;26429;1;86569;33678;26461;60139;0,128282302549904;0,0718384307234184;0,0564438718264854;0,128282302549904
"11";"REGIONAL";2021-03-15;2021;11;"ARS Alentejo";"All";3737;7749;0;11486;63876;34178;1;98055;29666;34211;63877;0,136253684924552;0,0632804467557732;0,072975371265481;0,136255818021254
"12";"REGIONAL";2021-03-22;2021;12;"ARS Alentejo";"All";11926;2123;0;14049;75802;36301;1;112104;39468;36336;75804;0,161692996190289;0,0841890606268745;0,0775082017568184;0,161697262383693
"13";"REGIONAL";2021-03-29;2021;13;"ARS Alentejo";"All";6168;6317;0;12485;81970;42618;1;124589;39316;42656;81972;0,174849936647028;0,0838648299282;0,0909893729122316;0,174854202840432
"14";"REGIONAL";2021-04-05;2021;14;"ARS Alentejo";"All";14066;4337;0;18403;96036;46955;1;142992;49042;46998;96040;0,204854074854629;0,104611328449964;0,100251278791473;0,204862607241437
"15";"REGIONAL";2021-04-12;2021;15;"ARS Alentejo";"All";21937;2983;0;24920;117973;49938;1;167912;67993;49985;117978;0,251647817202145;0,145035644045887;0,106622838639767;0,251658482685654
"16";"REGIONAL";2021-04-19;2021;16;"ARS Alentejo";"All";11414;5993;0;17407;129387;55931;1;185319;73411;55981;129392;0,275994982956557;0,156592761976271;0,119412886463795;0,276005648440066
"17";"REGIONAL";2021-04-26;2021;17;"ARS Alentejo";"All";20277;2807;0;23084;149664;58738;1;208403;90886;58791;149677;0,319247784779075;0,193868626840329;0,125406888195869;0,319275515036199
"18";"REGIONAL";2021-05-03;2021;18;"ARS Alentejo";"All";13729;14355;1;28085;163393;73093;2;236488;93367;73158;166525;0,348533069398168;0,19916083975751;0,156053088510715;0,355213928268224
"19";"REGIONAL";2021-05-10;2021;19;"ARS Alentejo";"All";17481;15306;0;32787;180874;88399;2;269275;96028;88484;184512;0,385821732842437;0,204837010081015;0,188744928562591;0,393581938643606
"20";"REGIONAL";2021-05-17;2021;20;"ARS Alentejo";"All";13273;12283;1;25557;194147;100682;3;294832;100317;100885;201202;0,414134325365506;0,21398586183506;0,215197460761686;0,429183322596747
"21";"REGIONAL";2021-05-24;2021;21;"ARS Alentejo";"All";7231;18613;0;25844;201378;119295;3;320676;90621;119956;210577;0,429558747616264;0,193303356214351;0,255877747961826;0,449181104176177
"22";"REGIONAL";2021-05-31;2021;22;"ARS Alentejo";"All";17433;7353;0;24786;218811;126648;3;345462;100290;128067;228357;0,466745022418846;0,213928268224112;0,273179295310174;0,487107563534285
"23";"REGIONAL";2021-06-07;2021;23;"ARS Alentejo";"All";13871;15306;0;29177;232682;141954;3;374639;98892;143975;242867;0,496333206769596;0,210946199034987;0,307112597642502;0,518058796677489
"24";"REGIONAL";2021-06-14;2021;24;"ARS Alentejo";"All";10290;19303;1;29594;242972;161257;4;404233;91081;163752;254833;0,518282771831178;0,194284580697181;0,349298851114116;0,543583431811298
"25";"REGIONAL";2021-06-21;2021;25;"ARS Alentejo";"All";10615;14371;0;24986;253587;175628;4;429219;89538;178821;268359;0,540925593320848;0,190993212486295;0,381442485313629;0,572435697799924
"26";"REGIONAL";2021-06-28;2021;26;"ARS Alentejo";"All";11027;29043;3;40073;264614;204671;7;469292;73162;208526;281688;0,564447250651661;0,156061620897522;0,444806122840773;0,600867743738295
"27";"REGIONAL";2021-07-05;2021;27;"ARS Alentejo";"All";15353;27962;0;43315;279967;232633;7;512607;59861;237884;297745;0,597196684314487;0,127689301666802;0,50742957581239;0,635118877479192
