;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/2021;2021;1;ARS Alentejo;All;3468;3;0;3471;4702;4;0;4706;4698;4;4702;0,010029821;0,010021288;8,53E-06;0,010029821
2;REGIONAL;11/01/2021;2021;2;ARS Alentejo;All;5377;11;0;5388;10079;15;0;10094;10063;16;10079;0,021499482;0,021465352;3,41E-05;0,021499482
3;REGIONAL;18/01/2021;2021;3;ARS Alentejo;All;10457;1138;0;11595;20536;1153;0;21689;19378;1158;20536;0,043805274;0,041335148;0,002470126;0,043805274
4;REGIONAL;25/01/2021;2021;4;ARS Alentejo;All;2374;3105;0;5479;22910;4258;0;27168;18644;4266;22910;0,048869245;0,039769455;0,009099791;0,048869245
5;REGIONAL;01/02/2021;2021;5;ARS Alentejo;All;1455;4354;0;5809;24365;8612;0;32977;15744;8621;24365;0,051972901;0,033583474;0,018389427;0,051972901
6;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3291;8800;0;12091;27656;17412;0;45068;10231;17425;27656;0,058992922;0,021823712;0,03716921;0,058992922
7;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4081;2844;0;6925;31737;20256;0;51993;11468;20269;31737;0,06769809;0,024462353;0,043235737;0,06769809
8;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12067;1640;0;13707;43804;21896;0;65700;21890;21914;43804;0,093438168;0,046693487;0,046744681;0,093438168
9;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10487;2836;1;13324;54291;24732;1;79024;29535;24756;54291;0,115807953;0,063001011;0,052806942;0,115807953
10;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5850;1697;0;7547;60141;26429;1;86571;33680;26461;60141;0,128286569;0,071842697;0,056443872;0,128286569
11;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3738;7749;0;11487;63879;34178;1;98058;29669;34211;63880;0,136260084;0,063286846;0,072975371;0,136262217
12;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11927;2123;0;14050;75806;36301;1;112108;39472;36336;75808;0,161701529;0,084197593;0,077508202;0,161705795
13;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6168;6321;0;12489;81974;42622;1;124597;39317;42660;81977;0,174858469;0,083866963;0,090997905;0,174864868
14;REGIONAL;05/04/2021;2021;14;ARS Alentejo;All;14066;4339;0;18405;96040;46961;1;143002;49041;47004;96045;0,204862607;0,104609195;0,100264077;0,204873273
15;REGIONAL;12/04/2021;2021;15;ARS Alentejo;All;21937;2983;0;24920;117977;49944;1;167922;67992;49991;117983;0,25165635;0,145033511;0,106635637;0,251669148
16;REGIONAL;19/04/2021;2021;16;ARS Alentejo;All;11414;5993;0;17407;129391;55937;1;185329;73410;55987;129397;0,276003515;0,156590629;0,119425685;0,276016314
17;REGIONAL;26/04/2021;2021;17;ARS Alentejo;All;20278;2807;0;23085;149669;58744;1;208414;90886;58797;149683;0,31925845;0,193868627;0,125419687;0,319288314
18;REGIONAL;03/05/2021;2021;18;ARS Alentejo;All;13729;14357;1;28087;163398;73101;2;236501;93366;73166;166532;0,348543735;0,199158707;0,156070153;0,35522886
19;REGIONAL;10/05/2021;2021;19;ARS Alentejo;All;17483;15307;0;32790;180881;88408;2;269291;96028;88493;184521;0,385836665;0,20483701;0,188764126;0,393601137
20;REGIONAL;17/05/2021;2021;20;ARS Alentejo;All;13274;12283;1;25558;194155;100691;3;294849;100318;100894;201212;0,41415139;0,213987995;0,215216659;0,429204654
21;REGIONAL;24/05/2021;2021;21;ARS Alentejo;All;7232;18613;0;25845;201387;119304;3;320694;90624;119964;210588;0,429577945;0,193309756;0,255894813;0,449204568
22;REGIONAL;31/05/2021;2021;22;ARS Alentejo;All;17433;7354;0;24787;218820;126658;3;345481;100292;128076;228368;0,46676422;0,213932534;0,273198493;0,487131028
23;REGIONAL;07/06/2021;2021;23;ARS Alentejo;All;13872;15305;0;29177;232692;141963;3;374658;98896;143983;242879;0,496354538;0,210954731;0,307129662;0,518084394
24;REGIONAL;14/06/2021;2021;24;ARS Alentejo;All;10291;19303;1;29595;242983;161266;4;404253;91086;163760;254846;0,518306236;0,194295246;0,349315916;0,543611162
25;REGIONAL;21/06/2021;2021;25;ARS Alentejo;All;10616;14372;0;24988;253599;175638;4;429241;89546;178828;268374;0,54095119;0,191010277;0,381457417;0,572467694
