data,doses,doses_novas,doses1,doses1_novas,doses2,doses2_novas,pessoas_vacinadas_completamente,pessoas_vacinadas_completamente_novas,pessoas_vacinadas_parcialmente,pessoas_vacinadas_parcialmente_novas,pessoas_inoculadas,pessoas_inoculadas_novas,pessoas_inoculadas_12mais,vacinas,vacinas_novas,pessoas_vacinadas_completamente_continente,pessoas_vacinadas_completamente_continente_novas,pessoas_reforço,pessoas_reforço_novas,pessoas_reforço_continente,pessoas_reforço_continente_novas,pessoas_gripe,pessoas_gripe_novas,vacinas_reforço_e_gripe_novas,reforço_80mais,reforço_80mais_novas,reforço_70_79,reforço_70_79_novas,reforço_65_69,reforço_65_69_novas,reforço_60_69,reforço_60_69_novas,reforço_50_59,reforço_50_59_novas,reforço_40_49,reforço_40_49_novas,reforço_30_39,reforço_30_39_novas,reforço_18_29,reforço_18_29_novas,vacinação_iniciada_05_11,vacinação_iniciada_05_11_novas,vacinação_completa_05_11,vacinação_completa_05_11_novas
27-12-2020,4963,4963,4963,4963,0,0,0,0,4963,4963,4963,4963,4963,4963,4963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-12-2020,7754,2791,7754,2791,0,0,0,0,7754,2791,7754,2791,7754,7754,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-12-2020,20368,12614,20368,12614,0,0,0,0,20368,12614,20368,12614,20368,20368,12614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-12-2020,30543,10175,30543,10175,0,0,0,0,30543,10175,30543,10175,30543,30543,10175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-12-2020,32749,2206,32749,2206,0,0,0,0,32749,2206,32749,2206,32749,32749,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2021,32749,0,32749,0,0,0,0,0,32749,0,32749,0,32749,32749,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2021,32750,1,32750,1,0,0,0,0,32750,1,32750,1,32750,32750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2021,32750,0,32750,0,0,0,0,0,32750,0,32750,0,32750,32750,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2021,33670,920,33670,920,0,0,0,0,33670,920,33670,920,33670,33670,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2021,46433,12763,46433,12763,0,0,0,0,46433,12763,46433,12763,46433,46433,12763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2021,61454,15021,61454,15021,0,0,0,0,61454,15021,61454,15021,61454,61454,15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2021,71751,10297,71751,10297,0,0,0,0,71751,10297,71751,10297,71751,71751,10297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2021,74254,2503,74254,2503,0,0,0,0,74254,2503,74254,2503,74254,74254,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2021,74352,98,74352,98,0,0,0,0,74352,98,74352,98,74352,74352,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2021,74392,40,74392,40,0,0,0,0,74392,40,74392,40,74392,74392,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-2021,75280,888,75280,888,0,0,138,138,84951,10559,85089,10697,85089,85210,10818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2021,86162,10882,86162,10882,0,0,138,0,95833,10882,95971,10882,95971,96092,10882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2021,99961,13799,99961,13799,0,0,138,0,109632,13799,109770,13799,109770,109891,13799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2021,111111,11150,111111,11150,0,0,138,0,120782,11150,120920,11150,120920,121041,11150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2021,118597,7486,118597,7486,0,0,138,0,128268,7486,128406,7486,128406,128527,7486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2021,120132,1535,120132,1535,0,0,138,0,129803,1535,129941,1535,129941,130062,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2021,121300,1168,120139,7,1161,1161,1299,1161,128649,-1154,129948,7,129948,131230,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-2021,124704,3404,122879,2740,1825,664,1414,115,133908,5259,135322,5374,135322,136664,5434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2021,148434,23730,138991,16112,9443,7618,9032,7618,142402,8494,151434,16112,151434,160394,23730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2021,177367,28933,158749,19758,18618,9175,18207,9175,152985,10583,171192,19758,171192,189327,28933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2021,210471,33104,186879,28130,23592,4974,23181,4974,176141,23156,199322,28130,199322,222431,33104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2021,236730,26259,210734,23855,25996,2404,25585,2404,197592,21451,223177,23855,223177,248690,26259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2021,251524,14794,221488,10754,30036,4040,29625,4040,204306,6714,233931,10754,233931,263484,14794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-01-2021,255699,4175,225146,3658,30553,517,30142,517,207447,3141,237589,3658,237589,267659,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2021,263499,,,,,,,,,,,,,275459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2021,278413,14914,,,,,,,,,,,,290373,14914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2021,296004,17591,,,,,,,,,,,,307964,17591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2021,315737,19733,,,,,,,,,,,,327697,19733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-01-2021,330233,14496,264772,,65461,,65050,,212165,,277215,,277215,342193,14496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2021,336771,6538,268386,3614,68385,2924,67974,2924,212855,690,280829,3614,280829,348731,6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2021,338566,1795,269814,1428,68752,367,80488,12514,219708,6853,300196,19367,300196,380349,31618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2021,342119,3553,271424,1610,70695,1943,82431,1943,219375,-333,301806,1610,301806,383902,3553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
