data,recebidas,distribuidas,doses,doses_novas,doses1,doses1_novas,doses2,doses2_novas,dosesunk,dosesunk_novas,doses1_perc,doses2_perc,pessoas_vacinadas_parcialmente,pessoas_vacinadas_completamente,pessoas_inoculadas,pessoas_vacinadas_parcialmente_perc,pessoas_vacinadas_completamente_perc,pessoas_inoculadas_perc,populacao1,populacao2,doses_continente,doses_novas_continente,doses1_continente,doses1_novas_continente,doses2_continente,doses2_novas_continente,dosesunk_continente,dosesunk_novas_continente,doses1_perc_continente,doses2_perc_continente,populacao1_continente,populacao2_continente,doses_arsnorte,doses_novas_arsnorte,doses1_arsnorte,doses1_novas_arsnorte,doses2_arsnorte,doses2_novas_arsnorte,dosesunk_arsnorte,dosesunk_novas_arsnorte,doses1_perc_arsnorte,doses2_perc_arsnorte,populacao1_arsnorte,populacao2_arsnorte,doses_arscentro,doses_novas_arscentro,doses1_arscentro,doses1_novas_arscentro,doses2_arscentro,doses2_novas_arscentro,dosesunk_arscentro,dosesunk_novas_arscentro,doses1_perc_arscentro,doses2_perc_arscentro,populacao1_arscentro,populacao2_arscentro,doses_arslvt,doses_novas_arslvt,doses1_arslvt,doses1_novas_arslvt,doses2_arslvt,doses2_novas_arslvt,dosesunk_arslvt,dosesunk_novas_arslvt,doses1_perc_arslvt,doses2_perc_arslvt,populacao1_arslvt,populacao2_arslvt,doses_arsalentejo,doses_novas_arsalentejo,doses1_arsalentejo,doses1_novas_arsalentejo,doses2_arsalentejo,doses2_novas_arsalentejo,dosesunk_arsalentejo,dosesunk_novas_arsalentejo,doses1_perc_arsalentejo,doses2_perc_arsalentejo,populacao1_arsalentejo,populacao2_arsalentejo,doses_arsalgarve,doses_novas_arsalgarve,doses1_arsalgarve,doses1_novas_arsalgarve,doses2_arsalgarve,doses2_novas_arsalgarve,dosesunk_arsalgarve,dosesunk_novas_arsalgarve,doses1_perc_arsalgarve,doses2_perc_arsalgarve,populacao1_arsalgarve,populacao2_arsalgarve,doses_madeira,doses_novas_madeira,doses1_madeira,doses1_novas_madeira,doses2_madeira,doses2_novas_madeira,dosesunk_madeira,dosesunk_novas_madeira,doses1_perc_madeira,doses2_perc_madeira,populacao1_madeira,populacao2_madeira,doses_açores,doses_novas_açores,doses1_açores,doses1_novas_açores,doses2_açores,doses2_novas_açores,dosesunk_açores,dosesunk_novas_açores,doses1_perc_açores,doses2_perc_açores,populacao1_açores,populacao2_açores,doses_outro,doses_novas_outro,doses1_outro,doses1_novas_outro,doses2_outro,doses2_novas_outro,dosesunk_outro,dosesunk_novas_outro,doses_0_17,doses_novas_0_17,doses1_0_17,doses1_novas_0_17,doses2_0_17,doses2_novas_0_17,dosesunk_0_17,dosesunk_novas_0_17,doses1_perc_0_17,doses2_perc_0_17,populacao1_0_17,populacao2_0_17,doses_18_24,doses_novas_18_24,doses1_18_24,doses1_novas_18_24,doses2_18_24,doses2_novas_18_24,dosesunk_18_24,dosesunk_novas_18_24,doses1_perc_18_24,doses2_perc_18_24,populacao1_18_24,populacao2_18_24,doses_25_49,doses_novas_25_49,doses1_25_49,doses1_novas_25_49,doses2_25_49,doses2_novas_25_49,dosesunk_25_49,dosesunk_novas_25_49,doses1_perc_25_49,doses2_perc_25_49,populacao1_25_49,populacao2_25_49,doses_50_64,doses_novas_50_64,doses1_50_64,doses1_novas_50_64,doses2_50_64,doses2_novas_50_64,dosesunk_50_64,dosesunk_novas_50_64,doses1_perc_50_64,doses2_perc_50_64,populacao1_50_64,populacao2_50_64,doses_65_79,doses_novas_65_79,doses1_65_79,doses1_novas_65_79,doses2_65_79,doses2_novas_65_79,dosesunk_65_79,dosesunk_novas_65_79,doses1_perc_65_79,doses2_perc_65_79,populacao1_65_79,populacao2_65_79,doses_80+,doses_novas_80+,doses1_80+,doses1_novas_80+,doses2_80+,doses2_novas_80+,dosesunk_80+,dosesunk_novas_80+,doses1_perc_80+,doses2_perc_80+,populacao1_80+,populacao2_80+,doses_desconhecido,doses_novas_desconhecido,doses1_desconhecido,doses1_novas_desconhecido,doses2_desconhecido,doses2_novas_desconhecido,dosesunk_desconhecido,dosesunk_novas_desconhecido,doses_na,doses_novas_na,doses1_na,doses1_novas_na,doses2_na,doses2_novas_na,dosesunk_na,dosesunk_novas_na,doses1_perc_na,doses2_perc_na,populacao1_na,populacao2_na
11-01-2021,,,83624,48199,83603,48183,21,16,0,0,0.008118174,2.04e-06,83585,21,83606,0.008116426,2.04e-06,0.008118465,10298252,10294118,75711,42880,75693,42866,18,14,0,0,0.0077220979,,9802129,,29796,16514,29787,16509,9,5,0,0,0.00836725,2.53e-06,3559951,3557313,15589,8995,15585,8991,4,4,0,0,0.009400554,2.41e-06,1657882,1659752,23336,12660,23331,12655,5,5,0,0,0.006333478,1.36e-06,3683758,3676471,4691,3467,4691,3467,0,0,0,0,0.010141212,0.0,462568,,2299,1244,2299,1244,0,0,0,0,0.005249218,0.0,437970,,2365,1725,2365,1725,0,0,0,0,0.009313847,0.0,253924,,5534,3581,5531,3579,3,2,0,0,0.022836404,1.24e-05,242202,241936,14,13,14,13,0,0,0,0,4,4,4,4,0,0,0,0,2.35e-06,0.0,1702128,,3127,1774,3125,1772,2,2,0,0,0.004000384,2.56e-06,781176,781250,51014,27354,51002,27347,12,7,0,0,0.01530874,3.6e-06,3331561,3333334,22155,12961,22150,12956,5,5,0,0,0.010187744,2.3e-06,2174182,2173914,3251,2301,3251,2301,0,0,0,0,0.001996858,0.0,1628058,,4072,3804,4070,3802,2,2,0,0,0.005971332,2.93e-06,681590,682594,1,1,1,1,0,0,0,0,,,,,,,,,,,,
18-01-2021,,,134152,50528,132970,49367,1182,1161,0,0,0.0129119,0.000114777,131791,1182,132973,0.012797415,0.000114777,0.012912191,10298253,10298231,124476,48765,123297,47604,1179,1161,0,0,0.0125785926,0.0001202906,9802130,9801264,44928,15132,44893,15106,35,26,0,0,0.012610567,9.83e-06,3559951,3560529,28227,12638,28201,12616,26,22,0,0,0.017010268,1.57e-05,1657881,1656051,37621,14285,36516,13185,1105,1100,0,0,0.009912703,0.000299965,3683759,3683764,10048,5357,10038,5347,10,10,0,0,0.021700593,2.16e-05,462569,462963,3652,1353,3649,1350,3,3,0,0,0.008331621,6.85e-06,437970,437957,4125,1760,4125,1760,0,0,0,0,0.016245082,0.0,253924,,5535,1,5532,1,3,0,0,0,0.022840533,1.24e-05,242202,241936,16,2,16,2,0,0,0,0,19,15,19,15,0,0,0,0,1.12e-05,0.0,1696429,,4577,1450,4519,1394,58,56,0,0,0.005784875,7.42e-05,781176,781672,68115,17101,67327,16325,788,776,0,0,0.020208845,0.000236526,3331562,3331558,34108,11953,33801,11651,307,302,0,0,0.015546544,0.000141203,2174181,2174175,8793,5542,8766,5515,27,27,0,0,0.005384329,1.66e-05,1628059,1626507,18539,14467,18537,14467,2,0,0,0,0.027196702,2.93e-06,681590,682594,1,0,1,0,0,0,0,0,,,,,,,,,,,,
25-01-2021,,,288165,154013,254430,121460,33723,32541,12,12,0.024706135,0.003274633,220710,33723,254433,0.021431793,0.003274633,0.024706426,10298252,10298254,274947,150471,243651,120354,31292,30113,4,4,0.0248569444,0.0031923667,9802130,9802132,89554,44626,76826,31933,12727,12692,1,1,0.021580634,0.003575049,3559952,3559952,71275,43048,64951,36750,6321,6295,3,3,0.039177118,0.003812698,1657882,1657882,84505,46884,74355,37839,10150,9045,0,0,0.020184551,0.002755338,3683758,3683759,21623,11575,20478,10440,1145,1135,0,0,0.044270248,0.002475312,462568,462568,7990,4338,7041,3392,949,946,0,0,0.016076444,0.002166815,437970,437971,5744,1619,5206,1081,538,538,0,0,0.020502278,0.002118753,253924,253923,7457,1922,5557,25,1892,1889,8,8,0.022943753,0.007811694,242202,242201,17,1,16,0,1,1,0,0,88,69,88,69,0,0,0,0,5.17e-05,0.0,1702128,,9565,4988,8317,3798,1248,1190,0,0,0.010646782,0.001597593,781176,781176,127009,58894,104566,37239,22435,21647,8,8,0.031386488,0.006734081,3331562,3331561,69989,35881,61142,27341,8846,8539,1,1,0.028121854,0.004068658,2174181,2174182,23728,14935,22793,14027,934,907,1,1,0.014000115,0.00057369,1628059,1628057,57785,39246,57523,38986,260,258,2,2,0.084395311,0.000381461,681590,681590,1,0,1,0,0,0,0,0,,,,,,,,,,,,
01-02-2021,,,375067,86902,296523,42093,78480,44757,64,52,0.028793527,0.007620711,218046,78480,296526,0.021173108,0.007620711,0.028793819,10298253,10298252,356045,81098,285059,41408,70977,39685,9,5,0.0290813294,0.0072409765,9802131,9802131,119422,29868,91245,14419,28175,15448,2,1,0.025630971,0.007914435,3559951,3559951,84619,13344,69807,4856,14806,8485,6,3,0.042106158,0.008930677,1657882,1657882,113613,29108,92039,17684,21574,11424,0,0,0.024985083,0.005856519,3683759,3683759,27033,5410,22783,2305,4250,3105,0,0,0.049253299,0.009187838,462568,462569,11358,3368,9185,2144,2172,1223,1,1,0.020971756,0.004959244,437971,437970,7785,2041,5615,409,2170,1632,0,0,0.022113003,0.008545898,253923,253923,11207,3750,5832,275,5320,3428,55,47,0.024079174,0.021965227,242201,242202,30,13,17,1,13,12,0,0,105,17,102,14,3,3,0,0,5.99e-05,1.76e-06,1702839,1704546,12538,2973,9729,1412,2809,1561,0,0,0.012454316,0.003595865,781175,781176,168465,41456,120490,15924,47958,25523,17,9,0.03616623,0.014395054,3331561,3331561,93093,23104,72064,10922,21022,12176,7,6,0.033145355,0.009668928,2174181,2174182,32330,8602,29262,6469,3053,2119,15,14,0.017973561,0.00187524,1628059,1628059,68535,10750,64875,7352,3635,3375,25,23,0.095181854,0.005333118,681591,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
08-02-2021,,,436047,60980,320119,23596,115863,37383,65,1,0.03108479,0.011250744,204261,115863,320124,0.019834531,0.011250744,0.031085275,10298252,10298253,411377,55332,304547,19488,106820,35843,10,1,0.0310694653,0.0108976325,9802132,9802129,137114,17692,96751,5506,40361,12186,2,0,0.027177621,0.011337516,3559952,3559951,96442,11823,72479,2672,23957,9151,6,0,0.043717854,0.014450374,1657882,1657881,131192,17579,100695,8656,30496,8922,1,1,0.027334858,0.008278503,3683758,3683758,32819,5786,24228,1445,8591,4341,0,0,0.052377164,0.018572404,462569,462569,13810,2452,10394,1209,3415,1243,1,0,0.023732219,0.007797338,437971,437970,11540,3755,7849,2234,3691,1521,0,0,0.030910945,0.014535903,253924,253923,13098,1891,7706,1874,5337,17,55,0,0.031816549,0.022035417,242202,242201,32,2,17,0,15,2,0,0,142,37,136,34,6,3,0,0,7.99e-05,3.53e-06,1702128,1699717,14438,1900,10696,967,3742,933,0,0,0.013692194,0.00479022,781176,781175,190825,22360,130381,9891,60427,12469,17,0,0.039135108,0.018137744,3331562,3331561,107776,14683,77560,5496,30208,9186,8,1,0.035673203,0.013893967,2174181,2174182,39177,6847,31948,2686,7214,4161,15,0,0.01962338,0.004431046,1628058,1628059,83688,15153,69397,4522,14266,10631,25,0,0.101816341,0.020930471,681591,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
15-02-2021,,,575521,139474,360645,40526,214799,98936,77,12,0.035020021,0.020857812,145851,214799,360650,0.014162695,0.020857812,0.035020506,10298252,10298252,545543,134166,340854,36307,204667,97847,22,12,0.0347734661,0.0208798517,9802129,9802129,174499,37385,105508,8757,68983,28622,8,6,0.029637487,0.019377514,3559951,3559951,131058,34616,79971,7492,51077,27120,10,4,0.048236876,0.030808604,1657881,1657882,175950,44758,115027,14332,60922,30426,1,0,0.03122545,0.016538003,3683758,3683758,44937,12118,27565,3337,17371,8780,1,1,0.059591238,0.037553398,462569,462568,19099,5289,12783,2389,6314,2899,2,1,0.029186931,0.014416513,437970,437970,15791,4251,11012,3163,4779,1088,0,0,0.043367478,0.018820666,253923,253924,14155,1057,8762,1056,5338,1,55,0,0.036176564,0.022039546,242202,242201,32,0,17,0,15,0,0,0,245,103,172,36,73,67,0,0,0.000101076,4.29e-05,1701690,1701632,18919,4481,12144,1448,6775,3033,0,0,0.015545812,0.008672833,781176,781175,235231,44406,144099,13718,91110,30683,22,5,0.043252697,0.027347541,3331562,3331561,136784,29008,84385,6825,52389,22181,10,2,0.038812316,0.02409597,2174181,2174181,54313,15136,35616,3668,18679,11465,18,3,0.02187637,0.011473178,1628059,1628059,130028,46340,84228,14831,45773,31507,27,2,0.123575757,0.067156208,681590,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
22-02-2021,651900,571981,728628,153107,463799,103154,264742,49943,87,10,0.045036672,0.02570747,199062,264742,463804,0.019329688,0.02570747,0.045037158,10298253,10298252,693114,147571,439435,98581,253648,48981,31,9,0.0448305532,0.0258768247,9802132,9802130,222461,47962,138408,32900,84042,15059,11,3,0.038879187,0.023607628,3559951,3559952,166515,35457,105453,25482,61048,9971,14,4,0.063607098,0.036822908,1657882,1657882,227941,51991,147989,32962,79949,19027,3,2,0.040173377,0.021703109,3683759,3683758,51800,6863,31621,4056,20178,2807,1,0,0.068359679,0.043621695,462569,462568,24397,5298,15964,3181,8431,2117,2,0,0.036449985,0.019250177,437971,437970,18927,3136,13509,2497,5418,639,0,0,0.053201167,0.021337177,253924,253924,16551,2396,10834,2072,5661,323,56,1,0.044731442,0.023373149,242202,242201,36,4,21,4,15,0,0,0,292,47,203,31,89,16,0,0,0.000119293,5.23e-05,1701693,1701721,22927,4008,14432,2288,8495,1720,0,0,0.018474734,0.010874644,781175,781175,276285,41054,166268,22169,109991,18881,26,4,0.049906936,0.033014854,3331561,3331561,174729,37945,109424,25039,65293,12904,12,2,0.050328836,0.030031078,2174182,2174182,66522,12209,40636,5020,25866,7187,20,2,0.024959799,0.01588764,1628058,1628059,187872,57844,132835,48607,55008,9235,29,2,0.19488989,0.080705409,681590,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
01-03-2021,830730,718143,925510,196882,640184,176385,285225,20483,101,14,0.062164336,0.027696448,354964,285225,640189,0.034468374,0.027696448,0.062164822,10298253,10298252,882481,189367,612080,172645,270368,16720,33,2,0.0624435709,0.0275825708,9802130,9802132,291358,68897,203065,64657,88281,4239,12,1,0.057041515,0.024798375,3559952,3559952,207950,41435,143802,38349,64133,3085,15,1,0.086738433,0.038683717,1657881,1657882,283738,55797,197105,49116,86630,6681,3,0,0.053506501,0.023516746,3683758,3683758,65483,13683,43657,12036,21825,1647,1,0,0.094379637,0.047182252,462569,462569,33952,9555,24451,8487,9499,1068,2,0,0.055828025,0.0216887,437970,437971,23341,4414,15767,2258,7574,2156,0,0,0.062093627,0.02982794,253923,253923,19644,3093,12308,1474,7268,1607,68,12,0.050817296,0.030008134,242202,242201,44,8,29,8,15,0,0,0,345,53,224,21,121,32,0,0,0.000131634,7.11e-05,1701689,1701829,24885,1958,15698,1266,9186,691,1,1,0.020095369,0.011759209,781176,781175,294819,18534,177567,11299,117221,7230,31,5,0.053298439,0.035185008,3331561,3331561,229363,54634,159119,49695,70230,4937,14,2,0.073185719,0.032301818,2174182,2174182,80511,13989,52212,11576,28277,2411,22,2,0.032070111,0.017368546,1628058,1628058,295586,107714,235363,102528,60190,5182,33,4,0.345314632,0.08830822,681590,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
08-03-2021,1002999,933847,1097241,171731,778602,138418,318527,33302,112,11,0.075605258,0.030930201,460091,318527,778618,0.044676611,0.030930201,0.075606812,10298253,10298252,1047725,165244,748291,136211,299398,29030,36,3,0.0763396089,0.0305441839,9802133,9802128,346139,54781,250870,47805,95257,6976,12,0,0.070470071,0.026757953,3559952,3559951,242277,34327,172234,28432,70027,5894,16,1,0.103888035,0.042238858,1657882,1657881,341417,57679,242006,44901,99407,12777,4,1,0.065695412,0.026985215,3683759,3683758,78755,13272,54099,10442,24654,2829,2,1,0.116953615,0.05329811,462569,462568,39137,5185,29082,4631,10053,554,2,0,0.066401808,0.022953627,437971,437970,27894,4553,17202,1435,10692,3118,0,0,0.067744946,0.042107253,253924,253923,21557,1913,13060,752,8421,1153,76,8,0.053922156,0.034768643,242201,242201,65,21,49,20,16,1,0,0,382,37,233,9,149,28,0,0,0.000136923,8.76e-05,1701687,1700914,26788,1903,16585,887,10201,1015,2,1,0.021230838,0.013058534,781176,781175,311971,17152,184854,7287,127082,9861,35,4,0.055485702,0.038144882,3331561,3331561,265265,35902,189087,29968,76161,5931,17,3,0.0869693,0.035029742,2174182,2174182,97352,16841,65316,13104,32012,3735,24,2,0.040118964,0.01966269,1628058,1628059,395482,99896,322526,87163,72922,12732,34,1,0.473196496,0.106988072,681591,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
15-03-2021,1186389,1095103,1243483,146242,873207,94605,370153,51626,123,11,0.084791769,0.035943284,503078,370153,873231,0.048850815,0.035943284,0.084794099,10298252,10298253,1181975,134250,835363,87072,346574,47176,38,2,0.0852225909,0.0353570055,9802131,9802131,385467,39328,276210,25340,109245,13988,12,0,0.077588147,0.03068722,3559951,3559952,273326,31049,189801,17567,83509,13482,16,0,0.114484091,0.050370925,1657882,1657882,391170,49753,275260,33254,115904,16497,6,2,0.074722607,0.031463522,3683758,3683758,86239,7484,59912,5813,26325,1671,2,0,0.129520416,0.056910552,462569,462568,45773,6636,34180,5098,11591,1538,2,0,0.078041875,0.026465283,437971,437971,35194,7300,22103,4901,13091,2399,0,0,0.087046073,0.051554999,253924,253923,26243,4686,15688,2628,10470,2049,85,9,0.064772648,0.043228558,242201,242202,71,6,53,4,18,2,0,0,419,37,246,13,173,24,0,0,0.000144562,0.000101664,1701693,1701684,28733,1945,17895,1310,10835,634,3,1,0.022907799,0.013870132,781176,781175,333822,21851,200682,15828,133098,6016,42,7,0.060236628,0.039950642,3331561,3331561,291298,26033,210886,21799,80394,4233,18,1,0.096995604,0.036976682,2174182,2174182,116385,19033,80879,15563,35482,3470,24,0,0.049678206,0.021794064,1628058,1628058,472825,77343,362618,40092,110171,37249,36,2,0.532017782,0.161638228,681590,681591,1,0,1,0,0,0,0,0,,,,,,,,,,,,
