data,doses,doses_novas,doses1,doses1_novas,doses2,doses2_novas,pessoas_vacinadas_completamente,pessoas_vacinadas_completamente_novas,pessoas_vacinadas_parcialmente,pessoas_vacinadas_parcialmente_novas,pessoas_inoculadas,pessoas_inoculadas_novas,vacinas,vacinas_novas,doses_diff,doses1_diff,doses2_diff,pessoas_vacinadas_completamente_1,pessoas_vacinadas_parcialmente_1,pessoas_inoculadas_1,vacinas_1,pessoas_vacinadas_completamente_2,pessoas_vacinadas_parcialmente_2,pessoas_inoculadas_2,vacinas_2
27-12-2020,4963.0,4963.0,4963.0,4963.0,0.0,0.0,0.0,0.0,4963.0,4963.0,4963.0,4963.0,4963.0,4963.0,0.0,0.0,0.0,0.0,4963.0,4963.0,4963.0,0.0,4963.0,4963.0,4963.0
28-12-2020,7754.0,2791.0,7754.0,2791.0,0.0,0.0,0.0,0.0,7754.0,2791.0,7754.0,2791.0,7754.0,2791.0,0.0,0.0,0.0,0.0,7754.0,7754.0,7754.0,0.0,7754.0,7754.0,7754.0
29-12-2020,20368.0,12614.0,20368.0,12614.0,0.0,0.0,0.0,0.0,20368.0,12614.0,20368.0,12614.0,20368.0,12614.0,0.0,0.0,0.0,0.0,20368.0,20368.0,20368.0,0.0,20368.0,20368.0,20368.0
30-12-2020,30543.0,10175.0,30543.0,10175.0,0.0,0.0,0.0,0.0,30543.0,10175.0,30543.0,10175.0,30543.0,10175.0,0.0,0.0,0.0,0.0,30543.0,30543.0,30543.0,0.0,30543.0,30543.0,30543.0
31-12-2020,32749.0,2206.0,32749.0,2206.0,0.0,0.0,0.0,0.0,32749.0,2206.0,32749.0,2206.0,32749.0,2206.0,0.0,0.0,0.0,0.0,32749.0,32749.0,32749.0,0.0,32749.0,32749.0,32749.0
01-01-2021,32749.0,0.0,32749.0,0.0,0.0,0.0,0.0,0.0,32749.0,0.0,32749.0,0.0,32749.0,0.0,0.0,0.0,0.0,0.0,32749.0,32749.0,32749.0,0.0,32749.0,32749.0,32749.0
02-01-2021,32750.0,1.0,32750.0,1.0,0.0,0.0,0.0,0.0,32750.0,1.0,32750.0,1.0,32750.0,1.0,0.0,0.0,0.0,0.0,32750.0,32750.0,32750.0,0.0,32750.0,32750.0,32750.0
03-01-2021,32750.0,0.0,32750.0,0.0,0.0,0.0,0.0,0.0,32750.0,0.0,32750.0,0.0,32750.0,0.0,0.0,0.0,0.0,0.0,32750.0,32750.0,32750.0,0.0,32750.0,32750.0,32750.0
04-01-2021,33670.0,920.0,33670.0,920.0,0.0,0.0,0.0,0.0,33670.0,920.0,33670.0,920.0,33670.0,920.0,0.0,0.0,0.0,0.0,33670.0,33670.0,33670.0,0.0,33670.0,33670.0,33670.0
05-01-2021,46433.0,12763.0,46433.0,12763.0,0.0,0.0,0.0,0.0,46433.0,12763.0,46433.0,12763.0,46433.0,12763.0,0.0,0.0,0.0,0.0,46433.0,46433.0,46433.0,0.0,46433.0,46433.0,46433.0
06-01-2021,61454.0,15021.0,61454.0,15021.0,0.0,0.0,0.0,0.0,61454.0,15021.0,61454.0,15021.0,61454.0,15021.0,0.0,0.0,0.0,0.0,61454.0,61454.0,61454.0,0.0,61454.0,61454.0,61454.0
07-01-2021,71751.0,10297.0,71751.0,10297.0,0.0,0.0,0.0,0.0,71751.0,10297.0,71751.0,10297.0,71751.0,10297.0,0.0,0.0,0.0,0.0,71751.0,71751.0,71751.0,0.0,71751.0,71751.0,71751.0
08-01-2021,74254.0,2503.0,74254.0,2503.0,0.0,0.0,0.0,0.0,74254.0,2503.0,74254.0,2503.0,74254.0,2503.0,0.0,0.0,0.0,0.0,74254.0,74254.0,74254.0,0.0,74254.0,74254.0,74254.0
09-01-2021,74352.0,98.0,74352.0,98.0,0.0,0.0,0.0,0.0,74352.0,98.0,74352.0,98.0,74352.0,98.0,0.0,0.0,0.0,0.0,74352.0,74352.0,74352.0,0.0,74352.0,74352.0,74352.0
10-01-2021,74392.0,40.0,74392.0,40.0,0.0,0.0,0.0,0.0,74392.0,40.0,74392.0,40.0,74392.0,40.0,0.0,0.0,0.0,0.0,74392.0,74392.0,74392.0,0.0,74392.0,74392.0,74392.0
11-01-2021,75280.0,888.0,75280.0,888.0,0.0,0.0,18.0,18.0,83513.0,9121.0,83531.0,9139.0,83548.0,9156.0,8268.0,8251.0,18.0,0.0,75280.0,75280.0,75280.0,18.0,83513.0,83531.0,83548.0
12-01-2021,86162.0,10882.0,86162.0,10882.0,0.0,0.0,18.0,0.0,94395.0,10882.0,94413.0,10882.0,94430.0,10882.0,8268.0,8251.0,18.0,0.0,86162.0,86162.0,86162.0,18.0,94395.0,94413.0,94430.0
13-01-2021,99961.0,13799.0,99961.0,13799.0,0.0,0.0,18.0,0.0,108194.0,13799.0,108212.0,13799.0,108229.0,13799.0,8268.0,8251.0,18.0,0.0,99961.0,99961.0,99961.0,18.0,108194.0,108212.0,108229.0
14-01-2021,111111.0,11150.0,111111.0,11150.0,0.0,0.0,18.0,0.0,119344.0,11150.0,119362.0,11150.0,119379.0,11150.0,8268.0,8251.0,18.0,0.0,111111.0,111111.0,111111.0,18.0,119344.0,119362.0,119379.0
15-01-2021,118597.0,7486.0,118597.0,7486.0,0.0,0.0,18.0,0.0,126830.0,7486.0,126848.0,7486.0,126865.0,7486.0,8268.0,8251.0,18.0,0.0,118597.0,118597.0,118597.0,18.0,126830.0,126848.0,126865.0
16-01-2021,120132.0,1535.0,120132.0,1535.0,0.0,0.0,18.0,0.0,128365.0,1535.0,128383.0,1535.0,128400.0,1535.0,8268.0,8251.0,18.0,0.0,120132.0,120132.0,120132.0,18.0,128365.0,128383.0,128400.0
17-01-2021,121300.0,1168.0,120139.0,7.0,1161.0,1161.0,1179.0,1161.0,127211.0,-1154.0,128390.0,7.0,129568.0,1168.0,8268.0,8251.0,18.0,1161.0,118978.0,120139.0,121300.0,1179.0,127211.0,128390.0,129568.0
18-01-2021,124704.0,3404.0,122879.0,2740.0,1825.0,664.0,1177.0,-2.0,131704.0,4493.0,132881.0,4491.0,134057.0,4489.0,9353.0,10002.0,-648.0,1825.0,121054.0,122879.0,124704.0,1177.0,131704.0,132881.0,134057.0
19-01-2021,148434.0,23730.0,138991.0,16112.0,9443.0,7618.0,8795.0,7618.0,140198.0,8494.0,148993.0,16112.0,157787.0,23730.0,9353.0,10002.0,-648.0,9443.0,129548.0,138991.0,148434.0,8795.0,140198.0,148993.0,157787.0
20-01-2021,177367.0,28933.0,158749.0,19758.0,18618.0,9175.0,17970.0,9175.0,150781.0,10583.0,168751.0,19758.0,186720.0,28933.0,9353.0,10002.0,-648.0,18618.0,140131.0,158749.0,177367.0,17970.0,150781.0,168751.0,186720.0
21-01-2021,210471.0,33104.0,186879.0,28130.0,23592.0,4974.0,22944.0,4974.0,173937.0,23156.0,196881.0,28130.0,219824.0,33104.0,9353.0,10002.0,-648.0,23592.0,163287.0,186879.0,210471.0,22944.0,173937.0,196881.0,219824.0
22-01-2021,236730.0,26259.0,210734.0,23855.0,25996.0,2404.0,25348.0,2404.0,195388.0,21451.0,220736.0,23855.0,246083.0,26259.0,9353.0,10002.0,-648.0,25996.0,184738.0,210734.0,236730.0,25348.0,195388.0,220736.0,246083.0
